Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,MATH,100,,001,Differential Calculus with Applications to Physical Sciences and Engineering,Geoff Goetz;Majid Jaberipour;Wayne Broughton;You Rao;Ziyuan Wang,282,66.773049645,21.432960546,100.0,0.0,59,14,16,19,21,20,21,23,20,32,37
UBCO,2018,W,MATH,100,,002,Differential Calculus with Applications to Physical Sciences and Engineering,Ben Tippett;Geoff Goetz;Majid Jaberipour;Wayne Broughton;You Rao;Ziyuan Wang,291,71.94158075600001,19.27066798,100.0,0.0,40,16,19,16,16,18,22,21,29,36,58
UBCO,2018,W,MATH,100,,003,Differential Calculus with Applications to Physical Sciences and Engineering,Ben Tippett;Geoff Goetz;Majid Jaberipour;Wayne Broughton;You Rao;Ziyuan Wang,185,69.816216216,18.386808739,100.0,11.0,32,9,10,11,17,15,12,14,19,19,27
UBCO,2018,W,MATH,100,,101,Differential Calculus with Applications to Physical Sciences and Engineering,Alejandra Fuentes Nunez;Edward Butz;Maryam Sadeghi;Ziyuan Wang,173,53.595375723000004,23.453030286999997,100.0,0.0,59,27,14,7,13,13,9,5,10,8,8
UBCO,2018,W,MATH,100,,OVERALL,Differential Calculus with Applications to Physical Sciences and Engineering,,931,66.544575725,21.579333505,100.0,0.0,190,66,59,53,67,66,64,63,78,95,130
UBCO,2018,W,MATH,101,,001,Integral Calculus with Applications to Physical Sciences and Engineering,Edward Butz;Maryam Sadeghi;Patrick Nadeau,108,54.601851851999996,24.090537878000003,99.0,0.0,36,18,8,7,4,5,5,4,7,9,5
UBCO,2018,W,MATH,101,,101,Integral Calculus with Applications to Physical Sciences and Engineering,Geoff Goetz;Jeewon Yoo;Wayne Broughton;You Rao;Ziyuan Wang,332,67.469879518,20.000656998,100.0,2.0,69,18,25,13,24,22,29,31,24,33,44
UBCO,2018,W,MATH,101,,102,Integral Calculus with Applications to Physical Sciences and Engineering,Jeewon Yoo;Wayne Broughton;You Rao,294,64.887755102,21.047913479,99.0,2.0,74,18,18,21,14,20,25,23,23,19,39
UBCO,2018,W,MATH,101,,OVERALL,Integral Calculus with Applications to Physical Sciences and Engineering,,734,64.54223433199999,21.469296289000003,100.0,0.0,179,54,51,41,42,47,59,58,54,61,88
UBCO,2018,W,MATH,111,,101,Finite Mathematics,Charles Jolin-Landry;Edward Butz,74,66.202702703,21.425870759000002,100.0,0.0,7,9,8,5,8,7,7,1.0,7,5,10
UBCO,2018,W,MATH,111,,OVERALL,Finite Mathematics,,74,66.202702703,21.425870759000002,100.0,0.0,7,9,8,5,8,7,7,1.0,7,5,10
UBCO,2018,W,MATH,116,,001,Calculus I for Management and Economics,Brooke Kwan;Charles Jolin-Landry;Drue Julien;Edward Butz;Hyolim Lee;Olivia Marleau;Vanessa White;Xinyu Zhang;You Rao,214,65.775700935,19.353547023,99.0,0.0,28,23,17,16,21,16,19,20,24,13,17
UBCO,2018,W,MATH,116,,101,Calculus I for Management and Economics,Jeewon Yoo;Kathleen Lortie;Samantha Seidle,91,62.21978022,18.419073567,99.0,7.0,20,10,9,7,9,4,6,9,9,3,5
UBCO,2018,W,MATH,116,,OVERALL,Calculus I for Management and Economics,,305,64.714754098,19.118930375999998,99.0,0.0,48,33,26,23,30,20,25,29,33,16,22
UBCO,2018,W,MATH,125,,001,Pre-Calculus,Allyson Dyck;Hui Ouyang;Kaede Hirabayashi;Kathleen Lortie;Meng-Kai Lee;Paul Lee;Skye Thompson,106,76.452830189,19.975762492,100.0,15.0,10,6,5,,,,,13,15,12,31
UBCO,2018,W,MATH,125,,OVERALL,Pre-Calculus,,106,76.452830189,19.975762492,100.0,15.0,10,6,5,,,,,13,15,12,31
UBCO,2018,W,MATH,126,,101,Basic Mathematics: An Aboriginal Perspective,Julianne Barry;Patrick Nadeau,29,76.0,20.424075429000002,100.0,23.0,,,,,,,,,,,8
UBCO,2018,W,MATH,126,,OVERALL,Basic Mathematics: An Aboriginal Perspective,,29,76.0,20.424075429000002,100.0,23.0,,,,,,,,,,,8
UBCO,2018,W,MATH,142,,001,Calculus II for Management and Economics,Alejandra Fuentes Nunez;Edward Butz;Hui Ouyang,64,59.765625,24.821740463,100.0,0.0,16,6,8,,,,,6,,,8
UBCO,2018,W,MATH,142,,OVERALL,Calculus II for Management and Economics,,64,59.765625,24.821740463,100.0,0.0,16,6,8,,,,,6,,,8
UBCO,2018,W,MATH,160,,001,Mathematical Reasoning for Arts and Education,Desiree Marshall-Peer,18,75.111111111,18.461052449,92.0,10.0,,,,,,,,,,,
UBCO,2018,W,MATH,160,,OVERALL,Mathematical Reasoning for Arts and Education,,18,75.111111111,18.461052449,92.0,10.0,,,,,,,,,,,
UBCO,2018,W,MATH,200,,001,Calculus III,Gabriel Jarry-Bolduc;Nicole Taleon;Patrick Nadeau;Stephanie Hamilton;Warren Hare,199,75.256281407,17.298614654,100.0,14.0,17,6,4.0,6,11,17,20,19,36,23,40
UBCO,2018,W,MATH,200,,002,Calculus III,Gabriel Jarry-Bolduc;Nicole Taleon;Patrick Nadeau;Sarah Macqueen;Stephanie Hamilton,67,69.134328358,20.01506669,99.0,0.0,8,5,1.0,5,4,8,4,10,9,7,6
UBCO,2018,W,MATH,200,,OVERALL,Calculus III,,266,73.714285714,18.17818366,100.0,0.0,25,11,5,11,15,25,24,29,45,30,46
UBCO,2018,W,MATH,220,,001,Mathematical Proof,Heinz Bauschke;Hui Ouyang,82,84.109756098,11.630107902,100.0,30.0,,,,,,,5,8,17,14,30
UBCO,2018,W,MATH,220,,OVERALL,Mathematical Proof,,82,84.109756098,11.630107902,100.0,30.0,,,,,,,5,8,17,14,30
UBCO,2018,W,MATH,221,,001,Matrix Algebra,Cole Niclas Priestman;Cole Priestman;Geoff Goetz;Liam Welsh;Majid Jaberipour;Maryam Sadeghi,75,74.36,12.603774637999999,95.0,44.0,2,4,4,8,6,7,4,12,9,11,8
UBCO,2018,W,MATH,221,,101,Matrix Algebra,Charles Jolin-Landry;Donovan Hare;Gabriel Jarry-Bolduc;Geoff Goetz;Hui Ouyang;Maryam Sadeghi,172,66.58139534899999,17.469080532,99.0,0.0,20,10,14,21,17,25,10,18,9,14,14
UBCO,2018,W,MATH,221,,OVERALL,Matrix Algebra,,247,68.94331983800001,16.515477648,99.0,0.0,22,14,18,29,23,32,14,30,18,25,22
UBCO,2018,W,MATH,225,,101,Introduction to Differential Equations,Chelsey Hvingelby;Maria Martignoni Mseya;Pau Capera Aragones,96,65.375,21.861887047,100.0,0.0,32,,,7,,6,8,,10,6,15
UBCO,2018,W,MATH,225,,OVERALL,Introduction to Differential Equations,,96,65.375,21.861887047,100.0,0.0,32,,,7,,6,8,,10,6,15
UBCO,2018,W,MATH,303,,001,Numerical Analysis,Geoff Goetz;Liam Welsh;Warren Hare,15,81.8,13.454685854000001,98.0,53.0,,,,,,,,,,,6
UBCO,2018,W,MATH,303,,OVERALL,Numerical Analysis,,15,81.8,13.454685854000001,98.0,53.0,,,,,,,,,,,6
UBCO,2018,W,MATH,307,,101,Applied Linear Algebra,Hui Ouyang;Wayne Broughton,83,66.686746988,19.195354946,100.0,14.0,15,5,8,7,5,5,8,9,7,6,8
UBCO,2018,W,MATH,307,,OVERALL,Applied Linear Algebra,,83,66.686746988,19.195354946,100.0,14.0,15,5,8,7,5,5,8,9,7,6,8
UBCO,2018,W,MATH,311,,001,Abstract Algebra I,Javad Tavakoli;Maryam Sadeghi,45,72.733333333,14.021736373,100.0,47.0,,,7,,,7,5,,,,7
UBCO,2018,W,MATH,311,,OVERALL,Abstract Algebra I,,45,72.733333333,14.021736373,100.0,47.0,,,7,,,7,5,,,,7
UBCO,2018,W,MATH,312,,001,Introduction to Number Theory,Wayne Broughton;You Rao,52,70.51923076899999,17.598451786,100.0,28.0,6,5,,,5,,,,7,,10
UBCO,2018,W,MATH,312,,OVERALL,Introduction to Number Theory,,52,70.51923076899999,17.598451786,100.0,28.0,6,5,,,5,,,,7,,10
