Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,POLI,101,,001,The Government of Canada,Darielle Talarico;David Viveash;Erica Mihalcheon,94,68.372340426,18.408146889,93.0,0.0,8,10,8.0,5,8.0,8,11.0,7,10,10,9
UBCO,2018,W,POLI,101,,101,The Government of Canada,Carey Doberstein;Darielle Talarico,104,71.509615385,17.661320357,91.0,0.0,8,3,2.0,4,7.0,15,14.0,6,26,16,3
UBCO,2018,W,POLI,101,,OVERALL,The Government of Canada,,198,70.02020202,18.042240228,93.0,0.0,16,13,10.0,9,15.0,23,25.0,13,36,26,12
UBCO,2018,W,POLI,220,,001,Introduction to Comparative Politics,Carl C. Hodge;Carl Hodge;James Rochlin,97,68.639175258,12.178520681,90.0,23.0,7,1,7.0,10,10.0,19,16.0,12,10,3,2
UBCO,2018,W,POLI,220,,OVERALL,Introduction to Comparative Politics,,97,68.639175258,12.178520681,90.0,23.0,7,1,7.0,10,10.0,19,16.0,12,10,3,2
UBCO,2018,W,POLI,221,,001,International Politics,James Rochlin;Natalia Penuela Gallo,86,73.476744186,15.789592063,95.0,0.0,5,2,3.0,3,12.0,6,5.0,14,19,6,11
UBCO,2018,W,POLI,221,,OVERALL,International Politics,,86,73.476744186,15.789592063,95.0,0.0,5,2,3.0,3,12.0,6,5.0,14,19,6,11
UBCO,2018,W,POLI,222,,101,International Politics II,Adam Jones;Natalia Penuela Gallo;Noelle Viger,89,72.719101124,15.992888167,94.0,0.0,5,0,0.0,4,5.0,16,21.0,8,15,12,3
UBCO,2018,W,POLI,222,,OVERALL,International Politics II,,89,72.719101124,15.992888167,94.0,0.0,5,0,0.0,4,5.0,16,21.0,8,15,12,3
UBCO,2018,W,POLI,223,,101,"Introduction to Philosophy, Politics and Economics (PPE)",Carl C. Hodge;Carl Hodge,25,71.12,22.738220394,90.0,0.0,2,0,0.0,0,2.0,6,2.0,4,2,6,1
UBCO,2018,W,POLI,223,,OVERALL,"Introduction to Philosophy, Politics and Economics (PPE)",,25,71.12,22.738220394,90.0,0.0,2,0,0.0,0,2.0,6,2.0,4,2,6,1
UBCO,2018,W,POLI,240,,001,Currents of Political Thought,Natalia Penuela Gallo;Ruth Lowe-Walker,70,72.785714286,16.735705869,89.0,11.0,6,1,0.0,2,4.0,6,9.0,12,23,7,0
UBCO,2018,W,POLI,240,,OVERALL,Currents of Political Thought,,70,72.785714286,16.735705869,89.0,11.0,6,1,0.0,2,4.0,6,9.0,12,23,7,0
UBCO,2018,W,POLI,303,,001,Federalism in Canada,Carey Doberstein,40,75.75,11.40119202,90.0,19.0,1,0,0.0,1,3.0,3,8.0,6,13,4,1
UBCO,2018,W,POLI,303,,OVERALL,Federalism in Canada,,40,75.75,11.40119202,90.0,19.0,1,0,0.0,1,3.0,3,8.0,6,13,4,1
UBCO,2018,W,POLI,352,,101,Comparative Politics of Public Policy,Carey Doberstein,39,74.846153846,14.023548732,95.0,14.0,1,2,1.0,1,0.0,5,6.0,5,11,6,1
UBCO,2018,W,POLI,352,,OVERALL,Comparative Politics of Public Policy,,39,74.846153846,14.023548732,95.0,14.0,1,2,1.0,1,0.0,5,6.0,5,11,6,1
UBCO,2018,W,POLI,363,,101,Canadian Foreign Policy,Rosalind Warner,41,77.487804878,8.880095583,94.0,44.0,1,0,0.0,0,4.0,3,6.0,9,11,4,3
UBCO,2018,W,POLI,363,,OVERALL,Canadian Foreign Policy,,41,77.487804878,8.880095583,94.0,44.0,1,0,0.0,0,4.0,3,6.0,9,11,4,3
UBCO,2018,W,POLI,366,,101,International Political Economy,James Rochlin,38,79.394736842,11.044234092,96.0,49.0,1,0,0.0,3,1.0,4,2.0,7,6,5,9
UBCO,2018,W,POLI,366,,OVERALL,International Political Economy,,38,79.394736842,11.044234092,96.0,49.0,1,0,0.0,3,1.0,4,2.0,7,6,5,9
UBCO,2018,W,POLI,371,,001,The Politics of NAFTA,David Chatterson,41,72.243902439,9.159095173,95.0,46.0,1,0,0.0,3,9.0,8,8.0,5,3,2,2
UBCO,2018,W,POLI,371,,OVERALL,The Politics of NAFTA,,41,72.243902439,9.159095173,95.0,46.0,1,0,0.0,3,9.0,8,8.0,5,3,2,2
UBCO,2018,W,POLI,372,,001,Gender and International Relations,Adam Jones,46,82.847826087,5.625210678,94.0,71.0,0,0,0.0,0,0.0,1,3.0,12,12,12,6
UBCO,2018,W,POLI,372,,OVERALL,Gender and International Relations,,46,82.847826087,5.625210678,94.0,71.0,0,0,0.0,0,0.0,1,3.0,12,12,12,6
UBCO,2018,W,POLI,382,,001,Genocide: An Interdisciplinary Perspective,Adam Jones,46,81.195652174,7.066728192,92.0,50.0,0,1,0.0,0,0.0,1,3.0,13,10,15,3
UBCO,2018,W,POLI,382,,OVERALL,Genocide: An Interdisciplinary Perspective,,46,81.195652174,7.066728192,92.0,50.0,0,1,0.0,0,0.0,1,3.0,13,10,15,3
UBCO,2018,W,POLI,391,G,101,Special Topics in Political Science,Adam Jones,44,76.954545455,17.930037867,92.0,0.0,2,0,0.0,0,0.0,4,5.0,6,16,8,3
UBCO,2018,W,POLI,391,G,OVERALL,Special Topics in Political Science,,44,76.954545455,17.930037867,92.0,0.0,2,0,0.0,0,0.0,4,5.0,6,16,8,3
UBCO,2018,W,POLI,432,,101,Contemporary Issues in Law,Gillian Dougans,30,75.466666667,6.911925393,85.0,64.0,0,0,0.0,0,6.0,4,6.0,2,11,1,0
UBCO,2018,W,POLI,432,,OVERALL,Contemporary Issues in Law,,30,75.466666667,6.911925393,85.0,64.0,0,0,0.0,0,6.0,4,6.0,2,11,1,0
UBCO,2018,W,POLI,464,F,001,Problems in International Relations: Seminar,Darielle Talarico;Thomas Heilke,23,78.956521739,5.514264649,90.0,70.0,0,0,0.0,0,0.0,2,6.0,4,6,4,1
UBCO,2018,W,POLI,464,F,OVERALL,Problems in International Relations: Seminar,,23,78.956521739,5.514264649,90.0,70.0,0,0,0.0,0,0.0,2,6.0,4,6,4,1
UBCO,2018,W,POLI,464,G,101,Problems in International Relations: Seminar,James Rochlin,23,85.695652174,8.693962286,95.0,66.0,0,0,0.0,0,1.0,2,0.0,2,4,5,9
UBCO,2018,W,POLI,464,G,OVERALL,Problems in International Relations: Seminar,,23,85.695652174,8.693962286,95.0,66.0,0,0,0.0,0,1.0,2,0.0,2,4,5,9
UBCO,2018,W,POLI,464,H,101,Problems in International Relations: Seminar,Helen Yanacopulos,26,75.769230769,8.819558684,87.0,48.0,1,0,0.0,1,3.0,1,4.0,6,7,3,0
UBCO,2018,W,POLI,464,H,OVERALL,Problems in International Relations: Seminar,,26,75.769230769,8.819558684,87.0,48.0,1,0,0.0,1,3.0,1,4.0,6,7,3,0
