Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2018,W,VISA,102,,001,Drawing and Two-Dimensional Art Practices I,Holly Ward,23,83.826086957,9.907078158,94.0,50.0,0,1,0,1.0,0.0,0.0,1.0,1,4.0,9,6
UBCO,2018,W,VISA,102,,002,Drawing and Two-Dimensional Art Practices I,Katherine Pickering,20,77.7,9.090770334,90.0,52.0,0,1,0,1.0,1.0,0.0,4.0,2,8.0,2,1
UBCO,2018,W,VISA,102,,003,Drawing and Two-Dimensional Art Practices I,Aleksandra Dulic;Patrick Lundeen,18,77.222222222,10.195475095,90.0,50.0,0,1,1,0.0,0.0,0.0,2.0,6,4.0,3,1
UBCO,2018,W,VISA,102,,OVERALL,Drawing and Two-Dimensional Art Practices I,,61,79.868852459,10.063921386,94.0,50.0,0,3,1,2.0,1.0,0.0,7.0,9,16.0,14,8
UBCO,2018,W,VISA,103,,001,Drawing and Two-Dimensional Art Practices II,Crystal Przybille;Holly Ward,22,84.954545455,7.060805787,94.0,67.0,0,0,0,0.0,1.0,1.0,0.0,1,5.0,7,7
UBCO,2018,W,VISA,103,,002,Drawing and Two-Dimensional Art Practices II,Katherine Pickering,20,80.35,7.13977001,90.0,61.0,0,0,0,1.0,0.0,1.0,3.0,1,8.0,5,1
UBCO,2018,W,VISA,103,,OVERALL,Drawing and Two-Dimensional Art Practices II,,42,82.761904762,7.387562137,94.0,61.0,0,0,0,1.0,1.0,2.0,3.0,2,13.0,12,8
UBCO,2018,W,VISA,104,,001,Three-Dimensional Art Practices I,Renay Egami,21,79.857142857,2.007130147,84.0,77.0,0,0,0,0.0,0.0,0.0,0.0,11,10.0,0,0
UBCO,2018,W,VISA,104,,002,Three-Dimensional Art Practices I,Renay Egami,20,79.6,2.623777911,85.0,73.0,0,0,0,0.0,0.0,0.0,1.0,9,9.0,1,0
UBCO,2018,W,VISA,104,,OVERALL,Three-Dimensional Art Practices I,,41,79.731707317,2.302437733,85.0,73.0,0,0,0,0.0,0.0,0.0,1.0,20,19.0,1,0
UBCO,2018,W,VISA,105,,001,Three-Dimensional Art Practices II,Renay Egami,21,80.714285714,2.813234031,85.0,72.0,0,0,0,0.0,0.0,0.0,1.0,4,14.0,2,0
UBCO,2018,W,VISA,105,,002,Three-Dimensional Art Practices II,Renay Egami,19,81.894736842,2.865401598,88.0,75.0,0,0,0,0.0,0.0,0.0,1.0,2,14.0,2,0
UBCO,2018,W,VISA,105,,OVERALL,Three-Dimensional Art Practices II,,40,81.275,2.864347601,88.0,72.0,0,0,0,0.0,0.0,0.0,2.0,6,28.0,4,0
UBCO,2018,W,VISA,106,,001,Introduction to Digital Media I,Myron Campbell,86,77.697674419,13.370793252,94.0,14.0,3,2,3,2.0,0.0,3.0,7.0,16,25.0,20,5
UBCO,2018,W,VISA,106,,OVERALL,Introduction to Digital Media I,,86,77.697674419,13.370793252,94.0,14.0,3,2,3,2.0,0.0,3.0,7.0,16,25.0,20,5
UBCO,2018,W,VISA,108,,001,Introduction to Digital Media II,Myron Campbell,71,74.422535211,15.005391385,94.0,0.0,3,2,1,2.0,3.0,4.0,12.0,17,15.0,8,4
UBCO,2018,W,VISA,108,,OVERALL,Introduction to Digital Media II,,71,74.422535211,15.005391385,94.0,0.0,3,2,1,2.0,3.0,4.0,12.0,17,15.0,8,4
UBCO,2018,W,VISA,110,,001,Studies in Photography,Andreas Rutkauskas;Fern Helfand;Rylan Broadbent;Rylan S. Broadbent,41,75.634146341,10.671822941,93.0,49.0,1,1,1,2.0,2.0,8.0,4.0,5,7.0,7,3
UBCO,2018,W,VISA,110,,002,Studies in Photography,Alison Trim;Andreas Rutkauskas,40,76.275,9.083621496,95.0,48.0,1,0,0,2.0,2.0,6.0,8.0,6,8.0,3,4
UBCO,2018,W,VISA,110,,OVERALL,Studies in Photography,,81,75.950617284,9.862683756,95.0,48.0,2,1,1,4.0,4.0,14.0,12.0,11,15.0,10,7
UBCO,2018,W,VISA,206,,001,Sound Art,Miles Thorogood,17,87.294117647,9.47209524,99.0,65.0,0,0,0,0.0,2.0,0.0,0.0,0,2.0,6,7
UBCO,2018,W,VISA,206,,OVERALL,Sound Art,,17,87.294117647,9.47209524,99.0,65.0,0,0,0,0.0,2.0,0.0,0.0,0,2.0,6,7
UBCO,2018,W,VISA,215,,001,Painting I,Katherine Pickering,16,79.5625,4.675735236,85.0,68.0,0,0,0,0.0,0.0,1.0,2.0,4,7.0,2,0
UBCO,2018,W,VISA,215,,OVERALL,Painting I,,16,79.5625,4.675735236,85.0,68.0,0,0,0,0.0,0.0,1.0,2.0,4,7.0,2,0
UBCO,2018,W,VISA,225,,001,Painting II,Katherine Pickering,12,77.166666667,6.307763374,85.0,66.0,0,0,0,0.0,1.0,2.0,2.0,2,4.0,1,0
UBCO,2018,W,VISA,225,,OVERALL,Painting II,,12,77.166666667,6.307763374,85.0,66.0,0,0,0,0.0,1.0,2.0,2.0,2,4.0,1,0
UBCO,2018,W,VISA,233,,001,Printmaking: Screenprinting I,W Craig,17,73.0,19.111514854,84.0,0.0,1,0,0,0.0,0.0,0.0,5.0,6,5.0,0,0
UBCO,2018,W,VISA,233,,OVERALL,Printmaking: Screenprinting I,,17,73.0,19.111514854,84.0,0.0,1,0,0,0.0,0.0,0.0,5.0,6,5.0,0,0
UBCO,2018,W,VISA,235,,001,Sculpture I,Renay Egami,8,82.625,2.263846285,85.0,79.0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,2,0
UBCO,2018,W,VISA,235,,OVERALL,Sculpture I,,8,82.625,2.263846285,85.0,79.0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,2,0
UBCO,2018,W,VISA,244,,001,Photography I,Andreas Rutkauskas,14,81.428571429,6.699188076,96.0,71.0,0,0,0,0.0,0.0,1.0,1.0,3,4.0,4,1
UBCO,2018,W,VISA,244,,OVERALL,Photography I,,14,81.428571429,6.699188076,96.0,71.0,0,0,0,0.0,0.0,1.0,1.0,3,4.0,4,1
