Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2019,W,ANTH,100,,001,Introduction to Cultural Anthropology,Joanne Danielle Scofield;Joanne Scofield;Matt Husain;Matt M Husain,134,80.343283582,12.775743274000002,97.0,0.0,,,,,,11,14,18,31,40,16
UBCO,2019,W,ANTH,100,,002,Introduction to Cultural Anthropology,Amer Abuhamed;Amer Younes Abuhamed;David Geary;Rutika Gandhi,144,74.1875,14.770490685999999,99.0,0.0,,,7,10,8,15,18,23,24,19,13
UBCO,2019,W,ANTH,100,,003,Introduction to Cultural Anthropology,Hongyang Tao;Hugo De Burgos,80,81.55,5.718944755,95.0,71.0,,,,,,,12,15,30,12,10
UBCO,2019,W,ANTH,100,,101,Introduction to Cultural Anthropology,Alyson Stone;Fiona Mcdonald;Hongyang Tao,126,69.285714286,11.0256843,88.0,24.0,5,2.0,9,16,21,20,13,14,18,8,0
UBCO,2019,W,ANTH,100,,102,Introduction to Cultural Anthropology,Amer Abuhamed;Amer Younes Abuhamed;Fiona Mcdonald,89,77.95505618,16.807675541,94.0,0.0,,,,,,,6,17,21,19,13
UBCO,2019,W,ANTH,100,,OVERALL,Introduction to Cultural Anthropology,,573,76.162303665,13.67811187,99.0,0.0,16,7,18,28,31,49,63,87,124,98,52
UBCO,2019,W,ANTH,103,,001,Introduction to World Archaeology,Chea Elton;Lindsay Der,92,82.076086957,11.077383845999998,98.0,38.0,2,0.0,0,3,2,8,6,8,18,18,27
UBCO,2019,W,ANTH,103,,101,Introduction to World Archaeology,Lindsay Der;Neha Gupta;Rutika Gandhi,82,65.792682927,14.102567672000001,92.0,0.0,6,4.0,10,6,17,10,14,8,3,2,2
UBCO,2019,W,ANTH,103,,OVERALL,Introduction to World Archaeology,,174,74.402298851,14.970460139000002,98.0,0.0,8,4.0,10,9,19,18,20,16,21,20,29
UBCO,2019,W,ANTH,170,,001,Introduction to Linguistic Anthropology,Brianna Peacey;Shannon Ward,74,80.202702703,12.768732925999998,98.0,0.0,,,,2,1,10,6,7,18,16,13
UBCO,2019,W,ANTH,170,,101,Introduction to Linguistic Anthropology,Brianna Peacey;Shannon Ward,75,74.08,13.911651737,96.0,13.0,,,,5,10,7,11,12,5,7,12
UBCO,2019,W,ANTH,170,,OVERALL,Introduction to Linguistic Anthropology,,149,77.120805369,13.660909289000001,98.0,0.0,,,,7,11,17,17,19,23,23,25
UBCO,2019,W,ANTH,227,,101,"Culture, Health, and Illness",Adriane Charlene Peak;Adriane Peak;Hugo De Burgos;Natalie Chambers,93,82.849462366,6.3210246770000005,93.0,55.0,,,,,,,8,9,35,23,15
UBCO,2019,W,ANTH,227,,OVERALL,"Culture, Health, and Illness",,93,82.849462366,6.3210246770000005,93.0,55.0,,,,,,,8,9,35,23,15
UBCO,2019,W,ANTH,230,,101,"Culture, Happiness, and Wellness",Adriane Charlene Peak;Adriane Peak;Hugo De Burgos,84,80.476190476,7.69990798,91.0,35.0,,,,,,,13,13,26,25,
UBCO,2019,W,ANTH,230,,OVERALL,"Culture, Happiness, and Wellness",,84,80.476190476,7.69990798,91.0,35.0,,,,,,,13,13,26,25,
UBCO,2019,W,ANTH,252,,101,Visual Anthropology and New Media,Fiona Mcdonald,30,81.966666667,7.694527089,95.0,61.0,,,,,,,,,10,9,
UBCO,2019,W,ANTH,252,,OVERALL,Visual Anthropology and New Media,,30,81.966666667,7.694527089,95.0,61.0,,,,,,,,,10,9,
UBCO,2019,W,ANTH,270,,001,Phonology,Christine Schreyer;Robyn Giffen;Shannon Ward,19,79.684210526,12.032606772000001,98.0,60.0,,,,,,,,,,,6
UBCO,2019,W,ANTH,270,,OVERALL,Phonology,,19,79.684210526,12.032606772000001,98.0,60.0,,,,,,,,,,,6
UBCO,2019,W,ANTH,295,P,001,Current Topics in Anthropology,Natalie Forssman,18,73.333333333,11.334486677000001,91.0,53.0,,,,,,,,,,,
UBCO,2019,W,ANTH,295,P,OVERALL,Current Topics in Anthropology,,18,73.333333333,11.334486677000001,91.0,53.0,,,,,,,,,,,
UBCO,2019,W,ANTH,295,Q,101,Current Topics in Anthropology,John Wagner,21,78.80952381,6.225905939,91.0,66.0,,,,,,,,6,7,,
UBCO,2019,W,ANTH,295,Q,OVERALL,Current Topics in Anthropology,,21,78.80952381,6.225905939,91.0,66.0,,,,,,,,6,7,,
UBCO,2019,W,ANTH,300,,001,Contemporary Theory in Anthropology,John Wagner,38,74.184210526,12.556586003,91.0,24.0,,,,,,,5,5,11,,
UBCO,2019,W,ANTH,300,,OVERALL,Contemporary Theory in Anthropology,,38,74.184210526,12.556586003,91.0,24.0,,,,,,,5,5,11,,
UBCO,2019,W,ANTH,310,,001,Theory in Archaeology,Lindsay Der,29,81.379310345,5.8822602139999995,90.0,62.0,,,,,,,,6,12,8,
UBCO,2019,W,ANTH,310,,OVERALL,Theory in Archaeology,,29,81.379310345,5.8822602139999995,90.0,62.0,,,,,,,,6,12,8,
UBCO,2019,W,ANTH,319,,101,Settling Down: An Archaeology of Early State Societies,Neha Gupta,39,74.692307692,8.467131019,91.0,50.0,,,,,,5,6,16,6,,
UBCO,2019,W,ANTH,319,,OVERALL,Settling Down: An Archaeology of Early State Societies,,39,74.692307692,8.467131019,91.0,50.0,,,,,,5,6,16,6,,
UBCO,2019,W,ANTH,325,,101,Cultural Epidemiology,Adriane Charlene Peak;Adriane Peak;Andrea Keber;Hugo De Burgos,103,84.466019417,5.867516985,96.0,60.0,,,,,,5,,,28,50,15
UBCO,2019,W,ANTH,325,,OVERALL,Cultural Epidemiology,,103,84.466019417,5.867516985,96.0,60.0,,,,,,5,,,28,50,15
UBCO,2019,W,ANTH,327,,101,Things: Exploring Material Cultures,Lindsay Der,30,83.3,5.706318337000001,89.0,66.0,,,,,,,,5,7,16,
