Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2019,W,ECON,101,,001,Principles of Microeconomics,Abigayle Weatherhog;Anthony Boyko;Braydon Neiszner;Chidera Kingsley-Emu;Colton Horne;Devon Rudd;Hoang Bui;Jessica Grant;Juwilliart Cox;Kebbie Brown;Nicholas Ogawa;Noriko Ozawa;Voole Cox,266,66.902255639,17.239430303,98.0,0.0,33,17,36.0,13,28,24.0,19.0,26.0,33,20.0,17
UBCO,2019,W,ECON,101,,002,Principles of Microeconomics,Abigayle Weatherhog;Braydon Neiszner;Colton Horne;Hoang Bui;Jessica Grant;Juwilliart Cox;Khan Islam;Voole Cox,99,69.606060606,16.22973976,92.0,0.0,6,10,5.0,9,8,8.0,11.0,5.0,12,13.0,12
UBCO,2019,W,ECON,101,,101,Principles of Microeconomics,Khan Islam,259,68.22007722,15.650303462,97.0,0.0,17,32,24.0,24,21,27.0,23.0,20.0,30,22.0,19
UBCO,2019,W,ECON,101,,OVERALL,Principles of Microeconomics,,624,67.878205128,16.438159008,98.0,0.0,56,59,65.0,46,57,59.0,53.0,51.0,75,55.0,48
UBCO,2019,W,ECON,102,,001,Principles of Macroeconomics,Abigayle Weatherhog;Anthony Boyko;Braydon Neiszner;Chidera Kingsley-Emu;Colton Horne;Devon Rudd;Hoang Bui;Jessica Grant;Juwilliart Cox;Kebbie Brown;Nicholas Ogawa;Peter Wylie;Tazul Islam;Voole Cox,164,66.341463415,16.018562478,97.0,0.0,14,14,14.0,23,19,20.0,14.0,12.0,14,11.0,9
UBCO,2019,W,ECON,102,,101,Principles of Macroeconomics,Julien Picault,260,67.665384615,13.041349218,95.0,0.0,10,18,26.0,34,33,36.0,20.0,35.0,29,12.0,7
UBCO,2019,W,ECON,102,,102,Principles of Macroeconomics,Karl Pinno,173,74.063583815,14.385534679,98.0,0.0,4,16,4.0,5,13,23.0,16.0,25.0,24,23.0,20
UBCO,2019,W,ECON,102,,OVERALL,Principles of Macroeconomics,,597,69.155778894,14.626932991,98.0,0.0,28,48,44.0,62,65,79.0,50.0,72.0,67,46.0,36
UBCO,2019,W,ECON,204,,001,Intermediate Microeconomic Analysis,Anthony Boyko;Braydon Neiszner;Hoang Bui;Juwilliart Cox;Mehdi Mohamadian;Nicholas Ogawa;Noriko Ozawa;Sarah El Kaissi;Voole Cox,49,64.87755102,10.227888046,86.0,39.0,1,7,9.0,7,2,7.0,7.0,5.0,3,1.0,0
UBCO,2019,W,ECON,204,,101,Intermediate Microeconomic Analysis,Hoang Bui;Juwilliart Cox;Mehdi Mohamadian;Mohsen Javdani;Noriko Ozawa;Spencer Dean;Spencer Lh Dean,60,60.583333333,17.163512408,95.0,21.0,13,6,8.0,4,9,5.0,4.0,0.0,6,2.0,3
