Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2020,W,APSC,169,,201,Fundamentals of Sustainable Engineering Design,Ahmed Sharaby;Atefeh Aliashrafi Zagi;Leticia Recla;Mahmoud Sakr;Majid Moradzadeh;Md Shahadat Hossain;Negin Jalili;Negin Kazemian;Ray Taheri-Ardebili;Resty Nabaterega;Saba Saleem;Shiva Khoei;Sunil Suresh;Vida Araban,218,77.31651376,9.669935486,96.0,43.0,3,4.0,3.0,8.0,11,20,27,42,46,37.0,17
UBCO,2020,W,APSC,169,,202,Fundamentals of Sustainable Engineering Design,Ahmed Sharaby;Atefeh Aliashrafi Zagi;Leticia Recla;Mahmoud Sakr;Majid Moradzadeh;Md Shahadat Hossain;Negin Jalili;Negin Kazemian;Ray Taheri-Ardebili;Resty Nabaterega;Saba Saleem;Shiva Khoei;Sunil Suresh;Vida Araban,215,73.94883721,14.28783503,99.0,0.0,9,7.0,6.0,13.0,14,24,32,28,40,24.0,18
UBCO,2020,W,APSC,169,,OVERALL,Fundamentals of Sustainable Engineering Design,,433,75.6443418,12.28568392,99.0,0.0,12,11.0,9.0,21.0,25,44,59,70,86,61.0,35
UBCO,2020,W,APSC,171,,101,Engineering Drawing and CAD/CAM,Ahmed Elmouchi;Ali Davoodabadifarahani;Mehrnaz Soleimanpour Makuei;Negin Jalili;Ray Taheri-Ardebili;Reeghan Osmond;Sara Dordanihaghighi;Sarin Raj Pokhrel;Tina Olfatbakhsh,226,77.89380531,11.9728306,95.0,1.0,4,6.0,4.0,4.0,13,14,18,34,68,43.0,18
UBCO,2020,W,APSC,171,,102,Engineering Drawing and CAD/CAM,Ahmed Elmouchi;Ali Davoodabadifarahani;Mehrnaz Soleimanpour Makuei;Negin Jalili;Ray Taheri-Ardebili;Reeghan Osmond;Sara Dordanihaghighi;Sarin Raj Pokhrel;Tina Olfatbakhsh,187,77.9144385,11.40473186,100.0,13.0,4,1.0,2.0,5.0,12,19,21,26,37,45.0,15
UBCO,2020,W,APSC,171,,OVERALL,Engineering Drawing and CAD/CAM,,413,77.9031477,11.70492033,100.0,1.0,8,7.0,6.0,9.0,25,33,39,60,105,88.0,33
UBCO,2020,W,APSC,172,,001,Engineering Analysis I,Peyman Yousefi;Tina Olfatbakhsh;Vahid Asgharian,15,56.26666667,20.3205268,86.0,27.0,5,0.0,1.0,2.0,2,2,0,2,0,1.0,0
UBCO,2020,W,APSC,172,,101,Engineering Analysis I,Dean Richert;John Alan Brereton;Michael Mitchell;Sarin Raj Pokhrel;Tina Olfatbakhsh;Vahid Asgharian,180,78.16666667,15.36429148,99.0,14.0,12,4.0,7.0,6.0,11,14,9,15,27,25.0,50
UBCO,2020,W,APSC,172,,102,Engineering Analysis I,Hamid Maghzian;Michael Mitchell;Sarin Raj Pokhrel;Stephen O'Leary;Tina Olfatbakhsh;Vahid Asgharian,195,73.73333333,19.14353452,98.0,0.0,16,5.0,16.0,11.0,10,17,15,15,23,28.0,39
UBCO,2020,W,APSC,172,,OVERALL,Engineering Analysis I,,390,75.10769231,18.03377843,99.0,0.0,33,9.0,24.0,19.0,23,33,24,32,50,54.0,89
UBCO,2020,W,APSC,173,,201,Engineering Analysis II,Alok Chandra;Manjot Kaur;Mohammad Tiznobaik;Sandun Tharaka Wanniarachchi;Sin Hang Cheung;Vipul Moudgil,170,78.90588235,16.16858195,100.0,14.0,10,7.0,5.0,7.0,10,7,9,16,24,26.0,49
UBCO,2020,W,APSC,173,,202,Engineering Analysis II,Alok Chandra;Manjot Kaur;Mohammad Tiznobaik;Sandun Tharaka Wanniarachchi;Sin Hang Cheung;Vipul Moudgil,172,76.68023256,18.43487237,100.0,6.0,15,4.0,10.0,12.0,9,8,8,15,17,25.0,49
UBCO,2020,W,APSC,173,,OVERALL,Engineering Analysis II,,342,77.78654971,17.35580883,100.0,6.0,25,11.0,15.0,19.0,19,15,17,31,41,51.0,98
UBCO,2020,W,APSC,176,,101,Engineering Communication,Amanda Werner;Laura Patterson,32,72.3125,18.49574929,90.0,2.0,2,1.0,1.0,1.0,2,3,2,7,8,4.0,1
UBCO,2020,W,APSC,176,,102,Engineering Communication,Amanda Werner;Laura Patterson,34,68.97058824,14.41692039,87.0,22.0,4,1.0,2.0,1.0,3,3,6,6,5,3.0,0
UBCO,2020,W,APSC,176,,103,Engineering Communication,Amanda Werner;Laura Patterson,34,77.26470588,5.858476498,88.0,64.0,0,0.0,0.0,0.0,3,3,5,9,11,3.0,0
UBCO,2020,W,APSC,176,,104,Engineering Communication,Carolyn Labun;Graeme Webb;Jannik Eikenaar;Mehnaz Tabassum,32,78.15625,5.267731194,93.0,67.0,0,0.0,0.0,0.0,2,1,5,15,6,2.0,1
UBCO,2020,W,APSC,176,,105,Engineering Communication,Carolyn Labun;Emmalee Taylor;Jannik Eikenaar;Kyla Morris;Natalie Forssman,36,65.69444444,15.28551031,90.0,20.0,3,3.0,7.0,1.0,3,5,4,2,5,2.0,1
UBCO,2020,W,APSC,176,,106,Engineering Communication,Emmalee Taylor;Jannik Eikenaar;Kyla Morris;Natalie Forssman,35,65.85714286,19.08362843,90.0,10.0,4,4.0,0.0,4.0,1,4,7,3,5,1.0,2
UBCO,2020,W,APSC,176,,107,Engineering Communication,Emmalee Taylor;Jannik Eikenaar;Kyla Morris,30,69.2,12.7830707,88.0,35.0,2,2.0,3.0,1.0,5,2,3,4,6,2.0,0
UBCO,2020,W,APSC,176,,108,Engineering Communication,Graeme Webb;Mehnaz Tabassum,32,76.46875,12.81879763,92.0,19.0,1,0.0,1.0,1.0,0,3,4,9,8,3.0,2
UBCO,2020,W,APSC,176,,109,Engineering Communication,Graeme Webb;Mehnaz Tabassum,28,71.82142857,16.31643927,89.0,13.0,3,1.0,0.0,1.0,1,2,7,3,6,4.0,0
UBCO,2020,W,APSC,176,,110,Engineering Communication,Emmalee S L Taylor;Emmalee Taylor;Mairi Richter,32,64.5625,18.95995355,85.0,1.0,3,2.0,1.0,6.0,3,3,7,2,4,1.0,0
UBCO,2020,W,APSC,176,,111,Engineering Communication,Emmalee S L Taylor;Emmalee Taylor;Mairi Richter,36,67.58333333,11.85477601,90.0,24.0,2,2.0,1.0,2.0,6,10,8,1,3,0.0,1
UBCO,2020,W,APSC,176,,112,Engineering Communication,Emmalee S L Taylor;Emmalee Taylor;Mairi Richter,33,69.90909091,12.03734719,85.0,17.0,2,0.0,1.0,2.0,5,5,6,10,1,1.0,0
UBCO,2020,W,APSC,176,,OVERALL,Engineering Communication,,394,70.55076142,14.76046959,93.0,1.0,26,16.0,17.0,20.0,34,44,64,71,68,26.0,8
