Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2020,W,ENGR,303,,101,Engineering Project Management,Kasun Hewage;Ravihari Kotagoda Hetti;Saeed Mohammadiun;Sandun Tharaka Wanniarachchi,203,81.088669951,8.958762495,96.0,47.0,3,0.0,0,4,11,13,14,27,49,51,31
UBCO,2020,W,ENGR,303,,OVERALL,Engineering Project Management,,203,81.088669951,8.958762495,96.0,47.0,3,0.0,0,4,11,13,14,27,49,51,31
UBCO,2020,W,ENGR,305,,201,Engineering Economic Analysis,John Alan Brereton;Maher Al-Hawarneh;Malcolm Metcalfe;Zahra Azimi Dijvejin,189,81.248677249,13.017441689,100.0,45.0,3,5.0,10,3,8,12,15,15,26,36,56
UBCO,2020,W,ENGR,305,,OVERALL,Engineering Economic Analysis,,189,81.248677249,13.017441689,100.0,45.0,3,5.0,10,3,8,12,15,15,26,36,56
UBCO,2020,W,ENGR,310,,101,Fluid Mechanics II,Ahmadreza Ghaffarkhah;Deepanshi Sisodiya;Joshua Brinkerhoff;Kasper Petersen,148,77.925675676,9.922208455,96.0,43.0,1,0.0,4,7,10,21,17,16,27,26,19
UBCO,2020,W,ENGR,310,,OVERALL,Fluid Mechanics II,,148,77.925675676,9.922208455,96.0,43.0,1,0.0,4,7,10,21,17,16,27,26,19
UBCO,2020,W,ENGR,315,,201,Systems and Control,Aria Salari;Bara Emran;Kai Neubauer;Logan Tarasoff;Ram Dershan,119,77.033613445,12.351444555,100.0,38.0,2,3.0,4,7,14,5,10,11,28,19,16
UBCO,2020,W,ENGR,315,,202,Systems and Control,Aria Salari;Dean Richert;Kai Neubauer;Logan Tarasoff;Ram Dershan,75,72.693333333,16.58799088,100.0,0.0,5,2.0,4,6,6,6,11,7,10,8,10
UBCO,2020,W,ENGR,315,,OVERALL,Systems and Control,,194,75.355670103,14.257160507,100.0,0.0,7,5.0,8,13,20,11,21,18,38,27,26
UBCO,2020,W,ENGR,320,,201,Electromechanical Devices,Alireza Eyvazizadeh Khosroshahi;Peyman Amiri;Rakiba Rayhana;Wilson Eberle;Yanqi Yu,143,83.013986014,7.321573384,96.0,63.0,0,0.0,0,1,4,7,10,16,36,42,27
