Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2021,W,PHIL,111,,001,Introduction to Philosophy I,Azzah Farras;Christine Semeniuk;Jennifer Ingle;Nathan Cockram,58,69.74137931,10.664846903,87.0,42.0,2,3.0,6.0,5.0,8,7.0,7,10,6,4,0
UBCO,2021,W,PHIL,111,,002,Introduction to Philosophy I,Anthony Baxter;Ben Robideau;Madeleine Ransom,61,78.655737705,11.976205918,97.0,42.0,1,2.0,0.0,5.0,2,7.0,5,5,9,14,11
UBCO,2021,W,PHIL,111,,003,Introduction to Philosophy I,Phil Smolenski;Toney Bedell,67,69.611940299,13.635909837,93.0,0.0,3,0.0,1.0,5.0,9,16.0,19,4,6,3,1
UBCO,2021,W,PHIL,111,,102,Introduction to Philosophy I,Anthony Baxter;Ben Robideau;Jennifer Ingle;Madeleine Ransom,60,77.666666667,15.891226304,94.0,0.0,3,0.0,0.0,4.0,4,6.0,4,5,9,14,11
UBCO,2021,W,PHIL,111,,OVERALL,Introduction to Philosophy I,,246,73.849593496,13.80999859,97.0,0.0,9,5.0,7.0,19.0,23,36.0,35,24,30,35,23
UBCO,2021,W,PHIL,120,,001,Introduction to Logic and Critical Thinking,Fawad Ahmad;Giovanni Grandi;Joshua Ayer,115,72.12173913,17.286617797,100.0,1.0,11,5.0,6.0,6.0,10,13.0,11,15,16,5,17
UBCO,2021,W,PHIL,120,,002,Introduction to Logic and Critical Thinking,Ben Robideau;Madeleine Ransom,125,85.656,9.181067476,99.0,50.0,0,2.0,2.0,0.0,2,2.0,7,13,16,29,52
UBCO,2021,W,PHIL,120,,101,Introduction to Logic and Critical Thinking,Fawad Ahmad;Giovanni Grandi;Joshua Ayer,114,71.105263158,19.643895411,100.0,2.0,10,10.0,3.0,5.0,14,12.0,11,12,7,10,20
UBCO,2021,W,PHIL,120,,OVERALL,Introduction to Logic and Critical Thinking,,354,76.573446328,17.174540614,100.0,1.0,21,17.0,11.0,11.0,26,27.0,29,40,39,44,89
UBCO,2021,W,PHIL,121,,001,Introduction to Philosophy II,Phil Smolenski;Thomas Ryder;Toney Bedell,55,71.072727273,14.166803327,90.0,0.0,1,6.0,1.0,3.0,3,8.0,8,7,14,2,2
