Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,S,HIST,106,,98A,Global Environmental History,Brandon Cody Davis;Brandon Davis,51,72.98039216,8.744118471,86.0,40.0,,,,,,7,8,15,10,,0
UBCV,2014,S,HIST,106,,OVERALL,Global Environmental History,,51,72.98039216,8.744118471,86.0,40.0,,,,,,7,8,15,10,,0
UBCV,2014,S,HIST,319,,951,"Britain, 1945 to the Present",Michael Lanthier,46,65.67391304,17.54999759,85.0,0.0,5,,,,,11,10,5,5,,0
UBCV,2014,S,HIST,319,,OVERALL,"Britain, 1945 to the Present",,46,65.67391304,17.54999759,85.0,0.0,5,,,,,11,10,5,5,,0
UBCV,2014,S,HIST,326,,921,Canada Since 1945: Affluence and Anxiety in the Atomic Age.,Lara Silver,52,83.15384615,8.529957854,95.0,60.0,0,0,0,,,,,5,7,20,11
UBCV,2014,S,HIST,326,,OVERALL,Canada Since 1945: Affluence and Anxiety in the Atomic Age.,,52,83.15384615,8.529957854,95.0,60.0,0,0,0,,,,,5,7,20,11
UBCV,2014,S,HIST,380,C,921,"The Making of Modern China: Nationalism, War, Revolution",Colin Robert Green,51,74.19607843,8.692570639,86.0,36.0,,,,,6,6,7,14,8,6,0
UBCV,2014,S,HIST,380,C,OVERALL,"The Making of Modern China: Nationalism, War, Revolution",,51,74.19607843,8.692570639,86.0,36.0,,,,,6,6,7,14,8,6,0
UBCV,2014,S,HIST,386,A,951,Korea Since 1860,Avram Agov,46,78.7173913,8.536621875,90.0,40.0,,,,,,5,8,9,10,11,
UBCV,2014,S,HIST,386,A,OVERALL,Korea Since 1860,,46,78.7173913,8.536621875,90.0,40.0,,,,,,5,8,9,10,11,
UBCV,2014,S,HIST,432,,921,International Relations of the Great Powers in the Twentieth Century,Vitaliy Timofiiv,44,76.70454546,12.57642598,85.0,0.0,,,,,,,8,11,19,,0
UBCV,2014,S,HIST,432,,OVERALL,International Relations of the Great Powers in the Twentieth Century,,44,76.70454546,12.57642598,85.0,0.0,,,,,,,8,11,19,,0
UBCV,2014,S,HIST,441,,98A,History of the Holocaust,Jay Eidelman,44,74.13636364,4.572877111,85.0,64.0,0,0,0,0,5,,14,16,,,0
UBCV,2014,S,HIST,441,,OVERALL,History of the Holocaust,,45,74.08888889,4.531817929,85.0,64.0,0,0,0,0,5,,15,16,,,0
UBCV,2014,S,HIST,482,,921,Chinese Migration,Henry Yu,10,86.7,1.702938637,90.0,85.0,0,0,0,0,0,0,0,0,0,9,1.0
UBCV,2014,S,HIST,482,,OVERALL,Chinese Migration,,10,86.7,1.702938637,90.0,85.0,0,0,0,0,0,0,0,0,0,9,1.0
