Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,S,LLED,421,,93Q,Gramligne: Learning and Teaching Grammar in Text for the Second Language Classroom,Isabelle A G Denizot;Isabelle Denizot,16,79.6875,18.62513982,94.0,18.0,,,,,,,,,6,,5
UBCV,2014,S,LLED,421,,OVERALL,Gramligne: Learning and Teaching Grammar in Text for the Second Language Classroom,,16,79.6875,18.62513982,94.0,18.0,,,,,,,,,6,,5
UBCV,2014,S,LLED,423,,951,Teaching French Adolescent Literature: Secondary,Genevieve Brisson,15,90.66666667,3.015831244,97.0,87.0,0,0,0,0,0,0,0,0,0,6,9
UBCV,2014,S,LLED,423,,OVERALL,Teaching French Adolescent Literature: Secondary,,15,90.66666667,3.015831244,97.0,87.0,0,0,0,0,0,0,0,0,0,6,9
UBCV,2014,S,LLED,445,,951,Poetry in Education: Elementary and Middle Years,Carl Leggo,29,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,29
UBCV,2014,S,LLED,445,,OVERALL,Poetry in Education: Elementary and Middle Years,,29,90.0,0.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,29
UBCV,2014,S,LLED,449,,951,Teaching Adolescents' Literature,Claire Ahn,25,90.92,2.039607805,94.0,87.0,0,0,0,0,0,0,0,0,0,8,17
UBCV,2014,S,LLED,449,,OVERALL,Teaching Adolescents' Literature,,25,90.92,2.039607805,94.0,87.0,0,0,0,0,0,0,0,0,0,8,17
UBCV,2014,S,LLED,469,,951,Resource-Based Teaching,Moira Ekdahl,19,91.2631579,6.270230416,100.0,83.0,0,0,0,0,0,0,0,0,,,12
UBCV,2014,S,LLED,469,,OVERALL,Resource-Based Teaching,,19,91.2631579,6.270230416,100.0,83.0,0,0,0,0,0,0,0,0,,,12
UBCV,2014,S,LLED,478,A,951,Introduction to Teaching English as a Second Language,Dianne Fouladi,25,87.44,3.937850513,92.0,79.0,0,0,0,0,0,0,0,,,14,7
UBCV,2014,S,LLED,478,A,OVERALL,Introduction to Teaching English as a Second Language,,25,87.44,3.937850513,92.0,79.0,0,0,0,0,0,0,0,,,14,7
UBCV,2014,S,LLED,478,B,952,Introduction to Teaching English as a Second Language,Michael Trottier,24,79.125,9.451535417,90.0,51.0,0,,,,,,,,,9,
UBCV,2014,S,LLED,478,B,OVERALL,Introduction to Teaching English as a Second Language,,24,79.125,9.451535417,90.0,51.0,0,,,,,,,,,9,
UBCV,2014,S,LLED,478,C,96A,Introduction to Teaching English as a Second Language,Steven Talmy,13,87.30769231,5.793453423,93.0,70.0,0,0,0,0,0,,,,,6,6
UBCV,2014,S,LLED,478,C,OVERALL,Introduction to Teaching English as a Second Language,,13,87.30769231,5.793453423,93.0,70.0,0,0,0,0,0,,,,,6,6
UBCV,2014,S,LLED,489,A,921,Applied Linguistics for Teachers,Ismaeil Fazel;Victoria Surtees,33,83.09090909,7.354265923,98.0,61.0,0,0,0,,,,,5,9,10,5
UBCV,2014,S,LLED,489,A,951,Applied Linguistics for Teachers,Natalia Balyasnikova,21,87.90476191,4.182161665,94.0,79.0,0,0,0,0,0,0,0,,,7,10
UBCV,2014,S,LLED,489,A,OVERALL,Applied Linguistics for Teachers,,54,84.96296296,6.698248047,98.0,61.0,0,0,0,,,,,6,12,17,15
UBCV,2014,S,LLED,489,B,922,Applied Linguistics for Teachers,Joel Thurlow Heng Hartse,32,84.4375,5.983512293,92.0,70.0,0,0,0,0,0,,,,5,13,8
UBCV,2014,S,LLED,489,B,952,Applied Linguistics for Teachers,Bonny Norton,16,86.875,3.304037934,92.0,80.0,0,0,0,0,0,0,0,0,3.0,8,5
UBCV,2014,S,LLED,489,B,OVERALL,Applied Linguistics for Teachers,,48,85.25,5.33355496,92.0,70.0,0,0,0,0,0,,,,8,21,13
UBCV,2014,S,LLED,489,C,96A,Applied Linguistics for Teachers,Ryan Deschambault,20,84.4,3.912194162,89.0,74.0,0,0,0,0,0,0,,,,13,0
