Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,APBI,200,,001,Introduction to Soil Science,Akshit Puri;Darrell Hoffman;Katarina Neufeld;Kiran Padda;Kiran Preet Padda;Maja Krzic;Meghan Laidlaw;Wei Tao Rong,118,64.9661017,15.98339534,90.0,0.0,9,8,19,9,7,27,13,,15,,3.0
UBCV,2014,W,APBI,200,,002,Introduction to Soil Science,Akshit Puri;Darrell Hoffman;Katarina Neufeld;Kiran Padda;Kiran Preet Padda;Meghan Laidlaw;Sandra Brown;Wei Tao Rong,112,64.59821429,16.14710518,93.0,3.0,17,7,10,11,11,15,11,6,15,6,3.0
UBCV,2014,W,APBI,200,,99C,Introduction to Soil Science,Marie-Claude Fortin;Qian Tang,26,71.76923077,20.50230756,96.0,0.0,1,2,3,2,4,0,1,,5,,5
UBCV,2014,W,APBI,200,,OVERALL,Introduction to Soil Science,,257,65.56420234,16.62913373,96.0,0.0,27,17,32,22,22,42,25,10,35,14,11
UBCV,2014,W,APBI,210,,001,Vascular Plants,Sean Graham;Shona Margaret Ellis,18,72.77777778,12.48319131,90.0,51.0,0,,,,,,,,,,
UBCV,2014,W,APBI,210,,OVERALL,Vascular Plants,,18,72.77777778,12.48319131,90.0,51.0,0,,,,,,,,,,
UBCV,2014,W,APBI,244,,001,Introduction to Biometeorology,Andreas Christen;Hughie Jones;Thomas Andrew Black,32,69.84375,13.13726386,92.0,35.0,,,,,,,8,,,,
UBCV,2014,W,APBI,244,,OVERALL,Introduction to Biometeorology,,32,69.84375,13.13726386,92.0,35.0,,,,,,,8,,,,
UBCV,2014,W,APBI,260,,001,Agroecology I,Bryanna Thiel;Carrie Elise James;Carrie James;George Furey;Katarina Neufeld;Remy Bargout;Sean Smukler,26,78.96153846,12.74199598,90.0,22.0,,,,,,,,5,9,6,
UBCV,2014,W,APBI,260,,OVERALL,Agroecology I,,26,78.96153846,12.74199598,90.0,22.0,,,,,,,,5,9,6,
UBCV,2014,W,APBI,265,,001,Sustainable Agriculture and Food Systems,Delisa Ann Lewis;Delisa Lewis,23,86.56521739,8.038691023,97.0,61.0,0,0,0,,,,,,,8,9
UBCV,2014,W,APBI,265,,OVERALL,Sustainable Agriculture and Food Systems,,23,86.56521739,8.038691023,97.0,61.0,0,0,0,,,,,,,8,9
UBCV,2014,W,APBI,311,,001,Animal Physiology I,Asadeh Behnam-Shabahang;Fei Wern Pang;Rajadurai Rajamahendran,39,79.64102564,7.128472116,92.0,60.0,0,0,0,,,,7,,11,11,
UBCV,2014,W,APBI,311,,OVERALL,Animal Physiology I,,39,79.64102564,7.128472116,92.0,60.0,0,0,0,,,,7,,11,11,
UBCV,2014,W,APBI,312,,001,Animal Physiology II,Fei Wern Pang;Manveen Kaur;Rajadurai Rajamahendran,23,79.60869565,6.548692655,90.0,65.0,0,0,0,0,,,,,5,7,
UBCV,2014,W,APBI,312,,OVERALL,Animal Physiology II,,23,79.60869565,6.548692655,90.0,65.0,0,0,0,0,,,,,5,7,
UBCV,2014,W,APBI,314,,001,Animals and Society,David Fraser;Heather Neave;Jesse Robbins;Joao Cardoso Costa;Marina Von Keyserlingk,68,87.20588235,6.732764227,96.0,56.0,0,0,,,,,,,16,16,32
UBCV,2014,W,APBI,314,,OVERALL,Animals and Society,,68,87.20588235,6.732764227,96.0,56.0,0,0,,,,,,,16,16,32
UBCV,2014,W,APBI,315,,001,Animal Welfare and the Ethics of Animal Use,Christine Lynne Sumner;Christine Sumner;Daniel Weary;David Fraser,56,83.67857143,7.311527991,95.0,63.0,0,0,0,,,,,,16,21,10
UBCV,2014,W,APBI,315,,OVERALL,Animal Welfare and the Ethics of Animal Use,,56,83.67857143,7.311527991,95.0,63.0,0,0,0,,,,,,16,21,10
UBCV,2014,W,APBI,316,,001,"Equine Biology, Health and Nutrition",Catherine Schuppli;Dax Atkinson,28,79.78571429,10.47521641,96.0,53.0,0,,,,,,5,,7,5,5
UBCV,2014,W,APBI,316,,OVERALL,"Equine Biology, Health and Nutrition",,28,79.78571429,10.47521641,96.0,53.0,0,,,,,,5,,7,5,5
UBCV,2014,W,APBI,318,,001,Applied Plant Breeding,Andrew Riseman,22,83.0,14.1455024,100.0,50.0,0,,,,,,,,5,,9
UBCV,2014,W,APBI,318,,OVERALL,Applied Plant Breeding,,22,83.0,14.1455024,100.0,50.0,0,,,,,,,,5,,9
UBCV,2014,W,APBI,322,,001,Horticultural Techniques,David Mcarthur;Gwendolyn Huber,28,78.78571429,5.513331606,90.0,64.0,0,0,0,0,,,,7,11,,
UBCV,2014,W,APBI,322,,OVERALL,Horticultural Techniques,,28,78.78571429,5.513331606,90.0,64.0,0,0,0,0,,,,7,11,,
UBCV,2014,W,APBI,324,,001,Introduction to Seed Plant Taxonomy,Quentin Charles Cronk,8,75.5,7.727501906,85.0,63.0,0,0,0,,,,,,,,0
