Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,BAHR,505,,MM1,Leadership,Jennifer Berdahl,36,80.305555556,6.453435162999999,95.0,67.0,,,,,,,6,8,7,10,
UBCV,2014,W,BAHR,505,,OVERALL,Leadership,,36,80.305555556,6.453435162999999,95.0,67.0,,,,,,,6,8,7,10,
UBCV,2014,W,BAHR,507,,001,Two-Party Negotiations,Dan Skarlicki,39,82.076923077,3.1654767280000002,90.0,76.0,,,,,,,,6,24,8,
UBCV,2014,W,BAHR,507,,002,Two-Party Negotiations,Dan Skarlicki,38,83.289473684,3.540559543,93.0,76.0,,,,,,,,5,20,11,
UBCV,2014,W,BAHR,507,,301,Two-Party Negotiations,Dan Skarlicki,33,81.878787879,6.213682361,88.0,51.0,,,,,,,,1,23,7,
UBCV,2014,W,BAHR,507,,302,Two-Party Negotiations,Karl Aquino,41,81.585365854,5.019838691,90.0,62.0,,,,,,,,8,22,8,
UBCV,2014,W,BAHR,507,,MM1,Two-Party Negotiations,Karl Aquino,48,76.729166667,3.0016986919999997,81.0,69.0,,,,,,,12,21,11,0,
UBCV,2014,W,BAHR,507,,OVERALL,Two-Party Negotiations,,199,80.884422111,4.855665081000001,93.0,51.0,,,,,,5,13,41,100,34,
UBCV,2014,W,BAHR,508,,001,Managing Change,Tracey Gurton,18,81.388888889,4.174698142,87.0,71.0,,,,,,,1,2,11,3,
UBCV,2014,W,BAHR,508,,302,Managing Change,Robert Prowse,33,80.424242424,4.17605004,89.0,73.0,,,,,,,5,9,12,7,
UBCV,2014,W,BAHR,508,,814,Managing Change,Robert Prowse,46,79.434782609,3.703764895,87.0,73.0,,,,,,,5,23,11,7,
UBCV,2014,W,BAHR,508,,OVERALL,Managing Change,,97,80.134020619,3.98598813,89.0,71.0,,,,,,,11,34,34,17,
UBCV,2014,W,BAHR,510,,813,Strategic Human Resource Management,Karin Kirkpatrick,30,76.766666667,2.1283526630000003,83.0,73.0,,,,,,,6,22,,,
UBCV,2014,W,BAHR,510,,OVERALL,Strategic Human Resource Management,,30,76.766666667,2.1283526630000003,83.0,73.0,,,,,,,6,22,,,
UBCV,2014,W,BAHR,520,,001,Managing the Employment Relationship,Perdip Atwal,41,80.097560976,4.211916892,91.0,71.0,,,,,,,,13,19,4,
UBCV,2014,W,BAHR,520,,MM1,Managing the Employment Relationship,Perdip Atwal,22,83.363636364,5.233094819,91.0,74.0,,,,,,,,4,4,9,
UBCV,2014,W,BAHR,520,,OVERALL,Managing the Employment Relationship,,63,81.238095238,4.81501109,91.0,71.0,,,,,,,,17,23,13,5
UBCV,2014,W,BAHR,550,,001,Organizational Behavior,Tracey Gurton,42,80.785714286,3.612550712,87.0,71.0,,,,,,,,10,23,5,
UBCV,2014,W,BAHR,550,,002,Organizational Behavior,Tracey Gurton,43,80.90697674399999,4.824609303,93.0,71.0,,,,,,,,12,18,6,
UBCV,2014,W,BAHR,550,,814,Organizational Behavior,Nancy Langton,40,80.825,3.161365333,88.0,76.0,,,,,,,,13,19,8,
UBCV,2014,W,BAHR,550,,MM1,Organizational Behavior,Perdip Atwal,49,82.306122449,4.691322138,90.0,71.0,,,,,,,,9,12,23,
UBCV,2014,W,BAHR,550,,OVERALL,Organizational Behavior,,174,81.25287356300001,4.188391308,93.0,71.0,,,,,,,10,44,72,42,
UBCV,2014,W,BAHR,580,D,MM1,Topics in Human Resources,Barbara Duzy,25,78.96,4.825971405,88.0,70.0,,,,,,,,9,8,4,
UBCV,2014,W,BAHR,580,D,MM2,Topics in Human Resources,Barbara Duzy,24,80.791666667,5.7330405220000005,90.0,70.0,,,,,,,,6,7,5,
UBCV,2014,W,BAHR,580,D,OVERALL,Topics in Human Resources,,49,79.857142857,5.315072906,90.0,70.0,,,,,,,,15,15,9,
