Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,BIOC,202,,001,Introductory Medical Biochemistry,Warren Williams,176,69.142045455,13.707026116,100.0,33.0,7,14,28,12,17,22,22,10,19,10,15
UBCV,2014,W,BIOC,202,,OVERALL,Introductory Medical Biochemistry,,176,69.142045455,13.707026116,100.0,33.0,7,14,28,12,17,22,22,10,19,10,15
UBCV,2014,W,BIOC,203,,001,Fundamentals of Biochemistry,Robert Maurus;Warren Williams,116,73.65517241399999,9.28964215,92.0,48.0,,,6,7,10,20,24,13,19,10,
UBCV,2014,W,BIOC,203,,OVERALL,Fundamentals of Biochemistry,,116,73.65517241399999,9.28964215,92.0,48.0,,,6,7,10,20,24,13,19,10,
UBCV,2014,W,BIOC,301,,001,Biochemistry Laboratory,Jason Read,144,80.722222222,6.9849432920000005,93.0,49.0,,,,,,6,10,32,44,35,10
UBCV,2014,W,BIOC,301,,OVERALL,Biochemistry Laboratory,,144,80.722222222,6.9849432920000005,93.0,49.0,,,,,,6,10,32,44,35,10
UBCV,2014,W,BIOC,302,,102,General Biochemistry,Alice Mui;Robert Maurus,193,70.580310881,12.53432894,93.0,23.0,10,14,14,16,14,22,25,23,34,12,9
UBCV,2014,W,BIOC,302,,201,General Biochemistry,Justin Barry Lee;Michael Krisinger;Robert Maurus,179,73.50837988800001,14.237696725,98.0,22.0,11,5,13,11,11,18,22,20,28,17,23
UBCV,2014,W,BIOC,302,,202,General Biochemistry,Justin Barry Lee;Michael Krisinger;Robert Maurus,205,70.8,13.964731487,97.0,38.0,13,24,9,16,18,18,15,16,37,25,14
UBCV,2014,W,BIOC,302,,OVERALL,General Biochemistry,,577,71.566724437,13.630394008,98.0,22.0,34,43,36,43,43,58,62,59,99,54,46
UBCV,2014,W,BIOC,303,,001,Molecular Biochemistry,Franck Duong Van Hoa;Masayuki Numata;Roger Brownsey;Thibault Mayor,104,74.538461538,11.46198705,95.0,31.0,,,,5,7,13,16,14,18,13,7
UBCV,2014,W,BIOC,303,,OVERALL,Molecular Biochemistry,,104,74.538461538,11.46198705,95.0,31.0,,,,5,7,13,16,14,18,13,7
UBCV,2014,W,BIOC,304,,001,Contemporary Biochemical Research,Calvin Yip;Joerg Gsponer;Leonard Foster;Thibault Mayor,90,73.022222222,10.999466563,93.0,30.0,,,,8,10,13,14,7,16,8,6
