Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,HGSE,350,,610,Case Studies in Haida Gwaii,,21,88.14285714299999,5.960584823,95.0,69.0,,,,,,,,,5,,11
UBCV,2014,W,HGSE,350,,OVERALL,Case Studies in Haida Gwaii,,21,88.14285714299999,5.960584823,95.0,69.0,,,,,,,,,5,,11
UBCV,2014,W,HGSE,351,,610,History and Politics of Resource Management,,20,79.1,5.857069503,88.0,70.0,,,,,,,,7,,6,
UBCV,2014,W,HGSE,351,,OVERALL,History and Politics of Resource Management,,20,79.1,5.857069503,88.0,70.0,,,,,,,,7,,6,
UBCV,2014,W,HGSE,352,,610,First Nations and Natural Resources,,21,90.0,1.58113883,93.0,88.0,,,,,,,,,,9,12
UBCV,2014,W,HGSE,352,,OVERALL,First Nations and Natural Resources,,21,90.0,1.58113883,93.0,88.0,,,,,,,,,,9,12
UBCV,2014,W,HGSE,353,,610,Rainforest Ecology and Management,,21,84.571428571,6.757006945,94.0,65.0,,,,,,,,,,7,6
UBCV,2014,W,HGSE,353,,OVERALL,Rainforest Ecology and Management,,21,84.571428571,6.757006945,94.0,65.0,,,,,,,,,,7,6
UBCV,2014,W,HGSE,354,,610,Diversifying Resource-Dependent Communities,,21,80.333333333,7.831560082999999,90.0,64.0,,,,,,,,,,7,
UBCV,2014,W,HGSE,354,,OVERALL,Diversifying Resource-Dependent Communities,,21,80.333333333,7.831560082999999,90.0,64.0,,,,,,,,,,7,
UBCV,2014,W,HGSE,355,,610,Applied Ecology of Coastal Terrestrial Ecosystems,,21,89.19047619,3.5583570310000003,94.0,83.0,,,,,,,,,,11,9
UBCV,2014,W,HGSE,355,,OVERALL,Applied Ecology of Coastal Terrestrial Ecosystems,,21,89.19047619,3.5583570310000003,94.0,83.0,,,,,,,,,,11,9
UBCV,2014,W,HGSE,356,,610,Biophysical Dynamics of the Marine-Terrestrial Interface,,21,78.0,6.473020933,90.0,65.0,,,,,,,,7,6,,
UBCV,2014,W,HGSE,356,,OVERALL,Biophysical Dynamics of the Marine-Terrestrial Interface,,21,78.0,6.473020933,90.0,65.0,,,,,,,,7,6,,
UBCV,2014,W,HGSE,357,,610,Ecology and Management of Island Wildlife,,21,95.285714286,4.039094665,100.0,87.0,,,,,,,,,,,17
UBCV,2014,W,HGSE,357,,OVERALL,Ecology and Management of Island Wildlife,,21,95.285714286,4.039094665,100.0,87.0,,,,,,,,,,,17
UBCV,2014,W,HGSE,358,,610,Conservation Ecology: Applications of Multiple Sources of Ecological Knowledge,,21,84.476190476,1.5368489719999998,88.0,82.0,,,,,,,,,14,7,
UBCV,2014,W,HGSE,358,,OVERALL,Conservation Ecology: Applications of Multiple Sources of Ecological Knowledge,,21,84.476190476,1.5368489719999998,88.0,82.0,,,,,,,,,14,7,
UBCV,2014,W,HGSE,359,,610,Ecosystem-Based Management Seminar,,21,90.285714286,5.13948302,98.0,77.0,,,,,,,,,,5,14
UBCV,2014,W,HGSE,359,,OVERALL,Ecosystem-Based Management Seminar,,21,90.285714286,5.13948302,98.0,77.0,,,,,,,,,,5,14
