Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,LIBR,500,,002,Foundations of Information Technology,Mary Stephenson,9,83.22222222,2.862594006,89.0,80.0,0,0,0,0,0,0,0,0,6,3.0,0
UBCV,2014,W,LIBR,500,,99A,Foundations of Information Technology,Mary Stephenson,44,84.47727273,3.128924597,90.0,77.0,0,0,0,0,0,0,0,,23,17,
UBCV,2014,W,LIBR,500,,99C,Foundations of Information Technology,Mary Stephenson,29,83.86206897,3.125061576,90.0,78.0,0,0,0,0,0,0,0,,15,10,
UBCV,2014,W,LIBR,500,,OVERALL,Foundations of Information Technology,,82,84.12195122,3.092764331,90.0,77.0,0,0,0,0,0,0,0,,44,30,
UBCV,2014,W,LIBR,501,,001,Foundations of the Information Society and Information Organizations,Lisa Nathan,44,84.77272727,1.709938614,90.0,82.0,0,0,0,0,0,0,0,0,22,21,1.0
UBCV,2014,W,LIBR,501,,002,Foundations of the Information Society and Information Organizations,Kelly Burke;Lisa Nathan,37,83.13513514,1.158594986,85.0,81.0,0,0,0,0,0,0,0,0,31,6,0
UBCV,2014,W,LIBR,501,,OVERALL,Foundations of the Information Society and Information Organizations,,81,84.02469136,1.688011468,90.0,81.0,0,0,0,0,0,0,0,0,53,27,1.0
UBCV,2014,W,LIBR,502,,001,Foundations of Resource Description and Access,Aaron James Loehrlein;Aaron Loehrlein,45,83.15555556,1.536755075,86.0,79.0,0,0,0,0,0,0,0,1.0,36,8,0
UBCV,2014,W,LIBR,502,,002,Foundations of Resource Description and Access,Aaron James Loehrlein;Aaron Loehrlein;Sarah Gilbert,36,84.02777778,2.286433419,88.0,78.0,0,0,0,0,0,0,0,1.0,19,16,0
UBCV,2014,W,LIBR,502,,OVERALL,Foundations of Resource Description and Access,,81,83.54320988,1.943253604,88.0,78.0,0,0,0,0,0,0,0,2.0,55,24,0
UBCV,2014,W,LIBR,503,,001,Foundations of Information Sources and Services,Luanne Freund,44,83.75,2.283662908,87.0,76.0,0,0,0,0,0,0,0,2.0,24,18,0
UBCV,2014,W,LIBR,503,,002,Foundations of Information Sources and Services,Colleen Addison;Luanne Freund,38,81.94736842,2.940374755,87.0,75.0,0,0,0,0,0,0,1.0,8,20,9,0
UBCV,2014,W,LIBR,503,,OVERALL,Foundations of Information Sources and Services,,82,82.91463415,2.745147096,87.0,75.0,0,0,0,0,0,0,1.0,10,44,27,0
UBCV,2014,W,LIBR,504,,001,Management of Information Organizations,Louise Broadley,21,86.66666667,6.085501897,97.0,71.0,0,0,0,0,0,,,,5,9,5
UBCV,2014,W,LIBR,504,,002,Management of Information Organizations,Anne Olsen;Louise Broadley,31,85.48387097,9.902427203,96.0,36.0,,,,,,,,,5,19,5
UBCV,2014,W,LIBR,504,,OVERALL,Management of Information Organizations,,52,85.96153846,8.517482686,97.0,36.0,,,,,,,,,10,28,10
UBCV,2014,W,LIBR,505,,001,Research Methods in Information Organizations,Richard Kopak,34,82.76470588,3.095048083,88.0,77.0,0,0,0,0,0,0,0,4.0,20,10,0
UBCV,2014,W,LIBR,505,,002,Research Methods in Information Organizations,Richard Kopak;Weimei Pan,35,81.54285714,10.14698697,89.0,25.0,,,,,,,,3.0,22,9,0
UBCV,2014,W,LIBR,505,,OVERALL,Research Methods in Information Organizations,,69,82.14492754,7.5171869,89.0,25.0,,,,,,,,7,42,19,0
UBCV,2014,W,LIBR,511,,001,Cataloguing and Classification,Florian Ehrensperger,10,85.3,5.100108931,92.0,73.0,0,0,0,0,0,0,,,1,7,
UBCV,2014,W,LIBR,511,,002,Cataloguing and Classification,Aaron James Loehrlein;Aaron Loehrlein,29,83.24137931,1.724925928,86.0,79.0,0,0,0,0,0,0,0,2.0,18,9,0
UBCV,2014,W,LIBR,511,,OVERALL,Cataloguing and Classification,,39,83.76923077,3.030212243,92.0,73.0,0,0,0,0,0,0,,,19,16,
UBCV,2014,W,LIBR,512,,002,Indexing,Mary Stephenson,18,84.88888889,1.131832917,88.0,83.0,0,0,0,0,0,0,0,0,5,13,0
UBCV,2014,W,LIBR,512,,OVERALL,Indexing,,18,84.88888889,1.131832917,88.0,83.0,0,0,0,0,0,0,0,0,5,13,0
UBCV,2014,W,LIBR,514,E,001,Topics in the Bibliographic Control of Information,Aaron James Loehrlein;Aaron Loehrlein,12,84.5,1.566698904,87.0,82.0,0,0,0,0,0,0,0,0,5,7,0
UBCV,2014,W,LIBR,514,E,OVERALL,Topics in the Bibliographic Control of Information,,12,84.5,1.566698904,87.0,82.0,0,0,0,0,0,0,0,0,5,7,0
UBCV,2014,W,LIBR,514,F,001,Topics in the Bibliographic Control of Information,Richard Arias Hernandez,15,83.2,3.72635402,90.0,76.0,0,0,0,0,0,0,0,,7,5,
UBCV,2014,W,LIBR,514,F,OVERALL,Topics in the Bibliographic Control of Information,,15,83.2,3.72635402,90.0,76.0,0,0,0,0,0,0,0,,7,5,
UBCV,2014,W,LIBR,516,,001,Information Asset Management,Alexandra Bradley,15,86.53333333,2.416215065,90.0,82.0,0,0,0,0,0,0,0,0,,10,
UBCV,2014,W,LIBR,516,,OVERALL,Information Asset Management,,15,86.53333333,2.416215065,90.0,82.0,0,0,0,0,0,0,0,0,,10,
UBCV,2014,W,LIBR,520,,002,Survey of Literature and Other Materials for Children,Judith Saltman,10,82.2,3.614784456,89.0,76.0,0,0,0,0,0,0,0,,5,,0
UBCV,2014,W,LIBR,520,,OVERALL,Survey of Literature and Other Materials for Children,,10,82.2,3.614784456,89.0,76.0,0,0,0,0,0,0,0,,5,,0
UBCV,2014,W,LIBR,521,,001,Contemporary Literature and Other Materials for Children,Judith Saltman,9,81.55555556,2.87711275,86.0,79.0,0,0,0,0,0,0,0,,,,0
UBCV,2014,W,LIBR,521,,OVERALL,Contemporary Literature and Other Materials for Children,,9,81.55555556,2.87711275,86.0,79.0,0,0,0,0,0,0,0,,,,0
UBCV,2014,W,LIBR,523,,002,Canadian Literature and other Materials for Children,Judith Saltman,11,83.81818182,2.891995222,88.0,80.0,0,0,0,0,0,0,0,0,7,4.0,0
UBCV,2014,W,LIBR,523,,OVERALL,Canadian Literature and other Materials for Children,,11,83.81818182,2.891995222,88.0,80.0,0,0,0,0,0,0,0,0,7,4.0,0
UBCV,2014,W,LIBR,527,,001,Services for Children,Judith Saltman,16,82.375,2.5,88.0,79.0,0,0,0,0,0,0,0,,11,,0
UBCV,2014,W,LIBR,527,,OVERALL,Services for Children,,16,82.375,2.5,88.0,79.0,0,0,0,0,0,0,0,,11,,0
UBCV,2014,W,LIBR,528,,002,Services for Young Adults,Eric Meyers,17,85.17647059,3.924845445,92.0,76.0,0,0,0,0,0,0,0,,7,7,
UBCV,2014,W,LIBR,528,,OVERALL,Services for Young Adults,,17,85.17647059,3.924845445,92.0,76.0,0,0,0,0,0,0,0,,7,7,
UBCV,2014,W,LIBR,529,,99C,Services for Families and Early Literacy in the Preschool Years,Allison Ruth Taylor Mcbryde,18,78.33333333,4.665265896,86.0,70.0,0,0,0,0,0,,,7,5,,0
UBCV,2014,W,LIBR,529,,OVERALL,Services for Families and Early Literacy in the Preschool Years,,18,78.33333333,4.665265896,86.0,70.0,0,0,0,0,0,,,7,5,,0
