Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,LING,100,,001,Introduction to Language and Linguistics,Adriana Osa Gomez Del Campo;Hermann Keupdjio;Hotze Rullmann;Joash Gambarage Johannes;Joash Johannes;Megan Louie,252,75.46031746,11.91781337,93.0,18.0,8,3.0,9,7,19,21,32,48,56,37,12
UBCV,2014,W,LING,100,,003,Introduction to Language and Linguistics,Analia Gutierrez;Andrei Anghelescu;Joash Gambarage Johannes;Joash Johannes;Martina Wiltschko;Sonja Thoma,247,83.27125506,11.43856441,100.0,0.0,2,2.0,2,3,10,12,14,23,52,54,73
UBCV,2014,W,LING,100,,OVERALL,Introduction to Language and Linguistics,,499,79.32665331,12.30859525,100.0,0.0,10,5,11,10,29,33,46,71,108,91,85
UBCV,2014,W,LING,101,,001,Languages of the World,James Mackie;James Scott Mackie;Strang Burton,249,76.43373494,11.68075972,98.0,17.0,1.0,9,11,15,18,24,27,29,48,41,26
UBCV,2014,W,LING,101,,002,Languages of the World,Erin Guntly;Erin Varhola;Strang Burton,252,80.98412698,10.24324411,97.0,40.0,1.0,5,1,6,10,24,23,24,45,55,58
UBCV,2014,W,LING,101,,OVERALL,Languages of the World,,501,78.72255489,11.20414523,98.0,17.0,2.0,14,12,21,28,48,50,53,93,96,84
UBCV,2014,W,LING,200,,001,Linguistic Theory and Analysis I,Analia Gutierrez;Gunnar Hansson;Jennifer Abel;Natalie Ann Weber;Natalie Weber,139,72.63309353,12.52136949,94.0,4.0,,,,11,21,15,16,22,21,17,5
UBCV,2014,W,LING,200,,OVERALL,Linguistic Theory and Analysis I,,139,72.63309353,12.52136949,94.0,4.0,,,,11,21,15,16,22,21,17,5
UBCV,2014,W,LING,201,,001,Linguistic Theory and Analysis II,Hermann Keupdjio;Jurij Bozic;Michael Rochemont;Sih Wei Chen,117,70.69230769,16.24407666,94.0,0.0,7,7,5,14,6,11,14,15,19,7,12
UBCV,2014,W,LING,201,,OVERALL,Linguistic Theory and Analysis II,,117,70.69230769,16.24407666,94.0,0.0,7,7,5,14,6,11,14,15,19,7,12
UBCV,2014,W,LING,209,,002,"Clinical Topics in Speech, Language, and Hearing Sciences",Joseph Stemberger;Masaki Noguchi,201,70.50746269,13.23069137,91.0,0.0,9,6,10,15,22,28,37,25,35,12,2.0
UBCV,2014,W,LING,209,,OVERALL,"Clinical Topics in Speech, Language, and Hearing Sciences",,201,70.50746269,13.23069137,91.0,0.0,9,6,10,15,22,28,37,25,35,12,2.0
UBCV,2014,W,LING,222,,002,Language Acquisition,Blake Allen;Carla Hudson Kam;Masaki Noguchi,109,81.8440367,10.87570714,99.0,27.0,,,,,7,6,13,13,20,23,25
UBCV,2014,W,LING,222,,OVERALL,Language Acquisition,,109,81.8440367,10.87570714,99.0,27.0,,,,,7,6,13,13,20,23,25
UBCV,2014,W,LING,300,,001,Studies in Grammar,Jonathan De Vries;Rose-Marie Dechaine;Sih Wei Chen,77,81.72727273,9.125782394,99.0,53.0,0,,,,,5,10,12,9,23,14
UBCV,2014,W,LING,300,,OVERALL,Studies in Grammar,,77,81.72727273,9.125782394,99.0,53.0,0,,,,,5,10,12,9,23,14
UBCV,2014,W,LING,311,,001,Studies in Phonology,Andrei Anghelescu;Kathleen Hall,79,74.72151899,9.212500856,93.0,54.0,0,,,5,10,14,8,14,9,11,
UBCV,2014,W,LING,311,,OVERALL,Studies in Phonology,,79,74.72151899,9.212500856,93.0,54.0,0,,,5,10,14,8,14,9,11,
UBCV,2014,W,LING,313,,001,Introduction to Linguistic Phonetics and Speech Science,Katie Bicevskis;Molly Babel;Raphael Girard,83,69.44578313,13.45657244,97.0,46.0,4.0,7,15,7,8,5,7,7,8,9,6
UBCV,2014,W,LING,313,,OVERALL,Introduction to Linguistic Phonetics and Speech Science,,83,69.44578313,13.45657244,97.0,46.0,4.0,7,15,7,8,5,7,7,8,9,6
UBCV,2014,W,LING,314,,001,Instrumental Phonetics,Katie Bicevskis;Murray Henry Schellenberg;Murray Schellenberg,56,74.78571429,11.09580475,97.0,52.0,0,,,,12,6,,8,8,8,5
UBCV,2014,W,LING,314,,OVERALL,Instrumental Phonetics,,56,74.78571429,11.09580475,97.0,52.0,0,,,,12,6,,8,8,8,5
UBCV,2014,W,LING,319,,001,Comparative and Historical Linguistics,Gunnar Hansson,41,75.02439024,9.296471925,94.0,55.0,0,0,,,,5,7,5,8,6,
UBCV,2014,W,LING,319,,OVERALL,Comparative and Historical Linguistics,,41,75.02439024,9.296471925,94.0,55.0,0,0,,,,5,7,5,8,6,
UBCV,2014,W,LING,327,,001,Introduction to Semantics,Erin Guntly;Erin Varhola;Lisa Matthewson,49,75.08163265,11.18934898,91.0,18.0,,,,,,11,9,11,5,8,
UBCV,2014,W,LING,327,,OVERALL,Introduction to Semantics,,49,75.08163265,11.18934898,91.0,18.0,,,,,,11,9,11,5,8,
UBCV,2014,W,LING,333,,001,Research Methods for Linguistics,Joseph Stemberger,18,85.38888889,2.199970291,89.0,81.0,0,0,0,0,0,0,0,0,7,11,0
UBCV,2014,W,LING,333,,OVERALL,Research Methods for Linguistics,,18,85.38888889,2.199970291,89.0,81.0,0,0,0,0,0,0,0,0,7,11,0
UBCV,2014,W,LING,345,,002,Pragmatics,Hotze Rullmann,44,76.11363636,9.104601211,93.0,58.0,0,0,,,,8,,12,6,,5
