Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,PHAR,201,,001,"Pharmacist, Patient and Society",Barbara Gobis;Colleen Brady;Janice Lynn Moshenko;Larry Lynd;Mary De Vera;Patricia Gerber;Peter Zed;Tony Seet,224,90.84821429,5.362567188,100.0,70.0,0,0,0,0,0,,,,24,62,132
UBCV,2014,W,PHAR,201,,OVERALL,"Pharmacist, Patient and Society",,224,90.84821429,5.362567188,100.0,70.0,0,0,0,0,0,,,,24,62,132
UBCV,2014,W,PHAR,202,,L01,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,37,76.08108108,6.422090255,88.0,64.0,0,0,0,0,,,9,8,7,6,0
UBCV,2014,W,PHAR,202,,L02,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,37,77.5945946,6.071149715,91.0,65.0,0,0,0,0,,,7,6,14,4,
UBCV,2014,W,PHAR,202,,L03,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,38,81.44736842,6.016631761,91.0,68.0,0,0,0,0,0,,,5,14,10,
UBCV,2014,W,PHAR,202,,L04,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,38,81.23684211,7.23144115,93.0,64.0,0,0,0,0,,,,8,7,13,
UBCV,2014,W,PHAR,202,,L05,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,37,78.78378378,5.116070189,88.0,70.0,0,0,0,0,0,1.0,8,9,12,7,0
UBCV,2014,W,PHAR,202,,L06,Pharmacy Skills I,Davide Massaro;Fong Chan;Katherine Seto;Tasnuva Mariam;Tony Seet,37,79.86486487,6.023851491,90.0,64.0,0,0,0,0,,,,11,6,12,
UBCV,2014,W,PHAR,202,,OVERALL,Pharmacy Skills I,,224,79.1875,6.409817652,93.0,64.0,0,0,0,0,10,11,33,47,60,52,11
UBCV,2014,W,PHAR,220,,001,Physicochemical Properties of Drugs,Jialin Xu;Safwat Mohamed Mohamed;Simon Albon;Urs Hafeli;Vongai Nyamandi;Yucheng Zhao,223,83.75336323,7.678633916,99.0,58.0,0,0,,,6,10,13,19,58,62,52
UBCV,2014,W,PHAR,220,,OVERALL,Physicochemical Properties of Drugs,,223,83.75336323,7.678633916,99.0,58.0,0,0,,,6,10,13,19,58,62,52
UBCV,2014,W,PHAR,241,,001,Foundations of Pharmacology,Devinder Sharma;Tim Chen,224,85.74107143,10.22197188,100.0,30.0,,,,,,8,11,18,37,38,102
UBCV,2014,W,PHAR,241,,OVERALL,Foundations of Pharmacology,,224,85.74107143,10.22197188,100.0,30.0,,,,,,8,11,18,37,38,102
UBCV,2014,W,PHAR,299,,001,Cases in Pharmaceutical Sciences I,Charles Park;Janice Lynn Moshenko;Mohammad Atiquzzaman;Pardis Lakzadeh;Shenglong Zou,224,81.90178571,4.490068405,94.0,65.0,0,0,0,0,,,7,48,95,63,6
UBCV,2014,W,PHAR,299,,OVERALL,Cases in Pharmaceutical Sciences I,,224,81.90178571,4.490068405,94.0,65.0,0,0,0,0,,,7,48,95,63,6
UBCV,2014,W,PHAR,303,,L01,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,35,73.91428571,6.036026296,86.0,61.0,0,0,0,,,8,8,8,5,,0
UBCV,2014,W,PHAR,303,,L02,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,37,69.21621622,6.996567155,82.0,53.0,0,,,5,9,,10,2,,0,0
UBCV,2014,W,PHAR,303,,L03,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,37,72.45945946,7.444590111,86.0,53.0,0,,,,,7,11,7,,,0
UBCV,2014,W,PHAR,303,,L04,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,37,78.89189189,5.037546712,87.0,68.0,0,0,0,0,0,3.0,6,10,12,6,0
UBCV,2014,W,PHAR,303,,L05,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,37,77.43243243,4.663930987,85.0,66.0,0,0,0,0,,,9,11,12,,0
UBCV,2014,W,PHAR,303,,L06,Pharmacy Skills II,Colleen Brady;Davide Massaro;Fong Chan;Jonathon Campbell;Karen Dahri;Katherine Seto,37,75.5945946,5.464326021,86.0,58.0,0,0,,,,,12,14,5,,0
UBCV,2014,W,PHAR,303,,OVERALL,Pharmacy Skills II,,220,74.59090909,6.771273535,87.0,53.0,0,2.0,5,9,18,25,56,52,42,11,0
UBCV,2014,W,PHAR,315,,001,Pharmacokinetics,Jacob Gordon;Kenneth Wayne Riggs;Mary Ensom,220,79.98181818,10.04099526,97.0,45.0,,,,11,14,14,22,22,45,49,37
UBCV,2014,W,PHAR,315,,OVERALL,Pharmacokinetics,,220,79.98181818,10.04099526,97.0,45.0,,,,11,14,14,22,22,45,49,37
UBCV,2014,W,PHAR,321,,001,Biophysical Pharmacy I,Jacob Gordon;Kenneth Wayne Riggs;Shyh-Dar Li,219,76.85844749,8.206232771,95.0,55.0,0,0,7,8,16,25,34,42,48,31,8
UBCV,2014,W,PHAR,321,,OVERALL,Biophysical Pharmacy I,,219,76.85844749,8.206232771,95.0,55.0,0,0,7,8,16,25,34,42,48,31,8
UBCV,2014,W,PHAR,323,,001,Biophysical Pharmacy II,Kevin Letchford;Shona Sedlock;Shyh-Dar Li;Urs Hafeli,219,78.56621005,7.739387512,95.0,60.0,0,0,0,6,12,27,35,36,50,37,16
UBCV,2014,W,PHAR,323,,OVERALL,Biophysical Pharmacy II,,219,78.56621005,7.739387512,95.0,60.0,0,0,0,6,12,27,35,36,50,37,16
UBCV,2014,W,PHAR,330,,001,Pharmacogenomics: Genetics and Drug Action,Corey Nislow;Michael Coughtrie;Sean Formby,219,82.82648402,5.369556724,95.0,65.0,0,0,0,0,,,12,47,68,65,22
UBCV,2014,W,PHAR,330,,OVERALL,Pharmacogenomics: Genetics and Drug Action,,219,82.82648402,5.369556724,95.0,65.0,0,0,0,0,,,12,47,68,65,22
UBCV,2014,W,PHAR,341,,001,Pharmacology I,Brian Cairns,221,77.0678733,9.996813561,94.0,50.0,0,4.0,10,13,12,25,27,30,39,39,22
UBCV,2014,W,PHAR,341,,OVERALL,Pharmacology I,,221,77.0678733,9.996813561,94.0,50.0,0,4.0,10,13,12,25,27,30,39,39,22
UBCV,2014,W,PHAR,342,,001,Pharmacology II,Connor Thompson;Judy Wong;Ujendra Kumar,220,73.25909091,8.698457276,90.0,43.0,,,11,18,24,34,42,33,29,26,
UBCV,2014,W,PHAR,342,,OVERALL,Pharmacology II,,220,73.25909091,8.698457276,90.0,43.0,,,11,18,24,34,42,33,29,26,
UBCV,2014,W,PHAR,351,,001,Therapeutics I,Judith Soon,221,75.25339367,8.348056376,94.0,54.0,0,1.0,8,13,23,24,29,50,46,20,7
UBCV,2014,W,PHAR,351,,OVERALL,Therapeutics I,,221,75.25339367,8.348056376,94.0,54.0,0,1.0,8,13,23,24,29,50,46,20,7
UBCV,2014,W,PHAR,352,,001,Therapeutics II,Fawziah Lalji;Roxane Carr;Veronika Schmitt,220,72.35454546,8.192976571,89.0,50.0,0,3.0,11,17,33,32,38,41,35,10,0
UBCV,2014,W,PHAR,352,,OVERALL,Therapeutics II,,220,72.35454546,8.192976571,89.0,50.0,0,3.0,11,17,33,32,38,41,35,10,0
UBCV,2014,W,PHAR,361,,001,Non-Prescription Products and Self-Care of the Patient I,Claire Macleod;Colleen Brady;Hilary Watson;Kenneth Wayne Riggs;Penelope Miller,220,85.38636364,6.188130888,97.0,70.0,0,0,0,0,0,4.0,13,20,59,61,63
UBCV,2014,W,PHAR,361,,OVERALL,Non-Prescription Products and Self-Care of the Patient I,,220,85.38636364,6.188130888,97.0,70.0,0,0,0,0,0,4.0,13,20,59,61,63
UBCV,2014,W,PHAR,362,,001,Non-Prescription Drugs and Self-Care of the Patient II,Grant Quang Phuoc Tran;Hilary Watson,220,83.38181818,6.593869878,98.0,65.0,0,0,0,0,2.0,6,26,28,60,56,42
UBCV,2014,W,PHAR,362,,OVERALL,Non-Prescription Drugs and Self-Care of the Patient II,,220,83.38181818,6.593869878,98.0,65.0,0,0,0,0,2.0,6,26,28,60,56,42
UBCV,2014,W,PHAR,371,,001,Pathophysiology I,Tara Klassen,220,78.88636364,9.204465635,98.0,51.0,0,,,8,16,15,29,37,44,39,26
UBCV,2014,W,PHAR,371,,OVERALL,Pathophysiology I,,220,78.88636364,9.204465635,98.0,51.0,0,,,8,16,15,29,37,44,39,26
UBCV,2014,W,PHAR,399,,001,Cases in Pharmaceutical Sciences II,Cathay Cheng;Heather Price;Hilary Watson;Ingrid Price;Larry Leung;Nelson Gorrin Morales;Nelson Varhola;Ninadh Malrina D'Costa;Tessa Nicholl,219,79.01826484,5.447803589,92.0,60.0,0,0,0,,,17,24,62,79,26,5
UBCV,2014,W,PHAR,399,,OVERALL,Cases in Pharmaceutical Sciences II,,219,79.01826484,5.447803589,92.0,60.0,0,0,0,,,17,24,62,79,26,5
UBCV,2014,W,PHAR,400,,001,Pharmacy Management,Alan Low;Fulong Wang,121,88.29752066,2.612931394,95.0,81.0,0,0,0,0,0,0,0,0,12,65,44
UBCV,2014,W,PHAR,400,,002,Pharmacy Management,Alan Low;Fulong Wang,79,88.4556962,3.835721001,95.0,76.0,0,0,0,0,0,0,0,5,0.0,40,34
UBCV,2014,W,PHAR,400,,OVERALL,Pharmacy Management,,200,88.36,3.14481307,95.0,76.0,0,0,0,0,0,0,0,5,12,105,78
