Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,RELG,101,,001,"Introduction to the Western (Abrahamic) Religions: Judaism, Christianity, and Islam",Gordan G.D. Djurdjevic,100,78.26,15.041773482,93.0,0.0,,,,,,8,10,17,22,22,13
UBCV,2014,W,RELG,101,,OVERALL,"Introduction to the Western (Abrahamic) Religions: Judaism, Christianity, and Islam",,100,78.26,15.041773482,93.0,0.0,,,,,,8,10,17,22,22,13
UBCV,2014,W,RELG,201,,001,Near Eastern and Biblical Mythology,Vita Daphne Arbel,60,74.766666667,9.270632813999999,93.0,48.0,,,6,,,9,6,10,19,,
UBCV,2014,W,RELG,201,,OVERALL,Near Eastern and Biblical Mythology,,60,74.766666667,9.270632813999999,93.0,48.0,,,6,,,9,6,10,19,,
UBCV,2014,W,RELG,203,,001,Scriptures of the Near East,Gregg Gardner,66,73.257575758,9.654509677,96.0,51.0,,,7,,8,5,13,13,8,,
UBCV,2014,W,RELG,203,,OVERALL,Scriptures of the Near East,,66,73.257575758,9.654509677,96.0,51.0,,,7,,8,5,13,13,8,,
UBCV,2014,W,RELG,207,,001,Classical Islam,Rumee Ahmed;Syed Ahmed Faisal Nahri;Syed Nahri,30,77.333333333,5.214921121000001,86.0,60.0,,,,,,,6,10,9,,
UBCV,2014,W,RELG,207,,OVERALL,Classical Islam,,30,77.333333333,5.214921121000001,86.0,60.0,,,,,,,6,10,9,,
UBCV,2014,W,RELG,208,,001,Modern Islam,Gordan G.D. Djurdjevic,18,78.0,5.368754922000001,90.0,70.0,,,,,,,5,,7,,
UBCV,2014,W,RELG,208,,OVERALL,Modern Islam,,18,78.0,5.368754922000001,90.0,70.0,,,,,,,5,,7,,
UBCV,2014,W,RELG,209,,001,Eden to Exile: Introduction to the Hebrew Bible,Sara Milstein,14,77.5,13.932529727999999,95.0,35.0,,,,,,,,,,,
UBCV,2014,W,RELG,209,,OVERALL,Eden to Exile: Introduction to the Hebrew Bible,,14,77.5,13.932529727999999,95.0,35.0,,,,,,,,,,,
UBCV,2014,W,RELG,306,,001,Archaeology and the Bible,Elisabeth Cooper,44,77.545454545,10.379887855,93.0,50.0,,,,,,,8,,15,5,5
UBCV,2014,W,RELG,306,,OVERALL,Archaeology and the Bible,,44,77.545454545,10.379887855,93.0,50.0,,,,,,,8,,15,5,5
UBCV,2014,W,RELG,311,,001,Jewish Literature in Translation,Vita Daphne Arbel,12,77.916666667,10.317314074,87.0,49.0,,,,,,,,,6,,
UBCV,2014,W,RELG,311,,OVERALL,Jewish Literature in Translation,,12,77.916666667,10.317314074,87.0,49.0,,,,,,,,,6,,
