Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,S,ECON,101,,921,Principles of Microeconomics,Robert G Gateman;Robert Gateman,214,67.92990654,12.25969935,100.0,0.0,9,13,28,22,34,29,29,17,11.0,16,6
UBCV,2015,S,ECON,101,,922,Principles of Microeconomics,Ratna Shrestha,217,73.04147465,14.2482336,99.0,8.0,7,11,20,9,15,37,22,16,29.0,26,25
UBCV,2015,S,ECON,101,,OVERALL,Principles of Microeconomics,,431,70.503480278,13.526867732,100.0,0.0,16,24,48,31,49,66,51,33,40.0,42,31
UBCV,2015,S,ECON,102,,921,Principles of Macroeconomics,Wai-Ching Alfred Kong,205,68.96097561,15.65587151,98.0,0.0,18,17,10,14,24,28,18,26,18.0,18,14
UBCV,2015,S,ECON,102,,922,Principles of Macroeconomics,Robert G Gateman;Robert Gateman,126,68.73015873,12.5617914,96.0,32.0,10,10,6,15,14,16,15,14,14.0,8,4.0
UBCV,2015,S,ECON,102,,OVERALL,Principles of Macroeconomics,,331,68.873111782,14.536335945,98.0,0.0,28,27,16,29,38,44,33,40,32.0,26,18
UBCV,2015,S,ECON,301,,921,Intermediate Microeconomic Analysis I,Michael Vaney;Wing Tung Lam,56,69.60714286,13.37933083,96.0,36.0,,5,5,8,7,,,5,8.0,5,
UBCV,2015,S,ECON,301,,OVERALL,Intermediate Microeconomic Analysis I,,56,69.607142857,13.379330832,96.0,36.0,,5,5,8,7,,,5,8.0,5,
UBCV,2015,S,ECON,302,,921,Intermediate Macroeconomic Analysis I,Bipasha Maity;Wai-Ching Alfred Kong,98,71.3877551,15.53023832,98.0,0.0,6,5,6,6,8,14,11,14,6.0,14,8
UBCV,2015,S,ECON,302,,OVERALL,Intermediate Macroeconomic Analysis I,,98,71.387755102,15.530238315,98.0,0.0,6,5,6,6,8,14,11,14,6.0,14,8
UBCV,2015,S,ECON,325,,921,Introduction to Empirical Economics,Diana Whistler,102,74.50980392,14.89018887,100.0,39.0,7,5,7,3.0,7,5,10,14,12.0,11,21
UBCV,2015,S,ECON,325,,OVERALL,Introduction to Empirical Economics,,102,74.509803922,14.890188874,100.0,39.0,7,5,7,3.0,7,5,10,14,12.0,11,21
UBCV,2015,S,ECON,326,,921,Methods of Empirical Research in Economics,Diana Whistler,114,75.5,14.89624886,100.0,29.0,6,2.0,8,6,8,8,17,11,13.0,12,23
UBCV,2015,S,ECON,326,,OVERALL,Methods of Empirical Research in Economics,,114,75.5,14.89624886,100.0,29.0,6,2.0,8,6,8,8,17,11,13.0,12,23
UBCV,2015,S,ECON,345,,921,Money and Banking,Geoffrey Newman;Wheaton Welbourn,89,72.17977528,12.12394494,97.0,18.0,,,,11,7,18,15,9,9.0,9,5
UBCV,2015,S,ECON,345,,OVERALL,Money and Banking,,89,72.179775281,12.123944938,97.0,18.0,,,,11,7,18,15,9,9.0,9,5
UBCV,2015,S,ECON,351,,921,Women in the Economy,Elise Lepine;Marina Adshade,53,72.69811321,11.16413369,96.0,41.0,,,,,9,,9,7,6.0,6,
UBCV,2015,S,ECON,351,,OVERALL,Women in the Economy,,53,72.698113208,11.164133687,96.0,41.0,,,,,9,,9,7,6.0,6,
UBCV,2015,S,ECON,355,,921,Introduction to International Trade,Bingjing Li;Michael Vaney,88,71.55681818,12.31283599,97.0,31.0,,5,11,6,12,12,,11,11.0,8,7
UBCV,2015,S,ECON,355,,OVERALL,Introduction to International Trade,,88,71.556818182,12.312835985,97.0,31.0,,5,11,6,12,12,,11,11.0,8,7
UBCV,2015,S,ECON,356,,921,Introduction to International Finance,Hashmat Ullah Khan;Ya Wen Liang,84,72.98809524,14.38665215,96.0,7.0,,,6,7,12,9,4,15,7.0,9,10
UBCV,2015,S,ECON,356,,951,Introduction to International Finance,Geoffrey Newman;Guidon Fenig Braverman,100,75.47,11.49831345,95.0,40.0,,,2,11,5,16,18,9,12.0,5,19
UBCV,2015,S,ECON,356,,OVERALL,Introduction to International Finance,,184,74.336956522,12.920333595,96.0,7.0,3.0,5,8,18,17,25,22,24,19.0,14,29
UBCV,2015,S,ECON,456,,951,International Macroeconomics and Finance,Crystal Arnburg;Gerald Mcintyre,56,73.91071429,14.0327886,97.0,15.0,,,6,,,8,7,,15.0,,6
UBCV,2015,S,ECON,456,,OVERALL,International Macroeconomics and Finance,,56,73.910714286,14.032788598,97.0,15.0,,,6,,,8,7,,15.0,,6
UBCV,2015,S,ECON,471,,921,Economics of Nonrenewable Resources,Leslie Bothwell;Ratna Shrestha,85,76.96470588,10.94297672,96.0,51.0,0,,,,8,9,17,6,14.0,9,15
UBCV,2015,S,ECON,471,,OVERALL,Economics of Nonrenewable Resources,,85,76.964705882,10.94297672,96.0,51.0,0,,,,8,9,17,6,14.0,9,15
UBCV,2015,S,ECON,594,,941,Applied Economics,Jiayi Liu;W Erwin Diewert,25,89.48,3.742993454,97.0,84.0,0,0,0,0,0,0,0,0,3.0,9,13
UBCV,2015,S,ECON,594,,942,Applied Economics,Michael Devereux;Ya Wen Liang,24,87.16666667,5.155551391,95.0,75.0,0,0,0,0,0,0,,,6.0,7,9
UBCV,2015,S,ECON,594,,OVERALL,Applied Economics,,49,88.346938776,4.594158521,97.0,75.0,0,0,0,0,0,0,,,9.0,16,22
