Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,S,EDCP,325,,951,Approaches to Health Education,Kathleen Nicholson,29,93.0,7.03562364,98.0,61.0,0,0,0,,,,,,,,25
UBCV,2015,S,EDCP,325,,OVERALL,Approaches to Health Education,,29,93.0,7.03562364,98.0,61.0,0,0,0,,,,,,,,25
UBCV,2015,S,EDCP,328,,951,Environmental Education,Barry Barnes;Sandra Scott,14,94.64285714,2.09787962,97.0,88.0,0,0,0,0,0,0,0,0,0,1.0,13
UBCV,2015,S,EDCP,328,,OVERALL,Environmental Education,,14,94.642857143,2.09787962,97.0,88.0,0,0,0,0,0,0,0,0,0,1.0,13
UBCV,2015,S,EDCP,329,,96A,Agriculture in the Curriculum,Joseph Massie,30,86.4,3.856029761,94.0,79.0,0,0,0,0,0,0,0,1.0,10,13,6
UBCV,2015,S,EDCP,329,,OVERALL,Agriculture in the Curriculum,,30,86.4,3.856029761,94.0,79.0,0,0,0,0,0,0,0,1.0,10,13,6
UBCV,2015,S,EDCP,410,,951,Music and Movement - Elementary: Curriculum and Pedagogy,Peter Gouzouasis,24,88.75,2.269840063,95.0,83.0,0,0,0,0,0,0,0,0,1.0,11,12
UBCV,2015,S,EDCP,410,,OVERALL,Music and Movement - Elementary: Curriculum and Pedagogy,,24,88.75,2.269840063,95.0,83.0,0,0,0,0,0,0,0,0,1.0,11,12
UBCV,2015,S,EDCP,413,,951,Digital Media for Music Education,Zoltan Virag,19,86.21052632,2.780466535,91.0,82.0,0,0,0,0,0,0,0,0,5,11,3.0
UBCV,2015,S,EDCP,413,,OVERALL,Digital Media for Music Education,,19,86.210526316,2.780466535,91.0,82.0,0,0,0,0,0,0,0,0,5,11,3.0
UBCV,2015,S,EDCP,441,B,951,Assessment in Mathematics Education,Monica Baloun,16,87.8125,4.929080374,94.0,81.0,0,0,0,0,0,0,0,0,5,3.0,8
UBCV,2015,S,EDCP,441,B,OVERALL,Assessment in Mathematics Education,,16,87.8125,4.929080374,94.0,81.0,0,0,0,0,0,0,0,0,5,3.0,8
UBCV,2015,S,EDCP,467,A,96A,Special Topics in Curriculum and Pedagogy,Patricia O'Riley;Peter Cole,14,89.5,2.244651763,94.0,86.0,0,0,0,0,0,0,0,0,0,8,6
UBCV,2015,S,EDCP,467,A,OVERALL,Special Topics in Curriculum and Pedagogy,,14,89.5,2.244651763,94.0,86.0,0,0,0,0,0,0,0,0,0,8,6
UBCV,2015,S,EDCP,467,B,96A,Special Topics in Curriculum and Pedagogy,Patricia O'Riley;Peter Cole,14,89.5,2.244651763,94.0,86.0,0,0,0,0,0,0,0,0,0,8,6
UBCV,2015,S,EDCP,467,B,OVERALL,Special Topics in Curriculum and Pedagogy,,14,89.5,2.244651763,94.0,86.0,0,0,0,0,0,0,0,0,0,8,6
UBCV,2015,S,EDCP,470,,96A,ICT Practices in Education,Rachel Ralph;Stephen Petrina,18,93.88888889,1.745208192,97.0,91.0,0,0,0,0,0,0,0,0,0,0,18
UBCV,2015,S,EDCP,470,,OVERALL,ICT Practices in Education,,20,93.4,2.257152375,97.0,88.0,0,0,0,0,0,0,0,0,0,1.0,19
UBCV,2015,S,EDCP,471,A,951,Technological Practices in Education: Technical Problems,Peter Halim,19,90.57894737,1.304513084,93.0,88.0,0,0,0,0,0,0,0,0,0,4.0,15
UBCV,2015,S,EDCP,471,A,OVERALL,Technological Practices in Education: Technical Problems,,19,90.578947368,1.304513084,93.0,88.0,0,0,0,0,0,0,0,0,0,4.0,15
UBCV,2015,S,EDCP,481,,951,Media Studies Across the Curriculum,Stephen Petrina,19,87.89473684,2.55809688,92.0,84.0,0,0,0,0,0,0,0,0,1.0,13,5
UBCV,2015,S,EDCP,481,,OVERALL,Media Studies Across the Curriculum,,19,87.894736842,2.55809688,92.0,84.0,0,0,0,0,0,0,0,0,1.0,13,5
UBCV,2015,S,EDCP,491,,951,Home Economics II - Secondary: Curriculum and Pedagogy,Jennifer Johnson,19,89.78947368,3.923985323,95.0,76.0,0,0,0,0,0,0,0,,,6,12
UBCV,2015,S,EDCP,491,,OVERALL,Home Economics II - Secondary: Curriculum and Pedagogy,,19,89.789473684,3.923985323,95.0,76.0,0,0,0,0,0,0,0,,,6,12
UBCV,2015,S,EDCP,493,,93Q,Special Study in Home Economics: Foods Studies,Jennifer Johnson,15,85.06666667,6.474859807,92.0,65.0,0,0,0,0,,,,,,7,
UBCV,2015,S,EDCP,493,,OVERALL,Special Study in Home Economics: Foods Studies,,15,85.066666667,6.474859807,92.0,65.0,0,0,0,0,,,,,,7,
UBCV,2015,S,EDCP,494,,93Q,Special Study in Home Economics: Family Studies,Mary Gale Smith;Mary Smith,27,87.11111111,4.088758824,93.0,73.0,0,0,0,0,0,0,,,,14,8
UBCV,2015,S,EDCP,494,,OVERALL,Special Study in Home Economics: Family Studies,,27,87.111111111,4.088758824,93.0,73.0,0,0,0,0,0,0,,,,14,8
UBCV,2015,S,EDCP,495,B,96A,Special Topics in Home Economics Education,Robin Rene Ruff,28,94.14285714,3.111677953,99.0,85.0,0,0,0,0,0,0,0,0,0,3.0,25
UBCV,2015,S,EDCP,495,B,OVERALL,Special Topics in Home Economics Education,,28,94.142857143,3.111677953,99.0,85.0,0,0,0,0,0,0,0,0,0,3.0,25
UBCV,2015,S,EDCP,496,,951,Global Education and Curriculum,Shannon D.M. Moore,31,91.12903226,4.341596753,98.0,82.0,0,0,0,0,0,0,0,0,3.0,7,21
UBCV,2015,S,EDCP,496,,96A,Global Education and Curriculum,Mary-Leah Dezwart,16,87.4375,3.91524797,95.0,80.0,0,0,0,0,0,0,0,0,3.0,9,4
UBCV,2015,S,EDCP,496,,OVERALL,Global Education and Curriculum,,47,89.872340426,4.518642646,98.0,80.0,0,0,0,0,0,0,0,0,6,16,25
UBCV,2015,S,EDCP,497,,951,Career Education and Curriculum,Vincent W.H. Chan,24,89.41666667,3.361116102,95.0,80.0,0,0,0,0,0,0,0,0,2.0,9,13
UBCV,2015,S,EDCP,497,,OVERALL,Career Education and Curriculum,,24,89.416666667,3.361116102,95.0,80.0,0,0,0,0,0,0,0,0,2.0,9,13
UBCV,2015,S,EDCP,508,A,941,Review of Research in Curriculum and Pedagogy,William Pinar,12,91.91666667,3.502163833,97.0,88.0,0,0,0,0,0,0,0,0,0,5,7
UBCV,2015,S,EDCP,508,A,96A,Review of Research in Curriculum and Pedagogy,Stephen Petrina,18,92.38888889,1.719743103,95.0,90.0,0,0,0,0,0,0,0,0,0,0,18
