Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,S,FNH,200,,921,Exploring Our Food,Azita Madadi Noei;James Song;Mona Ghanbari;Yuan Qi,121,79.34710744,13.92582179,99.0,37.0,,7,,6,5,7,7,12,15,23,34
UBCV,2015,S,FNH,200,,942,Exploring Our Food,Aria Shokoohi;Erin Friesen;Mohammad Islam;Patricia Anne Hingston;Patricia Hingston,106,76.11320755,12.74685452,95.0,38.0,,,6,7,7,9,10,9,22,12,18
UBCV,2015,S,FNH,200,,98B,Exploring Our Food,Ningjian Liang;Nooshin Alizadeh Pasdar,48,74.625,20.55260505,95.0,0.0,,,,4,3,3,5,1,6,12,9
UBCV,2015,S,FNH,200,,OVERALL,Exploring Our Food,,277,77.25631769,14.949286426,99.0,0.0,7,12,11,17,15,19,22,22,43,47,62
UBCV,2015,S,FNH,250,,920,Nutrition Concepts and Controversies,Danielle Sanders;Gail Hammond;Joelle Erika Jacobsen;Joelle Jacobsen,44,79.88636364,10.93366023,94.0,30.0,,,,,,,,8,7,15,
UBCV,2015,S,FNH,250,,98A,Nutrition Concepts and Controversies,Joelle Erika Jacobsen;Joelle Jacobsen;Nooshin Alizadeh Pasdar,39,78.05128205,9.34696325,92.0,50.0,0,,,,,,,9,12,7,
UBCV,2015,S,FNH,250,,OVERALL,Nutrition Concepts and Controversies,,83,79.024096386,10.199205975,94.0,30.0,,,,,,,6,17,19,22,6
UBCV,2015,S,FNH,330,,951,Introduction to Wine Science 1,Alan Qu;David Mcarthur;Julie Martin,73,73.34246575,11.67287832,96.0,44.0,,,6,6,8,6,10,,17,9,
UBCV,2015,S,FNH,330,,OVERALL,Introduction to Wine Science 1,,73,73.342465753,11.67287832,96.0,44.0,,,6,6,8,6,10,,17,9,
UBCV,2015,S,FNH,355,,921,International Nutrition,Adrienne Levay;Candice Rideout;Claire Tugault-Lafleur;Latika Raisinghani;Minja Milic;Victoria Belahov,181,76.82872928,9.21764329,92.0,52.0,0,2.0,6,7,14,25,26,28,23,37,13
UBCV,2015,S,FNH,355,,OVERALL,International Nutrition,,181,76.828729282,9.21764329,92.0,52.0,0,2.0,6,7,14,25,26,28,23,37,13
UBCV,2015,S,FNH,460,,921,International Nutrition Field Studies,Judy Mclean,8,87.25,2.434865793,92.0,85.0,0,0,0,0,0,0,0,0,0,6,2.0
UBCV,2015,S,FNH,460,,OVERALL,International Nutrition Field Studies,,8,87.25,2.434865793,92.0,85.0,0,0,0,0,0,0,0,0,0,6,2.0
