Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,S,PLAN,503,,001,Planning for Community Economic Development,William Trousdale,24,89.91666667,1.017954755,91.0,89.0,0,0,0,0,0,0,0,0,0,13,11
UBCV,2015,S,PLAN,503,,OVERALL,Planning for Community Economic Development,,24,89.916666667,1.017954755,91.0,89.0,0,0,0,0,0,0,0,0,0,13,11
UBCV,2015,S,PLAN,519,A,941,Internships,,12,92.08333333,3.800916955,98.0,88.0,0,0,0,0,0,0,0,0,0,3.0,9
UBCV,2015,S,PLAN,519,A,OVERALL,Internships,,16,91.375,3.721558813,98.0,87.0,0,0,0,0,0,0,0,0,0,5,11
UBCV,2015,S,PLAN,519,B,OVERALL,Internships,,7,91.285714286,4.889249626,98.0,85.0,0,0,0,0,0,0,0,0,0,2.0,2
UBCV,2015,S,PLAN,545,B,001,Planning Studies Abroad,Leonora Angeles,11,93.0,0.632455532,94.0,92.0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2015,S,PLAN,545,B,OVERALL,Planning Studies Abroad,,11,93.0,0.632455532,94.0,92.0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2015,S,PLAN,547,C,941,Professional Project Report,,10,89.6,3.83550663,93.0,80.0,0,0,0,0,0,0,0,0,,,7
UBCV,2015,S,PLAN,547,C,OVERALL,Professional Project Report,,11,89.454545455,3.67052139,93.0,80.0,0,0,0,0,0,0,0,0,,,7
UBCV,2015,S,PLAN,548,T,001,Current Issues in Planning,Roger Cook,6,87.83333333,2.316606714,90.0,84.0,0,0,0,0,0,0,0,0,,,
UBCV,2015,S,PLAN,548,T,OVERALL,Current Issues in Planning,,6,87.833333333,2.316606714,90.0,84.0,0,0,0,0,0,0,0,0,,,
UBCV,2015,S,PLAN,583,,971,Housing and Community Planning,Michael Gordon,16,88.1875,2.400520777,92.0,84.0,0,0,0,0,0,0,0,0,,11,
UBCV,2015,S,PLAN,583,,OVERALL,Housing and Community Planning,,16,88.1875,2.400520777,92.0,84.0,0,0,0,0,0,0,0,0,,11,
UBCV,2015,S,PLAN,587,B,001,Urban Design,Erick Villagomez,9,91.44444444,0.527046277,92.0,91.0,0,0,0,0,0,0,0,0,0,0,9
UBCV,2015,S,PLAN,587,B,OVERALL,Urban Design,,9,91.444444444,0.527046277,92.0,91.0,0,0,0,0,0,0,0,0,0,0,9
UBCV,2015,S,PLAN,590,B,001,Public Policy and Urban Planning,Mark Stevens,24,88.45833333,3.374832256,94.0,79.0,0,0,0,0,0,0,0,,,10,12
UBCV,2015,S,PLAN,590,B,OVERALL,Public Policy and Urban Planning,,24,88.458333333,3.374832256,94.0,79.0,0,0,0,0,0,0,0,,,10,12
UBCV,2015,S,PLAN,595,,001,Planning and Negotiation in Natural Resources Management,Aftab Erfan,26,86.69230769,3.438246422,92.0,78.0,0,0,0,0,0,0,0,1.0,5,13,7
UBCV,2015,S,PLAN,595,,OVERALL,Planning and Negotiation in Natural Resources Management,,26,86.692307692,3.438246422,92.0,78.0,0,0,0,0,0,0,0,1.0,5,13,7
