Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,BIOL,111,,101,Introduction to Modern Biology,Gil Jorge Barros Henriques;Kehui Lian;Santokh Singh,196,74.341836735,12.556762799,93.0,0.0,5,6,5,9,11,25,34,25,34,24,18
UBCV,2015,W,BIOL,111,,102,Introduction to Modern Biology,Gil Jorge Barros Henriques;Jennifer Klenz;Kehui Lian,197,70.680203046,12.585392568,91.0,0.0,8,8,10,14,25,31,29,19,35,16,2.0
UBCV,2015,W,BIOL,111,,OVERALL,Introduction to Modern Biology,,393,72.506361323,12.68819897,93.0,0.0,13,14,15,23,36,56,63,44,69,40,20
UBCV,2015,W,BIOL,112,,101,Biology of the Cell,Karen Smith,311,77.556270096,13.552617325,97.0,14.0,10,8,9,16,18,35,27,29,46,51,62
UBCV,2015,W,BIOL,112,,102,Biology of the Cell,Crisostomo Gomez;Kathryn Zeiler;Kristy Dockstader;Marcia Graves,289,77.60899654,12.372518916,98.0,34.0,6,6,15,17,24,15,29,28,47,52,50
UBCV,2015,W,BIOL,112,,103,Biology of the Cell,Fang Gao;Katelyn Janzen;Katelyn Knuff;Megan Barker,300,78.856666667,11.680649846,97.0,29.0,5,4.0,9,9,19,23,42,33,46,54,56
UBCV,2015,W,BIOL,112,,104,Biology of the Cell,Ehleen Hinze;Evelyn Sun;Hyewon Ellen Jung,291,73.378006873,12.974832302,98.0,28.0,13,6,22,35,21,26,24,32,47,41,24
UBCV,2015,W,BIOL,112,,202,Biology of the Cell,Marcia Graves,294,75.510204082,14.462788475,98.0,0.0,13,10,13,19,27,29,17,24,47,46,49
UBCV,2015,W,BIOL,112,,203,Biology of the Cell,Fang Gao;Karen Smith;Kehui Lian,287,74.212543554,14.588772726,99.0,0.0,14,11,17,16,21,28,36,20,49,35,40
UBCV,2015,W,BIOL,112,,OVERALL,Biology of the Cell,,1772,76.217832957,13.434743393,99.0,0.0,61,45,85,112,130,156,175,166,282,279,281
UBCV,2015,W,BIOL,121,,121,"Genetics, Evolution and Ecology",Christopher Kopp;Genevieve Leduc Robert,227,67.198237885,12.218888485,91.0,9.0,14,15,32,19,28,28,29,29,25,6,2.0
UBCV,2015,W,BIOL,121,,122,"Genetics, Evolution and Ecology",Erica Athena Dianne Jeffery;Jacob Munz,215,77.674418605,10.484793016,97.0,47.0,6,,5,,13,25,26,18,62,32,23
