Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,CIVL,200,,99A,Engineering and Sustainable Development,Afrina Zerin Disha;Joerg Winter;Md Nesar Khadem;Negar Roghanian;Susan Nesbit,172,78.412790698,9.975318037,94.0,17.0,,,,,6,13,21,20,60,32,11
UBCV,2015,W,CIVL,200,,OVERALL,Engineering and Sustainable Development,,172,78.412790698,9.975318037,94.0,17.0,,,,,6,13,21,20,60,32,11
UBCV,2015,W,CIVL,201,,101,Civil Engineering I,Amaia Martinez;Cesar Niculescu;Gregory Johnson;Michael D Isaacson;Neshat Basiri;Sheryl Staub-French;Sina Amini Niaki,125,85.6,3.553734973,93.0,74.0,0,0,0,0,0,0,,,46,57,16
UBCV,2015,W,CIVL,201,,OVERALL,Civil Engineering I,,125,85.6,3.553734973,93.0,74.0,0,0,0,0,0,0,,,46,57,16
UBCV,2015,W,CIVL,202,,201,Civil Engineering II,Amir Behzad Shoolestani;Amir Yashar Shoolestani;James Campbell;Joerg Winter;Negar Roghanian;Susan Nesbit,133,81.691729323,5.899641041,94.0,64.0,0,0,0,0,4.0,5,9,16,55,35,9
UBCV,2015,W,CIVL,202,,OVERALL,Civil Engineering II,,133,81.691729323,5.899641041,94.0,64.0,0,0,0,0,4.0,5,9,16,55,35,9
UBCV,2015,W,CIVL,210,,201,Soil Mechanics I,Adam Silvester;Boris Kolev;Gaziz Seidalinov;Jong Suk Lee;Ming Yang;R Jonathan Fannin,140,72.578571429,11.773074913,98.0,22.0,5,3.0,8,6,17,22,17,23,22,12,5
UBCV,2015,W,CIVL,210,,202,Soil Mechanics I,R Jonathan Fannin,131,75.877862595,9.545859272,94.0,43.0,2,1.0,6,6,6,13,21,30,26,12,8
UBCV,2015,W,CIVL,210,,OVERALL,Soil Mechanics I,,271,74.173431734,10.860879289,98.0,22.0,7,4.0,14,12,23,35,38,53,48,24,13
UBCV,2015,W,CIVL,215,,101,Fluid Mechanics I,Afrina Zerin Disha;Alexandra Elizabeth Hockin;David Hurley;Gregory Lawrence;Joerg Winter;Kelly Elise Graves;Kelly Graves;Mark Sumka,177,75.994350282,11.424404289,100.0,0.0,,,,6,11,21,33,26,39,16,17
UBCV,2015,W,CIVL,215,,201,Fluid Mechanics I,Alexandra Elizabeth Hockin;David Hurley;Joerg Winter;Laura Irvine;Mark Sumka;Noboru Yonemitsu;Samuel Brenner,90,78.222222222,7.96167474,95.0,49.0,,,,2,2,10,20,18,15,17,5
UBCV,2015,W,CIVL,215,,OVERALL,Fluid Mechanics I,,267,76.745318352,10.42493426,100.0,0.0,,,,8,13,31,53,44,54,33,22
UBCV,2015,W,CIVL,228,,201,Introduction to Structural Engineering,Abdolreza Joghataie;Dorian Tung;Jian-Yuan Lin,140,79.164285714,6.886135288,92.0,36.0,,,,,,6,28,20,59,18,5
UBCV,2015,W,CIVL,228,,OVERALL,Introduction to Structural Engineering,,140,79.164285714,6.886135288,92.0,36.0,,,,,,6,28,20,59,18,5
UBCV,2015,W,CIVL,230,,101,Solid Mechanics I,Mina Shahbazi;Reza Vaziri;Salman Soleimani-Dashtaki;Sina Amini Niaki,179,76.536312849,13.140236254,100.0,0.0,2.0,6,11,6,16,13,19,22,35,18,31
UBCV,2015,W,CIVL,230,,OVERALL,Solid Mechanics I,,179,76.536312849,13.140236254,100.0,0.0,2.0,6,11,6,16,13,19,22,35,18,31
UBCV,2015,W,CIVL,231,,201,Solid Mechanics II,Armin Bebam Zadeh;Kamyar Gordnian;Mina Shahbazi;Sina Amini Niaki,179,74.374301676,12.537118325,100.0,36.0,7,6,6,12,14,25,18,31,25,13,22
UBCV,2015,W,CIVL,231,,OVERALL,Solid Mechanics II,,179,74.374301676,12.537118325,100.0,36.0,7,6,6,12,14,25,18,31,25,13,22
UBCV,2015,W,CIVL,300,,201,Construction Engineering and Management,Amir Behzad Shoolestani;Amir Yashar Shoolestani;Cheryl Nelms;Raghav Grover;Thomas Froese;Thomas M Froese,146,80.609589041,10.154919506,95.0,0.0,,,,,,8,14,18,48,27,23
UBCV,2015,W,CIVL,300,,OVERALL,Construction Engineering and Management,,146,80.609589041,10.154919506,95.0,0.0,,,,,,8,14,18,48,27,23
UBCV,2015,W,CIVL,301,,101,Optimization and Decision Analysis in Civil Engineering,Amir Behzad Shoolestani;Amir Yashar Shoolestani;Barbara Jean Lence;Seyed Abdolnaser Moosavian,158,81.588607595,15.18595133,100.0,0.0,,,,7,,12,13,7,22,23,60
UBCV,2015,W,CIVL,301,,OVERALL,Optimization and Decision Analysis in Civil Engineering,,158,81.588607595,15.18595133,100.0,0.0,,,,7,,12,13,7,22,23,60
UBCV,2015,W,CIVL,304,,201,Introduction to Environmental Engineering,Kwang Victor Lo,11,86.454545455,6.170310144,92.0,71.0,0,0,0,0,0,,,,,5,
UBCV,2015,W,CIVL,304,,OVERALL,Introduction to Environmental Engineering,,11,86.454545455,6.170310144,92.0,71.0,0,0,0,0,0,,,,,5,
UBCV,2015,W,CIVL,305,,201,Environmental Impact Studies,Donald Mavinic;Donald S Mavinic;Eric Hall;Jessica Louise Lenoble;Michael Harvard;Shayok Ghosh,197,72.47715736,15.30258535,98.0,0.0,12,5,9,13,18,22,23,33,21,26,15
UBCV,2015,W,CIVL,305,,OVERALL,Environmental Impact Studies,,197,72.47715736,15.30258535,98.0,0.0,12,5,9,13,18,22,23,33,21,26,15
UBCV,2015,W,CIVL,311,,101,Soil Mechanics II,Amaia Martinez;Boris Kolev;Daniel Mark Barnes;Dharmapriya Wijewickreme;Ilaibibakam Omunguye;Ilaibibakam Wabiye Omunguye;John Howie;Monirehsadat Hedayati;Priyesh Verma;Vidanalage Nishan Soysa;Vidanalage Soysa,208,71.875,10.764665314,91.0,16.0,7,,9,16,21,37,34,34,31,16,
UBCV,2015,W,CIVL,311,,OVERALL,Soil Mechanics II,,208,71.875,10.764665314,91.0,16.0,7,,9,16,21,37,34,34,31,16,
UBCV,2015,W,CIVL,315,,101,Fluid Mechanics II,Afrina Zerin Disha;Amir Yashar Shoolestani;Joerg Winter;Neshat Basiri;Noboru Yonemitsu;Rony Das;Samuel Brenner;Sardar Yafee Muntasir,190,77.710526316,10.514560061,95.0,15.0,,,,7,12,24,17,26,50,29,19
UBCV,2015,W,CIVL,315,,OVERALL,Fluid Mechanics II,,190,77.710526316,10.514560061,95.0,15.0,,,,7,12,24,17,26,50,29,19
