Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,ETEC,500,,65A,Research Methodology in Education,Kadriye Ercikan,20,90.6,8.324978268,97.0,61.0,0,0,0,,,,,,,,16
UBCV,2015,W,ETEC,500,,65B,Research Methodology in Education,Kadriye Ercikan,22,88.681818182,5.017933208,97.0,81.0,0,0,0,0,0,0,0,0,5,7,10
UBCV,2015,W,ETEC,500,,65C,Research Methodology in Education,Sunah Cho,22,93.318181818,3.386054927,99.0,88.0,0,0,0,0,0,0,0,0,0,4.0,18
UBCV,2015,W,ETEC,500,,65D,Research Methodology in Education,Janet Mccracken;Janet R Mccracken,23,89.913043478,7.609282868,98.0,70.0,0,0,0,0,0,,,,,,15
UBCV,2015,W,ETEC,500,,OVERALL,Research Methodology in Education,,87,90.620689655,6.48296763,99.0,61.0,0,0,0,,,,,,8,16,59
UBCV,2015,W,ETEC,510,,65A,Design of Technology- Supported Learning Environments,Chelsey Hauge,19,91.736842105,4.805576683,98.0,76.0,0,0,0,0,0,0,0,,,5,13
UBCV,2015,W,ETEC,510,,65B,Design of Technology- Supported Learning Environments,Jeffrey D Miller;Jeffrey Miller,18,89.0,3.289913283,93.0,80.0,0,0,0,0,0,0,0,0,2.0,5,11
UBCV,2015,W,ETEC,510,,65C,Design of Technology- Supported Learning Environments,Diane Janes,20,93.05,1.050062655,95.0,91.0,0,0,0,0,0,0,0,0,0,0,20
UBCV,2015,W,ETEC,510,,OVERALL,Design of Technology- Supported Learning Environments,,57,91.333333333,3.73369471,98.0,76.0,0,0,0,0,0,0,0,,,10,44
UBCV,2015,W,ETEC,511,,64A,Foundations of Educational Technology,Matiul Alam,18,87.5,22.290198321,97.0,0.0,,,,,,,,,,,16
UBCV,2015,W,ETEC,511,,64B,Foundations of Educational Technology,Matiul Alam,22,90.045454545,4.603076329,97.0,80.0,0,0,0,0,0,0,0,0,2.0,7,13
UBCV,2015,W,ETEC,511,,64C,Foundations of Educational Technology,Francis Feng,21,91.80952381,4.791858174,98.0,84.0,0,0,0,0,0,0,0,0,,,16
UBCV,2015,W,ETEC,511,,64D,Foundations of Educational Technology,Yifei Wang,21,90.333333333,13.001281988,99.0,40.0,,,,,,,,,,,15
UBCV,2015,W,ETEC,511,,64E,Foundations of Educational Technology,Yifei Wang,15,84.533333333,24.159785556,97.0,0.0,,,,,,,,,,,9
UBCV,2015,W,ETEC,511,,OVERALL,Foundations of Educational Technology,,97,89.164948454,14.95387381,99.0,0.0,,,,,,,,,10,13,69
UBCV,2015,W,ETEC,512,,64A,Applications of Learning Theories to the Analysis of Instructional Settings,Jennifer Shapka,23,89.130434783,2.341412701,93.0,85.0,0,0,0,0,0,0,0,0,0,12,11
UBCV,2015,W,ETEC,512,,64B,Applications of Learning Theories to the Analysis of Instructional Settings,Jennifer Shapka,22,88.954545455,2.751229556,94.0,85.0,0,0,0,0,0,0,0,0,0,14,8
UBCV,2015,W,ETEC,512,,64C,Applications of Learning Theories to the Analysis of Instructional Settings,Sunah Cho,23,90.260869565,2.926639266,93.0,81.0,0,0,0,0,0,0,0,0,1.0,5,17
UBCV,2015,W,ETEC,512,,64D,Applications of Learning Theories to the Analysis of Instructional Settings,Janet Mccracken;Janet R Mccracken,22,86.227272727,5.511302829,96.0,73.0,0,0,0,0,0,0,,,,12,5
UBCV,2015,W,ETEC,512,,OVERALL,Applications of Learning Theories to the Analysis of Instructional Settings,,90,88.666666667,3.824815484,96.0,73.0,0,0,0,0,0,0,,,,43,41
UBCV,2015,W,ETEC,520,,65A,Planning and Managing Learning Technologies in Higher Education,Mark Bullen,17,81.411764706,7.681624369,95.0,62.0,0,0,0,,,,,,,7,
UBCV,2015,W,ETEC,520,,65B,Planning and Managing Learning Technologies in Higher Education,Tatiana Bourlova,11,87.363636364,4.965334375,96.0,81.0,0,0,0,0,0,0,0,0,,4,
UBCV,2015,W,ETEC,520,,OVERALL,Planning and Managing Learning Technologies in Higher Education,,28,83.75,7.270564704,96.0,62.0,0,0,0,,,,,,7,11,
UBCV,2015,W,ETEC,521,,64A,"Indigeneity, Technology, and Education",Michael Marker,18,92.833333333,1.855040827,95.0,89.0,0,0,0,0,0,0,0,0,0,1.0,17
UBCV,2015,W,ETEC,521,,OVERALL,"Indigeneity, Technology, and Education",,18,92.833333333,1.855040827,95.0,89.0,0,0,0,0,0,0,0,0,0,1.0,17
UBCV,2015,W,ETEC,522,,64A,Ventures in Learning Technology,David Vogt,21,86.380952381,3.814134115,94.0,81.0,0,0,0,0,0,0,0,0,8,9,4.0
UBCV,2015,W,ETEC,522,,64B,Ventures in Learning Technology,David Vogt,17,81.0,11.953033088,90.0,40.0,,,,,,,,,5,7,1.0
UBCV,2015,W,ETEC,522,,OVERALL,Ventures in Learning Technology,,38,83.973684211,8.774923861,94.0,40.0,,,,,,,,,13,16,5
UBCV,2015,W,ETEC,530,,65A,Constructivism Strategies for E-Learning,Diane Janes,21,92.523809524,4.1787444,100.0,83.0,0,0,0,0,0,0,0,0,1,4,16
UBCV,2015,W,ETEC,530,,65B,Constructivism Strategies for E-Learning,Samia Khan,15,83.2,7.793770406,92.0,60.0,0,0,0,,,,,,5,6,2
UBCV,2015,W,ETEC,530,,OVERALL,Constructivism Strategies for E-Learning,,36,88.638888889,7.483898059,100.0,60.0,0,0,0,,,,,,6,10,18
