Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,S,CNPS,362,,922,Basic Interviewing Skills,Wei-Chiao Hsu,15,91.66666667,3.33095153,96.0,82.0,0,0.0,0,0,0,0,0,0,1,0.0,14
UBCV,2016,S,CNPS,362,,923,Basic Interviewing Skills,Jessie Marie Wall,15,84.4,7.744122195,95.0,74.0,0,0.0,0,0,0,0,3,2,2,3.0,5
UBCV,2016,S,CNPS,362,,924,Basic Interviewing Skills,Sandra Wiens,14,86.92857143,4.322824677,95.0,78.0,0,0.0,0,0,0,0,0,1,3,6.0,4
UBCV,2016,S,CNPS,362,,951,Basic Interviewing Skills,Deepak Mathew,14,87.71428571,4.103067735,94.0,78.0,0,0.0,0,0,0,0,0,1,1,7.0,5
UBCV,2016,S,CNPS,362,,952,Basic Interviewing Skills,Sandra Wiens,14,88.64285714,2.9770182,92.0,83.0,0,0.0,0,0,0,0,0,0,2,6.0,6
UBCV,2016,S,CNPS,362,,OVERALL,Basic Interviewing Skills,,72,87.875,5.293997398,96.0,74.0,0,0.0,0,0,0,0,3,4,9,22.0,34
UBCV,2016,S,CNPS,363,,921,Career Counselling,Stephanie Conn,26,83.92307692,12.46089267,98.0,49.0,1,1.0,0,0,0,1,0,3,6,3.0,11
UBCV,2016,S,CNPS,363,,93Q,Career Counselling,Janet Vaughan Marshall,49,87.30612245,5.895634266,97.0,61.0,0,0.0,0,1,0,0,0,3,6,20.0,19
UBCV,2016,S,CNPS,363,,OVERALL,Career Counselling,,75,86.13333333,8.810824628,98.0,49.0,1,1.0,0,1,0,1,0,6,12,23.0,30
UBCV,2016,S,CNPS,364,,93Q,Family Education and Consultation,Erika Horwitz,53,82.96226415,12.23167745,98.0,16.0,1,0.0,0,0,2,4,0,6,12,13.0,15
UBCV,2016,S,CNPS,364,,OVERALL,Family Education and Consultation,,53,82.96226415,12.23167745,98.0,16.0,1,0.0,0,0,2,4,0,6,12,13.0,15
UBCV,2016,S,CNPS,365,,93Q,Introduction to Theories of Counselling,Mircea A Munteanu;Mircea Munteanu,44,78.84090909,10.5277997,96.0,45.0,1,0.0,2,1,0,4,7,5,10,8.0,6
UBCV,2016,S,CNPS,365,,951,Introduction to Theories of Counselling,Shekoofeh Skrenes,27,88.25925926,7.709098484,98.0,69.0,0,0.0,0,0,0,1,1,3,2,3.0,17
UBCV,2016,S,CNPS,365,,OVERALL,Introduction to Theories of Counselling,,71,82.42253521,10.55280866,98.0,45.0,1,0.0,2,1,0,5,8,8,12,11.0,23
UBCV,2016,S,CNPS,427,,93Q,Guidance: Planning and Decision-making,Mircea A Munteanu;Mircea Munteanu,52,71.36538462,18.08805136,92.0,0.0,5,0.0,1,4,4,8,7,5,5,9.0,4
UBCV,2016,S,CNPS,427,,OVERALL,Guidance: Planning and Decision-making,,52,71.36538462,18.08805136,92.0,0.0,5,0.0,1,4,4,8,7,5,5,9.0,4
UBCV,2016,S,CNPS,433,,93Q,The Personal and Social Development of the Adult,Janet Vaughan Marshall,93,85.67741936,12.22360625,98.0,0.0,1,1.0,0,4,0,1,2,5,12,28.0,39
UBCV,2016,S,CNPS,433,,OVERALL,The Personal and Social Development of the Adult,,93,85.67741936,12.22360625,98.0,0.0,1,1.0,0,4,0,1,2,5,12,28.0,39
UBCV,2016,S,CNPS,532,C,921,Psychological Assessment in Counselling,Thomas Motl,17,94.41176471,3.298841151,99.0,87.0,0,0.0,0,0,0,0,0,0,0,1.0,16
UBCV,2016,S,CNPS,532,C,OVERALL,Psychological Assessment in Counselling,,17,94.41176471,3.298841151,99.0,87.0,0,0.0,0,0,0,0,0,0,0,1.0,16
UBCV,2016,S,CNPS,545,,951,Family Counselling - Interventions and Research,Tatjana Elez,13,91.0,3.055050463,96.0,84.0,0,0.0,0,0,0,0,0,0,1,2.0,10
UBCV,2016,S,CNPS,545,,OVERALL,Family Counselling - Interventions and Research,,13,91.0,3.055050463,96.0,84.0,0,0.0,0,0,0,0,0,0,1,2.0,10
UBCV,2016,S,CNPS,574,,951,Career Planning and Decision-Making Counselling,Stephanie Conn,17,93.23529412,2.750668368,97.0,88.0,0,0.0,0,0,0,0,0,0,0,2.0,15
UBCV,2016,S,CNPS,574,,OVERALL,Career Planning and Decision-Making Counselling,,17,93.23529412,2.750668368,97.0,88.0,0,0.0,0,0,0,0,0,0,0,2.0,15
UBCV,2016,S,CNPS,578,B,96A,Individual and Family Counselling Theories and Interventions,Stephanie Conn,9,86.33333333,4.663689527,91.0,75.0,0,0.0,0,0,0,0,1,0,0,6.0,2
UBCV,2016,S,CNPS,578,B,96B,Individual and Family Counselling Theories and Interventions,Patricia Nitkin,8,87.25,1.669045921,90.0,85.0,0,0.0,0,0,0,0,0,0,0,7.0,1
UBCV,2016,S,CNPS,578,B,OVERALL,Individual and Family Counselling Theories and Interventions,,17,86.76470588,3.509441048,91.0,75.0,0,0.0,0,0,0,0,1,0,0,13.0,3
UBCV,2016,S,CNPS,578,C,952,Individual and Family Counselling Theories and Interventions,Brenda Dyer,7,88.28571429,1.496026483,90.0,86.0,0,0.0,0,0,0,0,0,0,0,5.0,2
UBCV,2016,S,CNPS,578,C,OVERALL,Individual and Family Counselling Theories and Interventions,,7,88.28571429,1.496026483,90.0,86.0,0,0.0,0,0,0,0,0,0,0,5.0,2
UBCV,2016,S,CNPS,584,,921,Program Development and Professional Practice in Counselling,Christopher Shelley,22,89.63636364,1.590012116,93.0,86.0,0,0.0,0,0,0,0,0,0,0,11.0,11
UBCV,2016,S,CNPS,584,,93A,Program Development and Professional Practice in Counselling,John Carter,18,95.94444444,0.416176182,97.0,95.0,0,0.0,0,0,0,0,0,0,0,0.0,18
UBCV,2016,S,CNPS,584,,OVERALL,Program Development and Professional Practice in Counselling,,40,92.475,3.396736745,97.0,86.0,0,0.0,0,0,0,0,0,0,0,11.0,29
UBCV,2016,S,CNPS,587,A,921,History and Systems of Psychology,Mircea A Munteanu;Mircea Munteanu,8,96.25,0.707106781,98.0,96.0,0,0.0,0,0,0,0,0,0,0,0.0,8
UBCV,2016,S,CNPS,587,A,OVERALL,History and Systems of Psychology,,8,96.25,0.707106781,98.0,96.0,0,0.0,0,0,0,0,0,0,0,0.0,8
UBCV,2016,S,CNPS,677,,921,Theories of Vocational Development,Thomas Motl,9,94.44444444,2.505549396,98.0,91.0,0,0.0,0,0,0,0,0,0,0,0.0,9
UBCV,2016,S,CNPS,677,,OVERALL,Theories of Vocational Development,,9,94.44444444,2.505549396,98.0,91.0,0,0.0,0,0,0,0,0,0,0,0.0,9
