Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,S,PHYS,100,,98A,Introductory Physics,Firas Moosvi;Georg Rieger,86,66.59302326,16.66159932,92.0,4.0,8,7,5.0,10,4.0,10,19,5,11,5,2
UBCV,2016,S,PHYS,100,,OVERALL,Introductory Physics,,86,66.59302326,16.66159932,92.0,4.0,8,7,5.0,10,4.0,10,19,5,11,5,2
UBCV,2016,S,PHYS,101,,921,Energy and Waves,Arash Khazraie Zamanpour;Arthur Charbonneau;Chen Ge Qu;Evert Koster;Maryam Afsari Golshan;Saul Cuen Rochin;Shadi Balandeh;Shiqin Su;Shuailiang Ge;Tianyu Liu;Wei Zhao,204,74.54901961,13.15322917,97.0,23.0,13,7,4.0,3,16.0,24,28,30,33,27,19
UBCV,2016,S,PHYS,101,,OVERALL,Energy and Waves,,204,74.54901961,13.15322917,97.0,23.0,13,7,4.0,3,16.0,24,28,30,33,27,19
UBCV,2016,S,PHYS,118,,952,"Electricity, Light and Radiation",Chengshu Li;Fumika Suzuki;Hyungki Shin;Mayra Tovar;Ziang Yan,133,69.43609023,14.3491914,99.0,10.0,10,7,8.0,17,11.0,18,19,13,6,15,9
UBCV,2016,S,PHYS,118,,OVERALL,"Electricity, Light and Radiation",,200,73.14,14.84866371,100.0,10.0,11,8,9.0,23,15.0,23,22,19,18,19,33
UBCV,2016,S,PHYS,118,,V01,"Electricity, Light and Radiation",Georg Rieger;Jordan Wilson-Gerow;Joss Ives;Lienong Xu;Ricardo Chavez Gonzalez;Ryan Mckenzie;Timothy Cox,40,82.225,12.17287337,100.0,52.0,0,1,0.0,3,1.0,4,1,6,6,2,16
UBCV,2016,S,PHYS,118,,V02,"Electricity, Light and Radiation",Georg Rieger;Jordan Wilson-Gerow;Joss Ives;Lienong Xu;Ricardo Chavez Gonzalez;Ryan Mckenzie;Timothy Cox,27,77.92592593,14.10653402,98.0,42.0,1,0,1.0,3,3.0,1,2,0,6,2,8
UBCV,2016,S,PHYS,119,,L01,Experimental Physics Lab,Deborah C Good;Deborah Good;Douglas Andrew Bonn;Hillgan Ma;Jeff Bale;Joss Ives;Peter Gustainis,24,78.29166667,17.26136467,88.0,0.0,1,0,0.0,0,0.0,1,0,4,11,7,0
UBCV,2016,S,PHYS,119,,L02,Experimental Physics Lab,Deborah C Good;Deborah Good;Douglas Andrew Bonn;Hillgan Ma;Jeff Bale;Joss Ives;Peter Gustainis,9,81.33333333,2.179449472,85.0,78.0,0,0,0.0,0,0.0,0,0,1,7,1,0
UBCV,2016,S,PHYS,119,,OVERALL,Experimental Physics Lab,,33,79.12121212,14.73888898,88.0,0.0,1,0,0.0,0,0.0,1,0,5,18,8,0
UBCV,2016,S,PHYS,250,,941,Introduction to Modern Physics,Oliver Stelzer-Chilton,58,82.96551724,7.424392035,94.0,58.0,0,0,1.0,1,0.0,5,3,2,15,25,6
UBCV,2016,S,PHYS,250,,OVERALL,Introduction to Modern Physics,,58,82.96551724,7.424392035,94.0,58.0,0,0,1.0,1,0.0,5,3,2,15,25,6
