Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,S,SPPH,200,,901,Understanding the Sociocultural Determinants of the Health of Populations,Andrew Leyland;Andrew Nicholas Leyland;Paul Kershaw,34,78.11764705899999,10.005346165,93.0,56.0,,,,,,,5,6,,8,5
UBCV,2016,S,SPPH,200,,OVERALL,Understanding the Sociocultural Determinants of the Health of Populations,,34,78.11764705899999,10.005346165,93.0,56.0,,,,,,,5,6,,8,5
UBCV,2016,S,SPPH,408,,901,Topics in Aboriginal Health: Community-based Learning Experience,Leah Walker,12,86.666666667,3.14305391,90.0,80.0,,,,,,,,,,8,
UBCV,2016,S,SPPH,408,,OVERALL,Topics in Aboriginal Health: Community-based Learning Experience,,12,86.666666667,3.14305391,90.0,80.0,,,,,,,,,,8,
UBCV,2016,S,SPPH,411,,901,Violence Across the Lifespan,Farah Shroff;Kimberly Michelle Sharpe;Leo Chen,49,88.20408163299999,4.020673616,95.0,80.0,,,,,,,,,11,17,21
UBCV,2016,S,SPPH,411,,OVERALL,Violence Across the Lifespan,,49,88.20408163299999,4.020673616,95.0,80.0,,,,,,,,,11,17,21
UBCV,2016,S,SPPH,515,,DL3,Surveillance and Monitoring in Public Health,Lindsay Pearce;Svetlana Kishchenko,13,87.615384615,5.881304582,95.0,77.0,,,,,,,,,,,7
UBCV,2016,S,SPPH,515,,OVERALL,Surveillance and Monitoring in Public Health,,13,87.615384615,5.881304582,95.0,77.0,,,,,,,,,,,7
UBCV,2016,S,SPPH,538,,DL3,Application of Ethical Theories in the Practice of Public Health,Daniel Steel,5,84.8,4.969909456,92.0,81.0,,,,,,,,,,,
UBCV,2016,S,SPPH,538,,OVERALL,Application of Ethical Theories in the Practice of Public Health,,5,84.8,4.969909456,92.0,81.0,,,,,,,,,,,
UBCV,2016,S,SPPH,554,,DL3,Addiction and Mental Health,Mohammadali Nikoo;Reinhard Krausz,14,89.214285714,7.66790084,97.0,72.0,,,,,,,,,,,9
UBCV,2016,S,SPPH,554,,OVERALL,Addiction and Mental Health,,14,89.214285714,7.66790084,97.0,72.0,,,,,,,,,,,9
