Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,BASC,500,,001,Process Fundamentals,Harish Krishnan;Robert Macadams,36,81.88888889,3.830537283,88.0,74.0,0,0,0,0,0.0,0.0,2,7,16,11,0
UBCV,2016,W,BASC,500,,002,Process Fundamentals,Harish Krishnan;Robert Macadams,24,81.0,3.007237646,87.0,76.0,0,0,0,0,0.0,0.0,0,8,13,3,0
UBCV,2016,W,BASC,500,,816,Process Fundamentals,Woonghee Tim Huh,33,85.15151515,2.463752373,90.0,80.0,0,0,0,0,0.0,0.0,0,0,10,22,1
UBCV,2016,W,BASC,500,,OVERALL,Process Fundamentals,,93,82.8172043,3.620431864,90.0,74.0,0,0,0,0,0.0,0.0,2,15,39,36,1
UBCV,2016,W,BASC,523,,001,Supply Chain Management,Harish Krishnan;Robert Macadams,40,81.3,2.728764161,88.0,76.0,0,0,0,0,0.0,0.0,0,12,21,7,0
UBCV,2016,W,BASC,523,,002,Supply Chain Management,Harish Krishnan;Robert Macadams,11,81.27272727,3.22772084,86.0,77.0,0,0,0,0,0.0,0.0,0,5,3,3,0
UBCV,2016,W,BASC,523,,302,Supply Chain Management,Harish Krishnan;Robert Macadams,28,81.14285714,4.688159125,86.0,60.0,0,0,0,1,0.0,0.0,0,4,20,3,0
UBCV,2016,W,BASC,523,,MM1,Supply Chain Management,Lifei Sheng;Mahesh Nagarajan,54,68.55555556,5.961089766,85.0,60.0,0,0,0,14,4.0,19.0,12,3,1,1,0
UBCV,2016,W,BASC,523,,OVERALL,Supply Chain Management,,133,76.09022556,7.800989299,88.0,60.0,0,0,0,15,4.0,19.0,12,24,45,14,0
UBCV,2016,W,BASC,524,,001,Supply Chain Analytics,Gregory Werker;Yiming Wang,41,85.12195122,3.925526219,93.0,76.0,0,0,0,0,0.0,0.0,0,3,13,19,6
UBCV,2016,W,BASC,524,,OVERALL,Supply Chain Analytics,,41,85.12195122,3.925526219,93.0,76.0,0,0,0,0,0.0,0.0,0,3,13,19,6
UBCV,2016,W,BASC,550,,001,Operations and Logistics,Gregory Werker;Visweshwar Chandrasekar,49,83.57142857,6.487166819,95.0,66.0,0,0,0,0,1.0,0.0,3,10,13,12,10
UBCV,2016,W,BASC,550,,002,Operations and Logistics,Gregory Werker;Visweshwar Chandrasekar,50,82.22,6.932002096,96.0,66.0,0,0,0,0,1.0,3.0,3,11,15,9,8
UBCV,2016,W,BASC,550,,300,Operations and Logistics,Gregory Werker;Visweshwar Chandrasekar,37,83.54054054,7.946328973,95.0,67.0,0,0,0,0,1.0,5.0,1,3,5,12,10
UBCV,2016,W,BASC,550,,816,Operations and Logistics,Mahesh Nagarajan;Mona Imanpoor Yourdshahy,34,78.94117647,7.083660997,96.0,62.0,0,0,0,1,0.0,3.0,7,8,10,2,3
UBCV,2016,W,BASC,550,,OVERALL,Operations and Logistics,,170,82.24117647,7.225493888,96.0,62.0,0,0,0,1,3.0,11.0,14,32,43,35,31
