Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,CHBE,201,,101,Integrated Technical Communication,Badr Mohamed;Dimitrios Vavlekas;Michael Schoen;Sonia Rahmani,39,77.74358974399999,5.6415654260000005,85.0,62.0,,,,,,,,11,17,,
UBCV,2016,W,CHBE,201,,102,Integrated Technical Communication,Michael Schoen,40,72.025,10.542922039,84.0,47.0,,,,,,8,8,5,11,,
UBCV,2016,W,CHBE,201,,104,Integrated Technical Communication,Michael Schoen,35,76.11428571399999,11.27144082,90.0,47.0,,,,,,,,5,12,6,
UBCV,2016,W,CHBE,201,,OVERALL,Integrated Technical Communication,,114,75.236842105,9.661805682999999,90.0,47.0,7,,,,8,14,13,21,40,7,
UBCV,2016,W,CHBE,230,,202,Computational Methods,Anthony Wachs,124,67.69354838699999,17.446865872,100.0,0.0,10,10,7,15,12,16,19,8,9,7,11
UBCV,2016,W,CHBE,230,,OVERALL,Computational Methods,,124,67.69354838699999,17.446865872,100.0,0.0,10,10,7,15,12,16,19,8,9,7,11
UBCV,2016,W,CHBE,241,,101,Material and Energy Balances,Gaurav Subedi;Jonathan Verrett;Jun Sian Lee;Jun Sian Sian Lee;Robertus Dhimas Putra,193,71.471502591,15.07137416,100.0,11.0,11,12,20,16,24,15,17,16,18,16,28
UBCV,2016,W,CHBE,241,,OVERALL,Material and Energy Balances,,193,71.471502591,15.07137416,100.0,11.0,11,12,20,16,24,15,17,16,18,16,28
UBCV,2016,W,CHBE,243,,101,Introduction to Chemical and Biological Engineering Process and Technology,Frank Nkansah-Boadu;Peter Englezos,124,85.282258065,10.244618245,98.0,21.0,,,,,,,,5,24,46,41
UBCV,2016,W,CHBE,243,,OVERALL,Introduction to Chemical and Biological Engineering Process and Technology,,124,85.282258065,10.244618245,98.0,21.0,,,,,,,,5,24,46,41
UBCV,2016,W,CHBE,244,,201,Chemical and Biological Engineering Thermodynamics I,Hasti Hosseinizand;Savvas Hatzikiriakos;Tanja Tomkovic,212,75.20754717,12.267722053,100.0,15.0,7,1.0,8,8,17,25,35,37,32,23,19
UBCV,2016,W,CHBE,244,,OVERALL,Chemical and Biological Engineering Thermodynamics I,,212,75.20754717,12.267722053,100.0,15.0,7,1.0,8,8,17,25,35,37,32,23,19
UBCV,2016,W,CHBE,251,,201,Transport Phenomena I,Dimitrios Vavlekas;Mark Martinez,138,66.81884058,18.654850256,100.0,0.0,11,14,24,15,11,10,8,4.0,12,12,17
UBCV,2016,W,CHBE,251,,OVERALL,Transport Phenomena I,,138,66.81884058,18.654850256,100.0,0.0,11,14,24,15,11,10,8,4.0,12,12,17
UBCV,2016,W,CHBE,262,,001,Chemical Engineering and Applied Chemistry Laboratory,Dhaneshwarie Kannangara;Mengqi Han;Pooya Hosseini Benhangi;Ruixu Wang;Sean Mcbeath;Yan Dong;Ziliang Wang,117,76.666666667,7.8344949,86.0,26.0,,,,,,,21,36,39,11,
UBCV,2016,W,CHBE,262,,OVERALL,Chemical Engineering and Applied Chemistry Laboratory,,117,76.666666667,7.8344949,86.0,26.0,,,,,,,21,36,39,11,
UBCV,2016,W,CHBE,344,,101,Unit Operations I,Hasti Hosseinizand;K Ezra Kwok;Tanja Tomkovic,176,71.670454545,10.504117931,99.0,19.0,3.0,5,10,13,21,31,31,24,23,10,5
UBCV,2016,W,CHBE,344,,OVERALL,Unit Operations I,,176,71.670454545,10.504117931,99.0,19.0,3.0,5,10,13,21,31,31,24,23,10,5
UBCV,2016,W,CHBE,345,,201,Unit Operations II,Chujie Zhu;Majid Keshavarzfathy;Xiaotao Bi,94,73.23404255300001,11.654917769,98.0,40.0,,,7,5,11,14,9,17,10,8,8
UBCV,2016,W,CHBE,345,,OVERALL,Unit Operations II,,94,73.23404255300001,11.654917769,98.0,40.0,,,7,5,11,14,9,17,10,8,8
UBCV,2016,W,CHBE,346,,101,Chemical and Biological Engineering Thermodynamics,Marzieh Ebrahimi;Nicholas Zacchia;Savvas Hatzikiriakos;Vasilii Triandafilidi,119,72.058823529,14.65553295,99.0,11.0,5,7,10,10,12,14,10,4.0,19,16,12
UBCV,2016,W,CHBE,346,,OVERALL,Chemical and Biological Engineering Thermodynamics,,119,72.058823529,14.65553295,99.0,11.0,5,7,10,10,12,14,10,4.0,19,16,12
