Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,COMM,100,,201,Introduction to Business,Daniel Hopton;Heri Paluku;Sum Kiu Phoebe Liu;Zorana Svedic,197,74.736040609,11.103013498,93.0,19.0,8,6,5,3.0,12,22,30,34,50,21,6
UBCV,2016,W,COMM,100,,OVERALL,Introduction to Business,,197,74.736040609,11.103013498,93.0,19.0,8,6,5,3.0,12,22,30,34,50,21,6
UBCV,2016,W,COMM,101,,101,Business Fundamentals,Ashley Anderson;Ashley Jayne Anderson;Elicia Salzberg;Grace Jin;Grace Zhiling Jin;Jeff Kroeker;Paul Cubbon,109,72.880733945,8.190695682000001,89.0,46.0,,,,6,21,12,22,18,16,9,
UBCV,2016,W,COMM,101,,102,Business Fundamentals,Ashley Anderson;Ashley Jayne Anderson;Elicia Salzberg;Jason Mah;Jason Yong Jun Mah;Jeff Kroeker;Paul Cubbon,121,74.090909091,6.507687761000001,87.0,55.0,,,,6,12,18,33,24,18,8,
UBCV,2016,W,COMM,101,,103,Business Fundamentals,Ann Stone;Ashley Anderson;Ashley Jayne Anderson;Cole Christiansen;Elicia Salzberg,118,73.271186441,7.280298923999999,85.0,41.0,,,,,15,17,26,27,21,,
UBCV,2016,W,COMM,101,,104,Business Fundamentals,Ann Stone;Ashley Anderson;Elicia Salzberg;Shomas Mah;Shomas Ray Mah,121,70.75206611600001,8.892207255,83.0,0.0,,,5,,21,24,39,16,11,,
UBCV,2016,W,COMM,101,,105,Business Fundamentals,Ann Stone;Ashley Anderson;Ashley Jayne Anderson;Elicia Salzberg;Min Young Hwang,115,71.88695652199999,7.595895957000001,87.0,50.0,,,,9,14,23,27,16,17,,
UBCV,2016,W,COMM,101,,106,Business Fundamentals,Ashley Anderson;Ashley Jayne Anderson;Darrell Kopke;Darrell Matthew Kopke;Elicia Salzberg;Jessica Ng;Jessica Taylor Ng;Zorana Svedic,102,72.235294118,8.230800005,88.0,44.0,,,,13,7,17,21,19,16,,
UBCV,2016,W,COMM,101,,OVERALL,Business Fundamentals,,686,72.523323615,7.853506058,89.0,0.0,5,8,17,41,90,111,168,120,99,27,0.0
UBCV,2016,W,COMM,120,,DD1,Business Immersion,Elicia Salzberg;Timothy Leung,35,76.714285714,2.456341476,83.0,71.0,,,,,,,11,19,4,,
UBCV,2016,W,COMM,120,,DD2,Business Immersion,Samuel Dunner;Tamar Milne,44,78.977272727,4.567267955,86.0,64.0,,,,,,,,12,23,,
UBCV,2016,W,COMM,120,,DD3,Business Immersion,Samuel Dunner;Tamar Milne,12,80.0,1.348399725,82.0,78.0,,,,,,,,3,9,,
UBCV,2016,W,COMM,120,,DD4,Business Immersion,Elicia Salzberg;Grace Jin;Grace Zhiling Jin;Jason Mah;Jason Yong Jun Mah,19,80.736842105,5.042509354,90.0,72.0,,,,,,,,5,7,,
UBCV,2016,W,COMM,120,,DD5,Business Immersion,Elicia Salzberg;Grace Jin;Grace Zhiling Jin;Jason Mah;Jason Yong Jun Mah,28,79.964285714,5.527588335,89.0,60.0,,,,,,,,5,15,,
UBCV,2016,W,COMM,120,,OVERALL,Business Immersion,,138,78.934782609,4.424890649,90.0,60.0,,,,,,,21,44,58,8,
UBCV,2016,W,COMM,202,,101,Career Fundamentals,Ali Jatoi;Allison Jang;Braden Fong;Celia Beketa;Georgia Sakurai;Jaideep Kular;Michelle Sieklucki;Sarah Brennan;Sarah Moug;Victoria Anne Welsby;Victoria Welsby;Yu Wei Wei,120,81.06666666699999,11.451566502,100.0,33.0,,,,,6,7,7,17,25,25,25
UBCV,2016,W,COMM,202,,102,Career Fundamentals,Ali Jatoi;Allison Jang;Braden Fong;Celia Beketa;Georgia Sakurai;Jaideep Kular;Michelle Sieklucki;Sarah Brennan;Sarah Moug;Victoria Anne Welsby;Victoria Welsby;Yu Wei Wei,120,80.275,11.332234458,99.0,33.0,,,,,9,4,12,12,29,17,28
UBCV,2016,W,COMM,202,,103,Career Fundamentals,Ali Jatoi;Allison Jang;Braden Fong;Celia Beketa;Georgia Sakurai;Jaideep Kular;Michelle Sieklucki;Sarah Brennan;Sarah Moug;Victoria Anne Welsby;Victoria Welsby;Yu Wei Wei,125,78.472,12.712437395,96.0,20.0,,,5,,,6,12,18,28,21,22
