Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,ELEC,201,,101,Circuit Analysis I,Barbara Ramos Macias;Emran Mohammad Abu Anas;Jesus Calvino-Fraga;Luis Linares;Milad Haghi Kashani;Mirza Sarwar;Seyed Ali Saberali,99,65.141414141,15.033981984,95.0,24.0,13,13,10,9,8,8,9,10,9,6,
UBCV,2016,W,ELEC,201,,102,Circuit Analysis I,Jesus Calvino-Fraga;Luis Linares;Mohammad Ghasemi Damavandi;Sayed Mohammad Hashem Jayhooni,95,66.094736842,17.619545290999998,100.0,20.0,14,11,11,10,5,8,7,,8,9,10
UBCV,2016,W,ELEC,201,,201,Circuit Analysis I,Alireza Nojeh;Jui Feng Chung;Mirza Sarwar;Pouya Aein;Reuben Paul;Seyed Ali Saberali,126,60.055555556,13.801046659,88.0,6.0,30,10,23,14,9,12,13,,9,,
UBCV,2016,W,ELEC,202,,101,Circuit Analysis II,Chinmaya Mahapatra;Luis Linares,28,66.5,15.110702609,98.0,40.0,,,,,,,,,,,
UBCV,2016,W,ELEC,202,,201,Circuit Analysis II,Chinmaya Mahapatra;Joseph Yan;Luis Linares;Mohammad Ghasemi Damavandi,70,68.514285714,15.691540097999999,100.0,31.0,8,,8,7,9,5,,8,7,5,6
UBCV,2016,W,ELEC,202,,202,Circuit Analysis II,Abdelmalik Aljalai;Joseph Yan;Luis Linares;Milad Haghi Kashani,89,61.651685393,17.260109767,99.0,0.0,15,11,12,11,9,8,9,,,,
UBCV,2016,W,ELEC,203,,101,Basic Circuit Analysis,Ahmed Sigiuk;Min Ai;Shankhanaad Mallick;Yi Luo,58,73.086206897,15.665678748,99.0,23.0,,,,6,,6,9,6,5,5,10
UBCV,2016,W,ELEC,204,,101,Linear Circuits,Huaying Tian;Manyou Ma;Saloome Motavas;Sampath Ramaa Krishna Satti;Sampath Satti,122,77.032786885,16.469322559000002,100.0,11.0,8,,,6,,14,13,5,11,16,38
UBCV,2016,W,ELEC,205,,L1A,Electronics Laboratory,Huaying Tian;Manyou Ma;Saloome Motavas;Sampath Ramaa Krishna Satti;Sampath Satti,27,84.185185185,6.633464329,96.0,66.0,,,,,,,,,11,10,
UBCV,2016,W,ELEC,205,,L1B,Electronics Laboratory,Huaying Tian;Manyou Ma;Saloome Motavas;Sampath Ramaa Krishna Satti;Sampath Satti,30,86.333333333,6.3698283060000005,97.0,69.0,,,,,,,,,7,14,7
UBCV,2016,W,ELEC,211,,201,Engineering Electromagnetics,Carol Patricia Jaeger;Farah Deeba,104,64.278846154,13.847615007,99.0,31.0,11,11,26,13,,10,7,,10,,5
UBCV,2016,W,ELEC,211,,202,Engineering Electromagnetics,Carol Patricia Jaeger;Osama Al Mrayat;Saeedeh Ebrahimi Takalloo,92,62.923913043,17.621935440999998,95.0,11.0,19,9,13,6,6,8,7,,8,10,
UBCV,2016,W,ELEC,221,,101,Signals and Systems,Ayman Mostafa;Hao Ma;Ilya Ganelin;Lutz Lampe;Mohammad Arafat Hussain;Pedram Mohammadi,166,71.295180723,15.255905194,99.0,14.0,8,18,10,13,13,17,21,13,14,23,16
UBCV,2016,W,ELEC,221,,201,Signals and Systems,Alireza Asoodeh;Ayman Mostafa;Gautham Prasad;Joseph Yan;Naveen Mysore Balasubramanya;Paul Lusina;Pedram Mohammadi;Shady Elbassiouny;Shady Osama Elbassiouny,206,63.262135922,14.296485098,96.0,0.0,18,33,31,30,18,20,20,13,7,7,9
UBCV,2016,W,ELEC,271,,201,Selected Topics in Biomedical Engineering,Delaram Behnami;Purang Abolmaesumi;Robert Rohling,22,86.318181818,4.3026720780000005,92.0,79.0,,,,,,,,,9,,10
UBCV,2016,W,ELEC,281,,201,Technical Communication,Randall Kerr,27,74.70370370399999,7.0373444229999995,87.0,53.0,,,,,,5,5,9,,,
UBCV,2016,W,ELEC,281,,202,Technical Communication,Hongxing Estella Qi,34,74.735294118,9.931000815,92.0,47.0,,,,,,,7,12,,,
UBCV,2016,W,ELEC,281,,203,Technical Communication,Randall Kerr,23,79.304347826,7.467717082,94.0,62.0,,,,,,,,6,8,,
UBCV,2016,W,ELEC,281,,204,Technical Communication,Hongxing Estella Qi,31,76.064516129,10.999804495,93.0,45.0,,,,,,,5,7,8,,
UBCV,2016,W,ELEC,281,,205,Technical Communication,Deborah Altow,33,69.575757576,8.663971026,82.0,49.0,,,,,,,7,7,,,
UBCV,2016,W,ELEC,291,,201,Electrical Engineering Design Studio I,Jesus Calvino-Fraga;Manyou Ma;Min Ai;Mustafa Hammood;Shekoofeh Azizi;Siamak Rahmanian;Yang Zhou;Yekaterina Lim;Ziyu Wang,150,82.02,7.8735561160000005,97.0,50.0,,,,,5,7,6,20,45,40,24
UBCV,2016,W,ELEC,292,,201,Biomedical Engineering Design Studio,Jesus Calvino-Fraga;Manyou Ma;Min Ai;Mustafa Hammood;Shekoofeh Azizi;Siamak Rahmanian;Yang Zhou;Yekaterina Lim;Ziyu Wang,20,88.35,3.9373381339999995,95.0,81.0,,,,,,,,,,8,9
UBCV,2016,W,ELEC,301,,101,Electronic Circuits,Carol Patricia Jaeger;Han Yun;Milad Haghi Kashani;Minglei Ma,153,71.470588235,17.574300474,94.0,7.0,18,,,8,10,14,14,22,31,14,17
UBCV,2016,W,ELEC,301,,201,Electronic Circuits,Alireza Asoodeh;Han Yun;Minglei Ma;Nicolas A Jaeger,88,73.102272727,19.279576337,99.0,8.0,10,,5,,7,9,,12,12,5,22
UBCV,2016,W,ELEC,302,,201,Electronic Circuits for Electromechanical Design,Kenichi Takahata;Mohab Hassan;Mohab Osama Ibrahim Moham Hassan,32,83.625,9.195896701,95.0,50.0,,,,,,,,,9,12,6
UBCV,2016,W,ELEC,311,,101,Electromagnetic Fields and Waves,Matthew Yedlin;Shahab Bahrami,68,74.088235294,9.415349954,89.0,50.0,,,,7,9,7,6,7,21,7,
UBCV,2016,W,ELEC,311,,201,Electromagnetic Fields and Waves,Konrad Walus;Seyed Arash Sheikholeslam;Sze Hang Ng,83,69.722891566,13.615193498,94.0,24.0,,5,10,6,8,11,10,8,5,8,8
