Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,LLED,200,,001,Introduction to Writing in Academic and Professional Registers,Nasrin Kowkabi;Reginald D'Silva,13,75.076923077,3.796084352,81.0,69.0,,,,,,,7,,,,
UBCV,2016,W,LLED,200,,002,Introduction to Writing in Academic and Professional Registers,Angela Moon;Reginald D'Silva,11,73.363636364,4.5226701689999995,82.0,68.0,,,,,,,5,,,,
UBCV,2016,W,LLED,200,,003,Introduction to Writing in Academic and Professional Registers,Junghyun Hwag;Reginald D'Silva,13,78.384615385,4.44481836,86.0,72.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,005,Introduction to Writing in Academic and Professional Registers,Nasrin Kowkabi;Reginald D'Silva,12,73.416666667,4.231018217,80.0,67.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,006,Introduction to Writing in Academic and Professional Registers,Junghyun Hwag;Reginald D'Silva,12,69.75,14.64193852,82.0,29.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,007,Introduction to Writing in Academic and Professional Registers,Angela Moon;Reginald D'Silva,13,74.923076923,4.769023982,84.0,66.0,,,,,,,,5,,,
UBCV,2016,W,LLED,200,,008,Introduction to Writing in Academic and Professional Registers,John Pringle;Reginald D'Silva,5,64.2,27.252522819,85.0,25.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,OVERALL,Introduction to Writing in Academic and Professional Registers,,410,61.292682927,13.986797655999998,89.0,0.0,51,53,75,49,36,39,52,28,22,5,0.0
UBCV,2016,W,LLED,200,,V01,Introduction to Writing in Academic and Professional Registers,Sandra Zappa;Won Kim,11,64.363636364,8.823522282,77.0,50.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,V02,Introduction to Writing in Academic and Professional Registers,Brett Todd;Jennifer Lightfoot;Sandra Zappa,11,51.0,23.945772069,84.0,0.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,V03,Introduction to Writing in Academic and Professional Registers,Jennifer Walsh Marr;Sandra Zappa,11,59.636363636000006,8.078028562,73.0,44.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,V04,Introduction to Writing in Academic and Professional Registers,Daniel Riccardi;Sandra Zappa,11,51.454545455,26.964286144000003,89.0,1.0,,,,,,,,,,,
UBCV,2016,W,LLED,200,,V05,Introduction to Writing in Academic and Professional Registers,Sandra Zappa;Won Kim,14,62.714285714,7.053952207999999,77.0,51.0,,,,,5,,,,,,
