Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,SPHA,502,,001,Managerial Accounting,Stephen Lee,33,90.33333333,8.604746752,100.0,67.0,0,0,0,0,1.0,0.0,1.0,2.0,5,2,22
UBCV,2016,W,SPHA,502,,002,Managerial Accounting,Stephen Lee,32,93.125,6.814358654,100.0,72.0,0,0,0,0,0.0,0.0,1.0,1.0,1,5,24
UBCV,2016,W,SPHA,502,,OVERALL,Managerial Accounting,,65,91.70769231,7.841641802,100.0,67.0,0,0,0,0,1.0,0.0,2.0,3.0,6,7,46
UBCV,2016,W,SPHA,503,,001,Financial Reporting,Aklilu Mulat,32,81.4375,7.233156184,95.0,60.0,0,0,0,1,0.0,1.0,5.0,5.0,9,8,3
UBCV,2016,W,SPHA,503,,OVERALL,Financial Reporting,,32,81.4375,7.233156184,95.0,60.0,0,0,0,1,0.0,1.0,5.0,5.0,9,8,3
UBCV,2016,W,SPHA,510,,001,Canadian Health Policy and the Healthcare System,Steven George Morgan;Steven Morgan,32,86.625,2.915475947,91.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,6,19,7
UBCV,2016,W,SPHA,510,,OVERALL,Canadian Health Policy and the Healthcare System,,32,86.625,2.915475947,91.0,80.0,0,0,0,0,0.0,0.0,0.0,0.0,6,19,7
UBCV,2016,W,SPHA,511,,001,"Government, Business and Health Care Policy",Duncan Campbell;Duncan James Campbell,34,90.94117647,1.704560309,93.0,87.0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,26
UBCV,2016,W,SPHA,511,,OVERALL,"Government, Business and Health Care Policy",,34,90.94117647,1.704560309,93.0,87.0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,26
UBCV,2016,W,SPHA,521,,002,Organizational Behavior,Dan Skarlicki,32,83.375,1.755176675,86.0,77.0,0,0,0,0,0.0,0.0,0.0,1.0,23,8,0
