Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,THTR,120,,001,Introduction to Theatre,Keltie Forsyth;Kimira Bhikum;Lindsay Lachance,47,75.34042553,20.61687426,100.0,0.0,5,1,2.0,2.0,1.0,1,3,3.0,11,9,9
UBCV,2016,W,THTR,120,,002,Introduction to Theatre,Keltie Forsyth,33,72.96969697,18.80240152,93.0,0.0,2,1,1.0,2.0,3.0,2,5,4.0,4,6,3
UBCV,2016,W,THTR,120,,OVERALL,Introduction to Theatre,,80,74.3625,19.80106361,100.0,0.0,7,2,3.0,4.0,4.0,3,8,7.0,15,15,12
UBCV,2016,W,THTR,130,,001,Introduction to Stage Acting,Gayle Murphy;Stephen Heatley,45,80.2,5.123918955,88.0,64.0,0,0,0.0,0.0,1.0,1,6,8.0,22,7,0
UBCV,2016,W,THTR,130,,002,Introduction to Stage Acting,Gayle Murphy,43,82.48837209,7.398108166,91.0,64.0,0,0,0.0,0.0,3.0,3,2,0.0,10,23,2
UBCV,2016,W,THTR,130,,003,Introduction to Stage Acting,Ryan Gladstone,23,86.65217391,5.364942562,97.0,76.0,0,0,0.0,0.0,0.0,0,0,2.0,4,10,7
UBCV,2016,W,THTR,130,,OVERALL,Introduction to Stage Acting,,111,82.42342342,6.551265734,97.0,64.0,0,0,0.0,0.0,4.0,4,8,10.0,36,40,9
UBCV,2016,W,THTR,150,,001,Introduction to Technical Production,Robert Gardiner,75,87.8,11.79441004,98.0,0.0,1,0,0.0,0.0,0.0,0,2,3.0,9,21,39
UBCV,2016,W,THTR,150,,OVERALL,Introduction to Technical Production,,75,87.8,11.79441004,98.0,0.0,1,0,0.0,0.0,0.0,0,2,3.0,9,21,39
UBCV,2016,W,THTR,205,A,001,Graphics for Theatre and Film Design,Robert Gardiner,25,82.68,9.868806074,96.0,62.0,0,0,0.0,1.0,0.0,3,4,0.0,3,4,10
UBCV,2016,W,THTR,205,A,OVERALL,Graphics for Theatre and Film Design,,25,82.68,9.868806074,96.0,62.0,0,0,0.0,1.0,0.0,3,4,0.0,3,4,10
UBCV,2016,W,THTR,210,,001,Drama: Forms and Ideas I,Anna Holman;Anthonia Ujene;Claire Carolan;Eury Chang,112,73.11607143,13.74461109,95.0,6.0,5,3,7.0,10.0,9.0,8,14,18.0,18,11,9
UBCV,2016,W,THTR,210,,OVERALL,Drama: Forms and Ideas I,,112,73.11607143,13.74461109,95.0,6.0,5,3,7.0,10.0,9.0,8,14,18.0,18,11,9
UBCV,2016,W,THTR,211,,001,Drama: Forms and Ideas II,Kirsty Johnston;Rui Zhang;Santiago Farias Calderon;Yanting Qiu,82,71.8902439,17.08078561,90.0,10.0,8,1,0.0,4.0,7.0,7,14,10.0,12,14,5
UBCV,2016,W,THTR,211,,OVERALL,Drama: Forms and Ideas II,,82,71.8902439,17.08078561,90.0,10.0,8,1,0.0,4.0,7.0,7,14,10.0,12,14,5
UBCV,2016,W,THTR,250,,001,Technical Production,Bradley Powers,26,83.15384615,10.67967156,96.0,45.0,1,0,0.0,0.0,2.0,0,0,2.0,4,13,4
UBCV,2016,W,THTR,250,,OVERALL,Technical Production,,26,83.15384615,10.67967156,96.0,45.0,1,0,0.0,0.0,2.0,0,0,2.0,4,13,4
UBCV,2016,W,THTR,271,,001,Beginning B.F.A. Acting I,Stephen Malloy,16,78.6875,3.628015987,84.0,72.0,0,0,0.0,0.0,0.0,0,2,7.0,7,0,0
UBCV,2016,W,THTR,271,,OVERALL,Beginning B.F.A. Acting I,,16,78.6875,3.628015987,84.0,72.0,0,0,0.0,0.0,0.0,0,2,7.0,7,0,0
UBCV,2016,W,THTR,272,,001,Beginning B.F.A. Acting II,Stephen Malloy,14,80.71428571,3.074174597,85.0,77.0,0,0,0.0,0.0,0.0,0,0,5.0,8,1,0
UBCV,2016,W,THTR,272,,OVERALL,Beginning B.F.A. Acting II,,14,80.71428571,3.074174597,85.0,77.0,0,0,0.0,0.0,0.0,0,0,5.0,8,1,0
UBCV,2016,W,THTR,273,,001,Beginning Voice and Movement I,Cathy Burnett;Gayle Murphy,16,78.6875,3.628015987,84.0,72.0,0,0,0.0,0.0,0.0,0,2,7.0,7,0,0
UBCV,2016,W,THTR,273,,OVERALL,Beginning Voice and Movement I,,16,78.6875,3.628015987,84.0,72.0,0,0,0.0,0.0,0.0,0,2,7.0,7,0,0
UBCV,2016,W,THTR,274,,001,Beginning Voice and Movement II,Cathy Burnett;Gayle Murphy,14,80.71428571,3.074174597,85.0,77.0,0,0,0.0,0.0,0.0,0,0,5.0,8,1,0
UBCV,2016,W,THTR,274,,OVERALL,Beginning Voice and Movement II,,14,80.71428571,3.074174597,85.0,77.0,0,0,0.0,0.0,0.0,0,0,5.0,8,1,0
UBCV,2016,W,THTR,299,C,001,Production I,Bradley Powers;Jacqueline Firkins;Robert Gardiner,11,83.72727273,6.783670232,92.0,75.0,0,0,0.0,0.0,0.0,0,2,2.0,2,1,4
UBCV,2016,W,THTR,299,C,OVERALL,Production I,,17,85.05882353,6.850826485,95.0,75.0,0,0,0.0,0.0,0.0,0,2,3.0,3,1,8
UBCV,2016,W,THTR,301,A,001,Styles of Decor and Dress,Jacqueline Firkins,30,89.9,9.728557323,99.0,52.0,0,1,0.0,0.0,0.0,1,0,1.0,2,5,20
UBCV,2016,W,THTR,301,A,OVERALL,Styles of Decor and Dress,,30,89.9,9.728557323,99.0,52.0,0,1,0.0,0.0,0.0,1,0,1.0,2,5,20
UBCV,2016,W,THTR,305,,001,Scenery Design I,Robert Gardiner,18,85.27777778,3.102286738,92.0,82.0,0,0,0.0,0.0,0.0,0,0,0.0,8,7,3
UBCV,2016,W,THTR,305,,OVERALL,Scenery Design I,,18,85.27777778,3.102286738,92.0,82.0,0,0,0.0,0.0,0.0,0,0,0.0,8,7,3
UBCV,2016,W,THTR,306,,001,Costume Design I,Jacqueline Firkins,15,82.8,7.350413011,89.0,63.0,0,0,0.0,1.0,0.0,1,0,1.0,2,10,0
UBCV,2016,W,THTR,306,,OVERALL,Costume Design I,,15,82.8,7.350413011,89.0,63.0,0,0,0.0,1.0,0.0,1,0,1.0,2,10,0
UBCV,2016,W,THTR,307,,001,Lighting Design I,Robert Gardiner,28,88.39285714,4.201757002,97.0,77.0,0,0,0.0,0.0,0.0,0,0,1.0,3,12,12
UBCV,2016,W,THTR,307,,OVERALL,Lighting Design I,,28,88.39285714,4.201757002,97.0,77.0,0,0,0.0,0.0,0.0,0,0,1.0,3,12,12
UBCV,2016,W,THTR,308,,001,Sound Design,Carey Dodge,22,75.90909091,24.68257355,97.0,0.0,2,0,0.0,0.0,0.0,0,3,5.0,2,5,5
UBCV,2016,W,THTR,308,,OVERALL,Sound Design,,22,75.90909091,24.68257355,97.0,0.0,2,0,0.0,0.0,0.0,0,3,5.0,2,5,5
UBCV,2016,W,THTR,310,,001,Theory of Drama Performance,Kelsey Blair;Kelsey Leanne Blair,29,76.20689655,16.43684735,91.0,0.0,1,0,0.0,1.0,1.0,2,5,5.0,6,6,2
UBCV,2016,W,THTR,310,,OVERALL,Theory of Drama Performance,,29,76.20689655,16.43684735,91.0,0.0,1,0,0.0,1.0,1.0,2,5,5.0,6,6,2
UBCV,2016,W,THTR,320,,001,History of Theatre I,Hallie Marshall,27,74.66666667,8.494342008,88.0,55.0,0,0,2.0,0.0,3.0,5,3,5.0,6,3,0
UBCV,2016,W,THTR,320,,OVERALL,History of Theatre I,,27,74.66666667,8.494342008,88.0,55.0,0,0,2.0,0.0,3.0,5,3,5.0,6,3,0
UBCV,2016,W,THTR,323,,001,History and Theory of Directing,Siyuan Liu,17,78.0,8.902246907,92.0,61.0,0,0,0.0,1.0,0.0,3,4,1.0,4,2,2
UBCV,2016,W,THTR,323,,OVERALL,History and Theory of Directing,,17,78.0,8.902246907,92.0,61.0,0,0,0.0,1.0,0.0,3,4,1.0,4,2,2
UBCV,2016,W,THTR,330,,001,Performance Study II,Stephen Heatley,26,82.11538462,11.06463528,93.0,31.0,1,0,0.0,0.0,0.0,0,0,2.0,12,9,2
UBCV,2016,W,THTR,330,,OVERALL,Performance Study II,,26,82.11538462,11.06463528,93.0,31.0,1,0,0.0,0.0,0.0,0,0,2.0,12,9,2
UBCV,2016,W,THTR,340,B,001,Studies in Non-Western Theatre,Siyuan Liu,12,79.16666667,6.99133663,88.0,67.0,0,0,0.0,0.0,1.0,0,4,0.0,4,3,0
