Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,WRDS,150,,01A,Research and Writing in the Humanities and Social Sciences,Susan Blake,26,73.0,12.31259518,88.0,31.0,2,0.0,0.0,0.0,1.0,6.0,4.0,4.0,8.0,1,0
UBCV,2016,W,WRDS,150,,02A,Research and Writing in the Humanities and Social Sciences,Nazih El-Bezre,27,70.03703704,16.64211867,90.0,29.0,3,3.0,1.0,2.0,0.0,1.0,3.0,4.0,5.0,4,1
UBCV,2016,W,WRDS,150,,02B,Research and Writing in the Humanities and Social Sciences,Susan Blake,26,72.76923077,8.764965224,82.0,38.0,1,0.0,0.0,0.0,2.0,6.0,6.0,5.0,6.0,0,0
UBCV,2016,W,WRDS,150,,02C,Research and Writing in the Humanities and Social Sciences,Laila Ferreira,27,60.74074074,18.97081279,88.0,0.0,2,6.0,1.0,4.0,4.0,2.0,3.0,3.0,1.0,1,0
UBCV,2016,W,WRDS,150,,02M,Research and Writing in the Humanities and Social Sciences,Diane Burgess,27,70.92592593,9.575312511,88.0,41.0,1,0.0,2.0,2.0,2.0,2.0,11.0,5.0,0.0,2,0
UBCV,2016,W,WRDS,150,,02N,Research and Writing in the Humanities and Social Sciences,Carmen Mathes,29,70.31034483,13.4804182,85.0,8.0,1,0.0,0.0,2.0,4.0,5.0,7.0,5.0,4.0,1,0
UBCV,2016,W,WRDS,150,,02P,Research and Writing in the Humanities and Social Sciences,Susan Blake,23,67.86956522,14.46721795,87.0,19.0,3,0.0,1.0,1.0,2.0,4.0,6.0,4.0,1.0,1,0
UBCV,2016,W,WRDS,150,,03A,Research and Writing in the Humanities and Social Sciences,Linda Kaastra,27,74.37037037,9.056014356,92.0,59.0,0,0.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,1,3
UBCV,2016,W,WRDS,150,,03B,Research and Writing in the Humanities and Social Sciences,Carellin Brooks,29,69.17241379,11.41449256,92.0,50.0,0,1.0,4.0,9.0,0.0,3.0,2.0,2.0,5.0,2,1
UBCV,2016,W,WRDS,150,,03C,Research and Writing in the Humanities and Social Sciences,Laila Ferreira,26,78.11538462,7.146058623,88.0,63.0,0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,7.0,6,0
UBCV,2016,W,WRDS,150,,03D,Research and Writing in the Humanities and Social Sciences,Susan Blake,28,73.46428571,11.02348383,84.0,32.0,1,0.0,2.0,0.0,1.0,5.0,2.0,8.0,9.0,0,0
UBCV,2016,W,WRDS,150,,03E,Research and Writing in the Humanities and Social Sciences,Sarah Crover,27,72.33333333,6.894814105,83.0,58.0,0,0.0,1.0,2.0,5.0,2.0,8.0,4.0,5.0,0,0
UBCV,2016,W,WRDS,150,,03M,Research and Writing in the Humanities and Social Sciences,Carmen Mathes,29,73.24137931,10.55818969,86.0,28.0,1,0.0,0.0,1.0,2.0,4.0,6.0,9.0,3.0,3,0
UBCV,2016,W,WRDS,150,,03N,Research and Writing in the Humanities and Social Sciences,Patricia Kelly,24,60.66666667,18.6749464,85.0,0.0,3,1.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,1,0
