Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,S,CHIN,134,,921,Intensive Basic Chinese I (Non-Heritage),Peiyi Liu;Wei Xia,18,73.333333333,21.49418526,94.0,0.0,1,0,1,1,2,0,3,3,1,2,4
UBCV,2017,S,CHIN,134,,OVERALL,Intensive Basic Chinese I (Non-Heritage),,18,73.333333333,21.49418526,94.0,0.0,1,0,1,1,2,0,3,3,1,2,4
UBCV,2017,S,CHIN,233,,921,Basic Chinese II: Part 2 (Non-Heritage),Qian Wang,14,83.642857143,3.629094883,91.0,78.0,0,0,0,0,0,0,0,2,7,4,1
UBCV,2017,S,CHIN,233,,OVERALL,Basic Chinese II: Part 2 (Non-Heritage),,14,83.642857143,3.629094883,91.0,78.0,0,0,0,0,0,0,0,2,7,4,1
UBCV,2017,S,CHIN,234,,951,Intensive Basic Chinese II (Non-Heritage),Ming Zhu Lu,13,77.692307692,10.036471951,90.0,59.0,0,0,1,0,2,1,0,3,2,2,2
UBCV,2017,S,CHIN,234,,OVERALL,Intensive Basic Chinese II (Non-Heritage),,13,77.692307692,10.036471951,90.0,59.0,0,0,1,0,2,1,0,3,2,2,2
UBCV,2017,S,CHIN,464,,951,Early Classical Chinese Poetry (Intensive),Huai-Chuan Mou,61,72.737704918,6.239395375,86.0,59.0,0,0,1,3,10,12,16,7,9,3,0
UBCV,2017,S,CHIN,464,,OVERALL,Early Classical Chinese Poetry (Intensive),,61,72.737704918,6.239395375,86.0,59.0,0,0,1,3,10,12,16,7,9,3,0
UBCV,2017,S,CHIN,474,,951,Later Classical Chinese Poetry (Intensive),Xue Shun Liu,64,76.09375,6.075500502,93.0,65.0,0,0,0,0,6,7,16,14,15,5,1
UBCV,2017,S,CHIN,474,,OVERALL,Later Classical Chinese Poetry (Intensive),,64,76.09375,6.075500502,93.0,65.0,0,0,0,0,6,7,16,14,15,5,1
UBCV,2017,S,CHIN,481,,921,Modern Chinese Literature I (Heritage),Ming Fang Zheng,57,79.315789474,11.164609095,90.0,0.0,1,0,0,0,0,0,2,15,34,3,2
UBCV,2017,S,CHIN,481,,OVERALL,Modern Chinese Literature I (Heritage),,57,79.315789474,11.164609095,90.0,0.0,1,0,0,0,0,0,2,15,34,3,2
UBCV,2017,S,CHIN,484,,921,Intensive Modern Chinese Literature (Heritage),Maorong Cheng,60,79.216666667,3.157405428,88.0,72.0,0,0,0,0,0,0,3,35,17,5,0
UBCV,2017,S,CHIN,484,,951,Intensive Modern Chinese Literature (Heritage),Zhining Zheng,68,77.470588235,4.265343115,87.0,68.0,0,0,0,0,0,6,14,23,21,4,0
UBCV,2017,S,CHIN,484,,OVERALL,Intensive Modern Chinese Literature (Heritage),,128,78.2890625,3.872276475,88.0,68.0,0,0,0,0,0,6,17,58,38,9,0
