Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,S,SPAN,101,,921,Beginners' Spanish I,Iris Escuer Riera;Samuel Navarro Ortega,32,75.25,9.418581497,94.0,61.0,0,0,0,6,2,4,3,4,6,5,2
UBCV,2017,S,SPAN,101,,OVERALL,Beginners' Spanish I,,32,75.25,9.418581497,94.0,61.0,0,0,0,6,2,4,3,4,6,5,2
UBCV,2017,S,SPAN,102,,921,Beginners' Spanish II,Jonathan Beasley-Murray,27,65.740740741,14.495603027,88.0,18.0,2,0,5,4,2,5,3,0,3,3,0
UBCV,2017,S,SPAN,102,,OVERALL,Beginners' Spanish II,,27,65.740740741,14.495603027,88.0,18.0,2,0,5,4,2,5,3,0,3,3,0
UBCV,2017,S,SPAN,201,,921,Intermediate Spanish I,Maria Adelaida Escobar Trujillo,30,75.866666667,10.782275792,91.0,58.0,0,0,2,3,3,3,5,1,3,7,3
UBCV,2017,S,SPAN,201,,OVERALL,Intermediate Spanish I,,30,75.866666667,10.782275792,91.0,58.0,0,0,2,3,3,3,5,1,3,7,3
UBCV,2017,S,SPAN,202,,921,Intermediate Spanish II,Carolina Andrea Navarrete Gonzalez;Carolina Navarrete Gonzalez,31,75.35483871,10.496184663,94.0,52.0,0,1,1,2,4,3,3,5,6,3,3
UBCV,2017,S,SPAN,202,,OVERALL,Intermediate Spanish II,,31,75.35483871,10.496184663,94.0,52.0,0,1,1,2,4,3,3,5,6,3,3
UBCV,2017,S,SPAN,404,B,922,Topics in Hispanic Cinema,Jonathan Beasley-Murray,6,79.666666667,4.802776974,88.0,74.0,0,0,0,0,0,0,1,1,3,1,0
UBCV,2017,S,SPAN,404,B,OVERALL,Topics in Hispanic Cinema,,6,79.666666667,4.802776974,88.0,74.0,0,0,0,0,0,0,1,1,3,1,0
UBCV,2017,S,SPAN,504,B,922,Studies in Hispanic Cinema,Jonathan Beasley-Murray,6,82.833333333,2.926886856,88.0,79.0,0,0,0,0,0,0,0,1,4,1,0
UBCV,2017,S,SPAN,504,B,OVERALL,Studies in Hispanic Cinema,,6,82.833333333,2.926886856,88.0,79.0,0,0,0,0,0,0,0,1,4,1,0
