Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,BABS,502,,BA1,Forecasting and Time Series Prediction,Martha Essak;Wenting Li,35,80.028571429,6.653109464,91.0,61.0,0,0,0,1,1,3,1,8,12,8,1
UBCV,2017,W,BABS,502,,OVERALL,Forecasting and Time Series Prediction,,35,80.028571429,6.653109464,91.0,61.0,0,0,0,1,1,3,1,8,12,8,1
UBCV,2017,W,BABS,506,,BA1,Analyzing and Modelling Uncertainty,Hao Zhang;Mona Imanpoor Yourdshahy;Weihua Zhang,37,82.837837838,6.857734942,93.0,68.0,0,0,0,0,0,3,2,6,6,15,5
UBCV,2017,W,BABS,506,,OVERALL,Analyzing and Modelling Uncertainty,,37,82.837837838,6.857734942,93.0,68.0,0,0,0,0,0,3,2,6,6,15,5
UBCV,2017,W,BABS,507,,BA1,Descriptive and Predictive Business Analysis,Martha Essak;Wenting Li,37,85.378378378,5.345565927,93.0,70.0,0,0,0,0,0,1,2,1,10,15,8
UBCV,2017,W,BABS,507,,OVERALL,Descriptive and Predictive Business Analysis,,37,85.378378378,5.345565927,93.0,70.0,0,0,0,0,0,1,2,1,10,15,8
UBCV,2017,W,BABS,508,,BA1,Advanced Predictive Business Analytics,Martha Essak;Wenting Li,35,82.685714286,5.206169579,91.0,69.0,0,0,0,0,0,1,2,6,13,9,4
UBCV,2017,W,BABS,508,,OVERALL,Advanced Predictive Business Analytics,,35,82.685714286,5.206169579,91.0,69.0,0,0,0,0,0,1,2,6,13,9,4
UBCV,2017,W,BABS,550,,001,Application of Statistics in Management,Benjamin Benhamou;Gregory Werker,48,85.041666667,7.12788451,94.0,65.0,0,0,0,0,1,2,2,6,7,14,16
UBCV,2017,W,BABS,550,,002,Application of Statistics in Management,Benjamin Benhamou;Gregory Werker,49,83.734693878,8.028012182,98.0,64.0,0,0,0,0,3,2,3,3,15,10,13
UBCV,2017,W,BABS,550,,300,Application of Statistics in Management,Benjamin Benhamou;Gregory Werker,39,84.666666667,5.704722574,93.0,68.0,0,0,0,0,0,1,1,4,10,15,8
UBCV,2017,W,BABS,550,,MM1,Application of Statistics in Management,Jonathan Berkowitz;Wenting Li,39,80.076923077,6.799321233,90.0,68.0,0,0,0,0,0,6,4,7,8,10,4
UBCV,2017,W,BABS,550,,OVERALL,Application of Statistics in Management,,175,83.485714286,7.232475565,98.0,64.0,0,0,0,0,4,11,10,20,40,49,41
