Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,BAEN,502,,001,Growing and Exiting a Venture,James Blair Simonite;James Simonite,29,83.655172414,3.038748122,88.0,78.0,0,0,0,0,0,0.0,0,3.0,13,13,0
UBCV,2017,W,BAEN,502,,OVERALL,Growing and Exiting a Venture,,29,83.655172414,3.038748122,88.0,78.0,0,0,0,0,0,0.0,0,3.0,13,13,0
UBCV,2017,W,BAEN,505,,001,Entrepreneurial Finance,Gurinder Parmar;Gurinder Singh Parmar;Richard Mackellar,38,78.605263158,6.136023334,91.0,67.0,0,0,0,0,1,5.0,5,10.0,9,6,2
UBCV,2017,W,BAEN,505,,OVERALL,Entrepreneurial Finance,,38,78.605263158,6.136023334,91.0,67.0,0,0,0,0,1,5.0,5,10.0,9,6,2
UBCV,2017,W,BAEN,506,,001,Technology Entrepreneurship,Alex Feldman;David Miller;Gregory Fitzgerald;Paul Cubbon,20,84.0,3.699217556,88.0,77.0,0,0,0,0,0,0.0,0,4.0,6,10,0
UBCV,2017,W,BAEN,506,,002,Technology Entrepreneurship,David Miller;Gregory Fitzgerald;Paul Cubbon;Tamara Etmannski,19,84.315789474,3.575419658,90.0,73.0,0,0,0,0,0,0.0,1,0.0,9,7,2
UBCV,2017,W,BAEN,506,,OVERALL,Technology Entrepreneurship,,39,84.153846154,3.594868137,90.0,73.0,0,0,0,0,0,0.0,1,4.0,15,17,2
UBCV,2017,W,BAEN,510,,001,Intrapreneurship,James Blair Simonite;Megan Kofoed,37,85.486486486,3.625692437,94.0,80.0,0,0,0,0,0,0.0,0,0.0,19,13,5
UBCV,2017,W,BAEN,510,,OVERALL,Intrapreneurship,,37,85.486486486,3.625692437,94.0,80.0,0,0,0,0,0,0.0,0,0.0,19,13,5
UBCV,2017,W,BAEN,550,,001,Fundamentals in Entrepreneurship,Leana Keto;Paul Cubbon,47,80.595744681,4.504391936,91.0,74.0,0,0,0,0,0,0.0,3,18.0,16,8,2
UBCV,2017,W,BAEN,550,,002,Fundamentals in Entrepreneurship,Leana Keto;Paul Cubbon,50,79.3,4.151468882,87.0,68.0,0,0,0,0,0,1.0,5,21.0,17,6,0
UBCV,2017,W,BAEN,550,,DD1,Fundamentals in Entrepreneurship,Angele Beausoleil;Shannon Mary Patricia Payne;Shannon Payne,52,83.403846154,3.695570297,91.0,77.0,0,0,0,0,0,0.0,0,8.0,27,13,4
UBCV,2017,W,BAEN,550,,MM1,Fundamentals in Entrepreneurship,Gregory Fitzgerald;Gregory Gordon Fitzgerald;Tamara Etmannski,39,82.58974359,3.377307778,90.0,77.0,0,0,0,0,0,0.0,0,6.0,20,12,1
UBCV,2017,W,BAEN,550,,OVERALL,Fundamentals in Entrepreneurship,,188,81.441489362,4.278010172,91.0,68.0,0,0,0,0,0,1.0,8,53.0,80,39,7
UBCV,2017,W,BAEN,580,,817,Topics in Entrepreneurship,Richard Mackellar,27,79.777777778,5.652319696,91.0,70.0,0,0,0,0,0,3.0,3,7.0,9,4,1
UBCV,2017,W,BAEN,580,,OVERALL,Topics in Entrepreneurship,,27,79.777777778,5.652319696,91.0,70.0,0,0,0,0,0,3.0,3,7.0,9,4,1
UBCV,2017,W,BAEN,580,A,001,Topics in Entrepreneurship,Garth Yule,20,88.05,3.531437757,94.0,82.0,0,0,0,0,0,0.0,0,0.0,4,9,7
UBCV,2017,W,BAEN,580,A,OVERALL,Topics in Entrepreneurship,,20,88.05,3.531437757,94.0,82.0,0,0,0,0,0,0.0,0,0.0,4,9,7
UBCV,2017,W,BAEN,580,B,001,Topics in Entrepreneurship,Darrell Kopke,14,84.285714286,4.998900978,95.0,76.0,0,0,0,0,0,0.0,0,2.0,6,5,1
UBCV,2017,W,BAEN,580,B,OVERALL,Topics in Entrepreneurship,,14,84.285714286,4.998900978,95.0,76.0,0,0,0,0,0,0.0,0,2.0,6,5,1
UBCV,2017,W,BAEN,580,C,001,Topics in Entrepreneurship,Justin Bull,18,84.5,5.17061835,94.0,74.0,0,0,0,0,0,0.0,1,2.0,6,6,3
UBCV,2017,W,BAEN,580,C,OVERALL,Topics in Entrepreneurship,,22,83.818181818,5.786983453,94.0,70.0,0,0,0,0,0,1.0,1,2.0,8,6,4
