Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,GEOG,121,,101,"Geography, Environment and Globalization",Juanita Sundberg;Michelle Daigle,214,68.406542056,14.252852583,89.0,1.0,15,9,14,15,26,25,38,30,35,7,0.0
UBCV,2017,W,GEOG,121,,102,"Geography, Environment and Globalization",Juanita Sundberg;Michelle Daigle,198,69.358585859,11.742918895,88.0,0.0,10,9,6,13,29,42,29,31,16,13,0.0
UBCV,2017,W,GEOG,121,,OVERALL,"Geography, Environment and Globalization",,520,68.061538462,13.149945293,89.0,0.0,29,24,32,41,72,87,87,72,54,22,0.0
UBCV,2017,W,GEOG,121,,V01,"Geography, Environment and Globalization",Siobhan Mcphee,60,64.2,14.308703053,85.0,0.0,,,8,7,9,10,10,7,,,
UBCV,2017,W,GEOG,121,,V02,"Geography, Environment and Globalization",Siobhan Mcphee,48,66.0,11.083819910999999,85.0,11.0,,,4,6,8,10,10,4,,,
UBCV,2017,W,GEOG,122,,201,"Geography, Modernity and Globalization",Christopher Seth Wynes;Christopher Wynes;Daniel Perez Gamez;Grace Newton;James Francis Glassman;Luke Barnesmoore;Luke Richard Barnesmoore;Micheal Don David Jerowsky;Micheal Jerowsky;Mollie Holmberg;Trevor Barnes,201,68.368159204,14.731048200999998,90.0,0.0,13,7,16,17,18,36,30,15,30,17,2.0
UBCV,2017,W,GEOG,122,,299,"Geography, Modernity and Globalization",James Francis Glassman;Trevor Barnes,87,65.482758621,19.148053559,91.0,0.0,11,,7,10,5,11,11,9,16,,
UBCV,2017,W,GEOG,122,,OVERALL,"Geography, Modernity and Globalization",,391,68.184143223,15.096674934000001,91.0,0.0,26,15,26,30,38,66,62,41,62,22,3.0
UBCV,2017,W,GEOG,122,,V01,"Geography, Modernity and Globalization",Angela Ho;Anna Vozna;Caitlin Chan;Ine Beljaars;Shelby Loft;Siobhan Mcphee;Stella Zhou,59,70.050847458,11.34934865,85.0,9.0,,,,,9,11,11,11,8,,
UBCV,2017,W,GEOG,122,,V02,"Geography, Modernity and Globalization",Angela Ho;Caitlin Chan;Siobhan Mcphee;Stella Zhou,44,70.181818182,11.266894761,83.0,18.0,,,,,6,8,10,6,8,,
UBCV,2017,W,GEOG,211,,101,The State of the Earth,Alec Blair,123,73.910569106,12.731790681,95.0,4.0,,5,,,18,8,13,24,21,17,8
UBCV,2017,W,GEOG,211,,OVERALL,The State of the Earth,,123,73.910569106,12.731790681,95.0,4.0,,5,,,18,8,13,24,21,17,8
UBCV,2017,W,GEOG,220,,101,Geopolitics,Merje Kuus,72,72.847222222,9.928845049,88.0,33.0,,,,,9,6,17,11,16,,
UBCV,2017,W,GEOG,220,,OVERALL,Geopolitics,,72,72.847222222,9.928845049,88.0,33.0,,,,,9,6,17,11,16,,
UBCV,2017,W,GEOG,250,,101,Cities,Daniel Perez Gamez;Elvin Wyly;Zoe Jane Power;Zoe Power,90,75.444444444,9.087726148,93.0,39.0,,,,,7,11,20,13,23,7,
UBCV,2017,W,GEOG,250,,OVERALL,Cities,,90,75.444444444,9.087726148,93.0,39.0,,,,,7,11,20,13,23,7,
UBCV,2017,W,GEOG,281,,201,Geography of the Pacific Rim,Dmitri Detwyler;Jacob Forrest;James Francis Glassman;Michael Fabris;Shahid Abrar-Ul-Hassan;Simon Chilvers;Simon James Chilvers;Szu-Yun Hsu;Zoe Jane Power;Zoe Power,31,76.580645161,10.281939485,90.0,45.0,,,,,,6,5,,8,5,
UBCV,2017,W,GEOG,281,,OVERALL,Geography of the Pacific Rim,,31,76.580645161,10.281939485,90.0,45.0,,,,,,6,5,,8,5,
UBCV,2017,W,GEOG,290,,201,Introduction to the Geography of Canada,Daniel Joseph Hiebert;Kirsten Mcilveen,93,71.333333333,12.815864263,90.0,0.0,,,,5,10,15,22,16,12,6,
UBCV,2017,W,GEOG,290,,OVERALL,Introduction to the Geography of Canada,,93,71.333333333,12.815864263,90.0,0.0,,,,5,10,15,22,16,12,6,
UBCV,2017,W,GEOG,310,,101,Environment and Sustainability,Jessica Dempsey,189,76.116402116,8.512018772000001,93.0,32.0,2,2,1,6,15,18,28,30,62,21,4
UBCV,2017,W,GEOG,310,,201,Environment and Sustainability,Alec Blair;Douglas Robb;Karen Jessica Bakker;Sara Cannon,179,71.77094972100001,12.810987414000001,99.0,37.0,7,10,8,17,14,22,26,24,22,11,18
UBCV,2017,W,GEOG,310,,OVERALL,Environment and Sustainability,,368,74.002717391,11.020293058,99.0,32.0,9,12,9,23,29,40,54,54,84,32,22
UBCV,2017,W,GEOG,311,,201,Urban Environments,Alec Blair;Gregory H Henry;Ian Mckendry,97,76.649484536,9.563429952,94.0,10.0,,,,,,12,13,29,23,10,5
UBCV,2017,W,GEOG,311,,OVERALL,Urban Environments,,97,76.649484536,9.563429952,94.0,10.0,,,,,,12,13,29,23,10,5
UBCV,2017,W,GEOG,312,,201,Climate Change: Science and Society,Heather Summers;Simon Donner,95,76.6,10.630546112000001,97.0,34.0,,,,,,11,15,17,24,14,
UBCV,2017,W,GEOG,312,,OVERALL,Climate Change: Science and Society,,95,76.6,10.630546112000001,97.0,34.0,,,,,,11,15,17,24,14,
UBCV,2017,W,GEOG,316,,201,Geography of Natural Hazards,Alec Blair;Sara Cannon,94,72.62765957399999,16.781956544,99.0,0.0,5,,,8,8,12,5,17,12,13,10
UBCV,2017,W,GEOG,316,,OVERALL,Geography of Natural Hazards,,94,72.62765957399999,16.781956544,99.0,0.0,5,,,8,8,12,5,17,12,13,10
UBCV,2017,W,GEOG,318,,101,Sustainability in a Changing Environment,Alec Blair,62,74.580645161,9.201832296000001,91.0,47.0,,,,,,8,10,15,11,7,
UBCV,2017,W,GEOG,318,,OVERALL,Sustainability in a Changing Environment,,62,74.580645161,9.201832296000001,91.0,47.0,,,,,,8,10,15,11,7,
UBCV,2017,W,GEOG,319,,101,Environmental Impact Assessment,Nina Hewitt,84,72.892857143,11.399659535,90.0,33.0,,,5,,9,6,11,19,12,12,
UBCV,2017,W,GEOG,319,,OVERALL,Environmental Impact Assessment,,84,72.892857143,11.399659535,90.0,33.0,,,5,,9,6,11,19,12,12,
UBCV,2017,W,GEOG,321,,101,"Historical Geography of Urbanization: Cities, Space, and Power",Derek John Gregory,69,69.376811594,10.559497327,87.0,33.0,,,6,8,10,15,9,,8,6,
UBCV,2017,W,GEOG,321,,OVERALL,"Historical Geography of Urbanization: Cities, Space, and Power",,69,69.376811594,10.559497327,87.0,33.0,,,6,8,10,15,9,,8,6,
UBCV,2017,W,GEOG,327,,101,Creating Canada,Kathryn Mckay,95,72.168421053,13.407407155,88.0,0.0,,,,,17,10,11,19,21,7,
UBCV,2017,W,GEOG,327,,OVERALL,Creating Canada,,95,72.168421053,13.407407155,88.0,0.0,,,,,17,10,11,19,21,7,
UBCV,2017,W,GEOG,328,,201,Constructing Canada,Douglas Robb;John Irwin,91,74.362637363,10.22471568,89.0,30.0,,,,,,12,22,19,16,11,
UBCV,2017,W,GEOG,328,,OVERALL,Constructing Canada,,91,74.362637363,10.22471568,89.0,30.0,,,,,,12,22,19,16,11,
UBCV,2017,W,GEOG,329,,101,Political Geography,Philippe Le Billon,97,73.79381443300001,13.121974369,95.0,0.0,,,,,6,14,17,16,20,11,
UBCV,2017,W,GEOG,329,,OVERALL,Political Geography,,97,73.79381443300001,13.121974369,95.0,0.0,,,,,6,14,17,16,20,11,
UBCV,2017,W,GEOG,345,,101,Theory and Practice in Human Geography,Derek John Gregory,57,67.070175439,14.881507759000002,92.0,14.0,6,,5,6,5,10,7,,,6,
UBCV,2017,W,GEOG,345,,OVERALL,Theory and Practice in Human Geography,,57,67.070175439,14.881507759000002,92.0,14.0,6,,5,6,5,10,7,,,6,
UBCV,2017,W,GEOG,350,,101,Urban Worlds,Elvin Wyly,71,79.154929577,13.752556009000001,95.0,0.0,,,,,,3,8,7,23,13,11
UBCV,2017,W,GEOG,350,,201,Urban Worlds,Caroline Ponder;Caroline Sage Ponder;Emily West;Olivia Tabares-Mendoza,91,74.615384615,14.504994719,90.0,0.0,,,,,,8,15,14,23,13,4
UBCV,2017,W,GEOG,350,,OVERALL,Urban Worlds,,162,76.604938272,14.31602413,95.0,0.0,6,,,,,11,23,21,46,26,15
UBCV,2017,W,GEOG,352,,201,Urbanization in the Global South,Nina Ebner;Siobhan Mcphee,98,75.326530612,9.118662759,86.0,14.0,,,,,6,,20,30,30,,
UBCV,2017,W,GEOG,352,,OVERALL,Urbanization in the Global South,,98,75.326530612,9.118662759,86.0,14.0,,,,,6,,20,30,30,,
UBCV,2017,W,GEOG,353,,101,Geographies of Migration and Settlement,Daniel Joseph Hiebert,55,69.745454545,14.428903839,90.0,15.0,,,,,,13,13,10,7,,
UBCV,2017,W,GEOG,353,,OVERALL,Geographies of Migration and Settlement,,55,69.745454545,14.428903839,90.0,15.0,,,,,,13,13,10,7,,
UBCV,2017,W,GEOG,357,,201,Introduction to Social Geography,Juliane Collard;Max Jacob Ritts;Max Ritts;Nicole Molinari;Rosemary-Claire Collard,90,71.444444444,11.094194363,89.0,32.0,,,6,9,,14,13,17,14,8,
UBCV,2017,W,GEOG,357,,OVERALL,Introduction to Social Geography,,90,71.444444444,11.094194363,89.0,32.0,,,6,9,,14,13,17,14,8,
UBCV,2017,W,GEOG,361,,101,Introduction to Economic Geography,Trevor Barnes,99,73.414141414,9.972421257,93.0,24.0,,,,8,6,23,18,10,19,10,
UBCV,2017,W,GEOG,361,,OVERALL,Introduction to Economic Geography,,99,73.414141414,9.972421257,93.0,24.0,,,,8,6,23,18,10,19,10,
