Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,HIST,101,,001,World History to Oceanic Contact,Arlene Marie Sindelar;Kylie Young,41,68.512195122,13.328769544,86.0,20.0,2,2.0,2,4,8.0,4,6,5.0,6,2,0
UBCV,2017,W,HIST,101,,OVERALL,World History to Oceanic Contact,,41,68.512195122,13.328769544,86.0,20.0,2,2.0,2,4,8.0,4,6,5.0,6,2,0
UBCV,2017,W,HIST,102,,001,World History from 1500 to the Twentieth Century,Christopher Friedrichs;Christopher R. Friedrichs;Elspeth Gow;Mary Carol Matheson;Mary Matheson;Rosalynd Boxall;Sebastian Huebel,212,71.70754717,12.599907456,92.0,5.0,11,5.0,6,10,18.0,26,34,42.0,45,13,2
UBCV,2017,W,HIST,102,,OVERALL,World History from 1500 to the Twentieth Century,,212,71.70754717,12.599907456,92.0,5.0,11,5.0,6,10,18.0,26,34,42.0,45,13,2
UBCV,2017,W,HIST,103,,001,World History Since 1900,Jihyun Shin;Michael Buse;Steven Hugh Lee;Tianpei Chen,166,71.656626506,13.947830875,90.0,0.0,10,1.0,4,5,16.0,18,39,27.0,32,13,1
UBCV,2017,W,HIST,103,,002,World History Since 1900,Cheuk Him Ryan Sun;Glen Peterson;Jakub Mscichowski;Kayla Reddecliff;Kayla Rose Reddecliff,172,71.197674419,14.408671664,90.0,0.0,9,3.0,4,12,15.0,22,33,32.0,29,12,1
UBCV,2017,W,HIST,103,,OVERALL,World History Since 1900,,338,71.423076923,14.165040344,90.0,0.0,19,4.0,8,17,31.0,40,72,59.0,61,25,2
UBCV,2017,W,HIST,104,,101,Topics in World History,Joshua Lee Timmermann;Joshua Timmermann;Tara Mayer,105,73.723809524,13.842864892,91.0,0.0,5,4.0,0.0,2,6.0,11,20,21.0,19,14,3
UBCV,2017,W,HIST,104,,201,Topics in World History,Eric Johnson;Eric Michael Johnson;Robert Brain,61,77.31147541,8.568432341,93.0,56.0,0,0.0,3,2,3.0,6,10,6.0,16,12,3
UBCV,2017,W,HIST,104,,227,Topics in World History,Arlene Marie Sindelar;Dane Allard;Dane Treidler Allard;Peter Jones;Peter Phillip Jones,91,70.340659341,11.589477776,88.0,26.0,3,6.0,2,6,13.0,11,19,17.0,9,5,0
