Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,JAPN,100,,001,Beginning Japanese IA,Nicholas Hall,22,71.81818182,12.58357343,91.0,45.0,1,2.0,0.0,3.0,1.0,4.0,2,1,3,4.0,1
UBCV,2017,W,JAPN,100,,002,Beginning Japanese IA,Elsa Chanez;Haruyo Taucar;Nicholas Hall,23,69.52173913,12.77379977,88.0,41.0,2,1.0,1.0,3.0,2.0,1.0,1,8,3,1.0,0
UBCV,2017,W,JAPN,100,,003,Beginning Japanese IA,Masumi Abe El-Khoury;Youki Wiens;Yuko Watanabe,24,69.25,14.28361786,90.0,38.0,1,3.0,3.0,2.0,3.0,1.0,2,1,4,3.0,1
UBCV,2017,W,JAPN,100,,004,Beginning Japanese IA,Keiko Koizumi,23,74.69565217,15.3665362,95.0,46.0,1,2.0,1.0,2.0,2.0,1.0,3,1,2,3.0,5
UBCV,2017,W,JAPN,100,,005,Beginning Japanese IA,Nicholas Hall,19,68.73684211,17.90667816,93.0,15.0,1,0.0,3.0,3.0,3.0,1.0,0,2,2,3.0,1
UBCV,2017,W,JAPN,100,,006,Beginning Japanese IA,Ikuko Itoh;Yuko Watanabe,26,71.15384615,11.41470037,90.0,33.0,1,0.0,1.0,2.0,3.0,4.0,5,5,2,2.0,1
UBCV,2017,W,JAPN,100,,008,Beginning Japanese IA,Misuzu Kazama,29,65.10344828,17.42400812,87.0,18.0,4,4.0,2.0,0.0,1.0,4.0,5,4,3,2.0,0
UBCV,2017,W,JAPN,100,,009,Beginning Japanese IA,Belen Fan,23,66.95652174,19.62252477,87.0,8.0,3,1.0,0.0,2.0,3.0,2.0,0,6,5,1.0,0
UBCV,2017,W,JAPN,100,,010,Beginning Japanese IA,Misuzu Kazama,30,69.96666667,15.93842318,94.0,30.0,3,1.0,3.0,1.0,0.0,7.0,3,4,4,1.0,3
UBCV,2017,W,JAPN,100,,011,Beginning Japanese IA,Maki Ode,29,70.13793103,15.93227662,87.0,4.0,1,1.0,2.0,2.0,3.0,5.0,4,3,4,4.0,0
UBCV,2017,W,JAPN,100,,012,Beginning Japanese IA,Misuzu Kazama,27,72.81481482,12.30396133,96.0,46.0,1,2.0,1.0,3.0,1.0,3.0,3,5,3,4.0,1
UBCV,2017,W,JAPN,100,,013,Beginning Japanese IA,Michiko Suzuki,28,72.0,17.89475404,93.0,12.0,3,1.0,0.0,0.0,2.0,3.0,2,6,6,4.0,1
UBCV,2017,W,JAPN,100,,014,Beginning Japanese IA,Belen Fan,17,66.82352941,11.71662971,79.0,39.0,2,1.0,1.0,1.0,1.0,3.0,6,2,0,0.0,0
UBCV,2017,W,JAPN,100,,015,Beginning Japanese IA,Keiko Koizumi,20,70.15,15.42818678,92.0,29.0,2,1.0,0.0,3.0,1.0,1.0,3,4,3,0.0,2
UBCV,2017,W,JAPN,100,,021,Beginning Japanese IA,Emmett Chan;Haruyo Takahashi-Taucar;Haruyo Taucar,23,68.2173913,23.01966851,92.0,0.0,2,2.0,3.0,1.0,0.0,1.0,2,1,7,3.0,1
UBCV,2017,W,JAPN,100,,022,Beginning Japanese IA,Haruyo Takahashi-Taucar;Haruyo Taucar;Yuko Watanabe,23,64.73913044,25.10381607,92.0,0.0,3,2.0,1.0,3.0,1.0,3.0,1,3,2,1.0,3
UBCV,2017,W,JAPN,100,,023,Beginning Japanese IA,Elsa Chanez;Misuzu Kazama,27,66.11111111,22.14520843,94.0,0.0,4,4.0,0.0,2.0,1.0,1.0,3,3,3,4.0,2
UBCV,2017,W,JAPN,100,,024,Beginning Japanese IA,Maki Ode,26,74.42307692,15.46136625,90.0,31.0,2,0.0,1.0,3.0,0.0,1.0,3,5,3,6.0,2
UBCV,2017,W,JAPN,100,,025,Beginning Japanese IA,Emmett Chan;Haruyo Takahashi-Taucar;Haruyo Taucar;Yuko Watanabe,23,72.56521739,18.75881874,94.0,4.0,1,0.0,1.0,1.0,4.0,5.0,1,2,1,4.0,3
UBCV,2017,W,JAPN,100,,026,Beginning Japanese IA,Misuzu Kazama,26,72.42307692,14.69468769,91.0,38.0,2,2.0,1.0,2.0,1.0,1.0,5,2,3,5.0,2
UBCV,2017,W,JAPN,100,,027,Beginning Japanese IA,Keiko Koizumi,24,68.125,18.86868236,95.0,34.0,5,2.0,0.0,4.0,1.0,0.0,1,0,5,3.0,3
UBCV,2017,W,JAPN,100,,028,Beginning Japanese IA,Misuzu Kazama,28,71.92857143,16.19997387,92.0,5.0,1,1.0,0.0,4.0,2.0,1.0,6,7,2,1.0,3
UBCV,2017,W,JAPN,100,,99A,Beginning Japanese IA,Nicholas Hall,29,61.44827586,20.11322629,87.0,4.0,5,2.0,2.0,7.0,1.0,2.0,3,1,4,2.0,0
UBCV,2017,W,JAPN,100,,OVERALL,Beginning Japanese IA,,569,69.52196837,17.13399838,96.0,0.0,51,35.0,27.0,54.0,37.0,55.0,64,76,74,61.0,35
UBCV,2017,W,JAPN,101,,001,Beginning Japanese IB,Nicholas Hall,14,77.42857143,14.29746769,95.0,50.0,0,2.0,0.0,1.0,0.0,0.0,1,3,2,2.0,3
UBCV,2017,W,JAPN,101,,002,Beginning Japanese IB,Nicholas Hall,10,65.0,15.21694961,90.0,45.0,2,1.0,1.0,1.0,1.0,1.0,0,0,2,0.0,1
UBCV,2017,W,JAPN,101,,003,Beginning Japanese IB,Ihhwa Kim;Youki Wiens,27,72.11111111,10.32671417,88.0,53.0,0,1.0,2.0,5.0,1.0,4.0,3,3,5,3.0,0
UBCV,2017,W,JAPN,101,,004,Beginning Japanese IB,Belen Fan,15,69.53333333,10.76944531,85.0,53.0,0,1.0,3.0,2.0,0.0,1.0,2,3,1,2.0,0
UBCV,2017,W,JAPN,101,,005,Beginning Japanese IB,Michiko Suzuki,29,72.27586207,8.400240438,90.0,45.0,1,0.0,1.0,0.0,3.0,8.0,7,5,2,1.0,1
UBCV,2017,W,JAPN,101,,006,Beginning Japanese IB,Ikuko Itoh,15,71.26666667,21.0321749,91.0,0.0,1,0.0,0.0,1.0,0.0,2.0,4,1,4,1.0,1
UBCV,2017,W,JAPN,101,,007,Beginning Japanese IB,Ikuko Itoh,11,74.27272727,9.727187765,90.0,61.0,0,0.0,0.0,2.0,2.0,0.0,1,2,3,0.0,1
UBCV,2017,W,JAPN,101,,008,Beginning Japanese IB,Michiko Suzuki,27,75.85185185,9.113403922,91.0,57.0,0,0.0,1.0,1.0,3.0,4.0,4,4,5,4.0,1
