Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,LAW,201,,001,Canadian Constitutional Law,Bethany Hastie;Johnny Mack,49,74.326530612,3.567140283,81.0,67.0,0,0,0,0,2,7,22.0,15,3,0,0
UBCV,2017,W,LAW,201,,002,Canadian Constitutional Law,Joel Conrad Bakan;Johnny Mack,50,74.2,4.020356366,84.0,67.0,0,0,0,0,3,7,20.0,15,5,0,0
UBCV,2017,W,LAW,201,,003,Canadian Constitutional Law,Jean Teillet;Michael Da Silva,47,73.765957447,5.263544706,85.0,55.0,0,0,1,1,2,10,16.0,11,5,1,0
UBCV,2017,W,LAW,201,,004,Canadian Constitutional Law,Darlene Johnston;Elizabeth Edinger,47,74.276595745,6.236993868,86.0,60.0,0,0,0,4,4,5,12.0,12,9,1,0
UBCV,2017,W,LAW,201,,OVERALL,Canadian Constitutional Law,,193,74.14507772,4.828268444,86.0,55.0,0,0,1,5,11,29,70.0,53,22,2,0
UBCV,2017,W,LAW,211,,001,Contracts,Joel Conrad Bakan,48,74.770833333,3.15041087,82.0,69.0,0,0,0,0,0,7,24.0,12,5,0,0
UBCV,2017,W,LAW,211,,002,Contracts,Anne Uteck,49,74.816326531,5.998866106,85.0,56.0,0,0,1,3,1,6,15.0,12,10,1,0
UBCV,2017,W,LAW,211,,003,Contracts,Erez Aloni,50,72.76,11.456323448,90.0,50.0,0,3,4,6,2,7,5.0,6,7,7,3
UBCV,2017,W,LAW,211,,004,Contracts,Carol Liao,48,75.395833333,5.826350938,85.0,55.0,0,0,1,1,2,3,16.0,13,11,1,0
UBCV,2017,W,LAW,211,,OVERALL,Contracts,,195,74.420512821,7.327929184,90.0,50.0,0,3,6,10,5,23,60.0,43,33,9,3
UBCV,2017,W,LAW,221,,001,Criminal Law and Procedure,Isabel Grant;Janine Benedet,47,74.829787234,5.490383486,86.0,58.0,0,0,1,1,2,6,15.0,14,7,1,0
UBCV,2017,W,LAW,221,,002,Criminal Law and Procedure,Benjamin Goold,50,75.24,4.221229147,85.0,63.0,0,0,0,1,1,5,18.0,18,6,1,0
UBCV,2017,W,LAW,221,,003,Criminal Law and Procedure,Benjamin Perrin,48,75.416666667,4.360525702,88.0,65.0,0,0,0,0,1,8,17.0,16,4,2,0
UBCV,2017,W,LAW,221,,004,Criminal Law and Procedure,Nikos Harris,48,75.333333333,8.781831664,89.0,50.0,0,2,1,2,4,2,11.0,10,9,7,0
UBCV,2017,W,LAW,221,,OVERALL,Criminal Law and Procedure,,193,75.207253886,5.945809906,89.0,50.0,0,2,2,4,8,21,61.0,58,26,11,0
UBCV,2017,W,LAW,231,,001,Property Law,John Wood,48,72.770833333,7.613648392,85.0,51.0,0,2,2,0.0,3,11,14.0,8,5,3,0
UBCV,2017,W,LAW,231,,002,Property Law,Dennis Pavlich,49,74.367346939,6.243976689,85.0,56.0,0,0,2,2,3,4,12.0,17,7,2,0
UBCV,2017,W,LAW,231,,003,Property Law,Douglas Harris,47,74.319148936,4.573583805,82.0,60.0,0,0,0,1,4,3,18.0,14,7,0,0
UBCV,2017,W,LAW,231,,004,Property Law,Anthony F. Sheppard,47,74.85106383,3.855987571,83.0,63.0,0,0,0,1,1,3,23.0,13,6,0,0
UBCV,2017,W,LAW,231,,OVERALL,Property Law,,191,74.073298429,5.785177895,85.0,51.0,0,2,4,4,11,21,67.0,52,25,5,0
UBCV,2017,W,LAW,241,,001,Torts,Lachlan Caunt;Mary Anne Bobinski,49,74.93877551,5.35960261,83.0,62.0,0,0,0,3,2,6,10.0,20,8,0,0
UBCV,2017,W,LAW,241,,002,Torts,Jocelyn Stacey;Joost Blom,47,74.404255319,6.264668264,86.0,57.0,0,0,1,1,7,2,17.0,10,7,2,0
UBCV,2017,W,LAW,241,,003,Torts,Anne Uteck,50,74.52,5.414417639,84.0,59.0,0,0,1,1,4,7,15.0,14,8,0,0
UBCV,2017,W,LAW,241,,004,Torts,Efrat Arbel,48,75.520833333,2.649685516,83.0,67.0,0,0,0,0,1,1,16.0,26,4,0,0
UBCV,2017,W,LAW,241,,OVERALL,Torts,,194,74.845360825,5.083428744,86.0,57.0,0,0,2,5,14,16,58.0,70,27,2,0
UBCV,2017,W,LAW,251,,001,Public Law,Catherine Dauvergne;Michael Da Silva,94,74.021276596,3.494938655,85.0,64.0,0,0,0,0,2,21,40.0,25,5,1,0
UBCV,2017,W,LAW,251,,002,Public Law,Andrew Martin;Catherine Dauvergne,97,74.360824742,3.156295188,81.0,68.0,0,0,0,0,0,15,46.0,32,4,0,0
UBCV,2017,W,LAW,251,,OVERALL,Public Law,,191,74.193717277,3.322833652,85.0,64.0,0,0,0,0,2,36,86.0,57,9,1,0
UBCV,2017,W,LAW,261,,001,Transnational Law,Natasha Affolder,47,75.0,4.053983548,87.0,65.0,0,0,0,0,2,1,27.0,12,4,1,0
UBCV,2017,W,LAW,261,,002,Transnational Law,Sara Ghebremusse,49,74.306122449,5.485602677,89.0,61.0,0,0,0,2,5,5,18.0,13,5,1,0
UBCV,2017,W,LAW,261,,003,Transnational Law,Galit Sarfaty,47,74.85106383,4.903320629,85.0,62.0,0,0,0,1,2,9,13.0,12,9,1,0
UBCV,2017,W,LAW,261,,004,Transnational Law,Asha Kaushal,50,74.74,4.566112981,84.0,64.0,0,0,0,0,4,2,25.0,12,7,0,0
UBCV,2017,W,LAW,261,,OVERALL,Transnational Law,,193,74.720207254,4.754872058,89.0,61.0,0,0,0,3,13,17,83.0,49,25,3,0
UBCV,2017,W,LAW,281,,001,Legal Research and Writing,George Tsiakos,46,74.97826087,2.752688629,80.0,66.0,0,0,0,0,1,3,17.0,24,1,0,0
UBCV,2017,W,LAW,281,,002,Legal Research and Writing,George Tsiakos,49,74.979591837,1.909295201,80.0,71.0,0,0,0,0,0,1,24.0,23,1,0,0
UBCV,2017,W,LAW,281,,003,Legal Research and Writing,Sara Ghebremusse,48,74.291666667,4.135771987,85.0,65.0,0,0,0,0,3,10,17.0,13,4,1,0
UBCV,2017,W,LAW,281,,004,Legal Research and Writing,Veronika Kollbrand,48,73.916666667,3.187964957,80.0,66.0,0,0,0,0,1,9,24.0,10,4,0,0
UBCV,2017,W,LAW,281,,OVERALL,Legal Research and Writing,,191,74.539267016,3.109793949,85.0,65.0,0,0,0,0,5,23,82.0,70,10,1,0
