Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,MUSC,100,,001,Principles of Musical Form,Carolyn Quick;John Barlow Roeder,81,75.01234567899999,11.864330815,95.0,42.0,,,8,,,12,13,8,8,15,8
UBCV,2017,W,MUSC,101,,001,Diatonic Harmony and Voice Leading,Eve Poudrier;Mikyla Jensen,69,76.043478261,13.748192162,95.0,2.0,,,,,6,7,6,5,15,12,9
UBCV,2017,W,MUSC,103,,001,Introduction to the Theory of Music,Michael Brandon Konoval;Mikyla Jensen;Winnie Ho,54,83.962962963,15.934965663,99.0,14.0,,,,,,,,,,6,28
UBCV,2017,W,MUSC,103,,002,Introduction to the Theory of Music,Laurel Jean Parsons;Laurel Parsons;Winnie Ho,22,88.0,10.0,99.0,56.0,,,,,,,,,,,12
UBCV,2017,W,MUSC,104,,001,Introduction to Diatonic Harmony,Laura Catherine Crowe;Laura Crowe;Michael Brandon Konoval;Winnie Ho,14,71.642857143,31.326094168,95.0,0.0,,,,,,,,,,,
UBCV,2017,W,MUSC,104,,002,Introduction to Diatonic Harmony,Laurel Jean Parsons;Laurel Parsons;Winnie Ho,20,70.05,16.583044605999998,87.0,11.0,,,,,,,,,5,,
UBCV,2017,W,MUSC,105,,001,Aural Skills I,Emily Logan;Gordon P Paslawski;Gordon Paslawski;Laura Catherine Crowe;Laura Crowe;Walker Williams,42,89.64285714299999,9.164676164,100.0,68.0,,,,,,,,5,,,28
UBCV,2017,W,MUSC,106,,002,Aural Skills II,Antares Boyle;Antares Leah Boyle;Gordon P Paslawski;Gordon Paslawski;Grant Sawatzky;Walker Williams,48,79.291666667,19.332431503,98.0,2.0,,,,,,5,,,9,15,10
UBCV,2017,W,MUSC,107,C,002,Composition I,Dorothy Chang Bortolussi;Stephen Chatman,8,85.875,1.9594095319999998,88.0,82.0,,,,,,,,,,6,
UBCV,2017,W,MUSC,112,,001,Class Brasses and Percussion,Aaron Graham;Cris Inguanti;James Littleford;James S Littleford;Sharman King,14,81.785714286,12.37975128,95.0,54.0,,,,,,,,,,6,
UBCV,2017,W,MUSC,119,,001,Introduction to Music Technology,Brian Lee Topp;Brian Topp;Robert Pritchard,113,73.54867256600001,15.017841265,100.0,26.0,,13,5,6,9,7,11,10,19,18,12
UBCV,2017,W,MUSC,120,,001,History of Music I,Alexander John Fisher;Kathleen Stanyer;Rebecca Clarke,77,77.961038961,11.232520407,95.0,38.0,,,,,,,16,9,19,14,8
UBCV,2017,W,MUSC,121,,001,History of Music II,Rebecca Clarke;Sin Yan Hedy Law,73,71.150684932,11.095133107999999,90.0,29.0,,,5,,9,11,13,14,8,,
UBCV,2017,W,MUSC,122,,001,Class Woodwinds,Brenda Fedoruk;Brenda Louise Fedoruk;Ingrid Chiang;Jose Franch Ballester;Julia Nolan;Kristen Cooke,10,84.9,6.573515887,94.0,74.0,,,,,,,,,,,
UBCV,2017,W,MUSC,131,,001,Class Voice,Hyun Seung Son;Nancy Jane Hermiston;Sunghoon Oh,7,91.428571429,3.207134903,95.0,87.0,,,,,,,,,,,5
UBCV,2017,W,MUSC,135,,001,Opera Repertoire I,Eric Wilson;Jody Lear;Richard Arthur Epp,14,86.35714285700001,4.162232072,96.0,81.0,,,,,,,,,,8,
UBCV,2017,W,MUSC,136,C,001,Piano Repertoire I,Corey Hamm,11,91.090909091,5.647203652000001,95.0,75.0,,,,,,,,,,,9
UBCV,2017,W,MUSC,141,,001,Class Piano I,Edmundo Gonzalez Alvarado;Susan M.C. Chen Chai,18,75.722222222,9.392146628999999,88.0,53.0,,,,,,,,,5,,
UBCV,2017,W,MUSC,150,A,001,Large Instrumental Ensemble,Adam Dopierala;Jacob Pope;Jaelem Bhate;Jaelem Taylor Bhate;Jonathan Girard;Lauren Visel;Robert Taylor,104,93.16346153799999,3.671222587,100.0,79.0,,,,,,,,,,17,86
UBCV,2017,W,MUSC,150,C,001,Large Instrumental Ensemble,Christin Reardon Maclellan;Jacob Pope;Lauren Visel;Robert Taylor,20,93.5,2.481510576,100.0,90.0,,,,,,,,,,,20
UBCV,2017,W,MUSC,153,A,001,University Singers,Emily Logan;Graeme Langager;Laine Longton,31,95.451612903,3.2024855939999997,97.0,85.0,,,,,,,,,,,29
