Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,WOOD,120,,101,Introduction to Wood Products and Global Trade,Alice Palmer;Shenghao Xie;Simon Ellis,38,66.15789473699999,15.578096744000002,93.0,0.0,,,,5,,5,9,7,,,
UBCV,2017,W,WOOD,120,,OVERALL,Introduction to Wood Products and Global Trade,,38,66.15789473699999,15.578096744000002,93.0,0.0,,,,5,,5,9,7,,,
UBCV,2017,W,WOOD,225,,201,Communications Strategies,Donald Hunter;Donald Michael Hunter;Lauren Mcguire-Wood;Mariko Molander,31,68.35483871,4.62996319,78.0,59.0,,,,6,,14,6,,,,
UBCV,2017,W,WOOD,225,,202,Communications Strategies,Mariko Molander,27,70.25925925899999,9.4689476,87.0,52.0,,,,,,,4,,,,
UBCV,2017,W,WOOD,225,,203,Communications Strategies,Jennifer Cowe,30,72.033333333,5.8338095039999995,85.0,55.0,,,,,,14,5,5,,,
UBCV,2017,W,WOOD,225,,204,Communications Strategies,Jennifer Cowe,29,73.517241379,6.277059649,87.0,62.0,,,,,,,11,6,,,
UBCV,2017,W,WOOD,225,,OVERALL,Communications Strategies,,117,71.017094017,6.893253706,87.0,52.0,,,,11,10,36,26,17,5,6,
UBCV,2017,W,WOOD,244,,001,Quantitative Methods in the Wood Industry,Sepideh Nourian;Shenghao Xie;Stavros Avramidis,34,86.11764705899999,8.629634305,98.0,62.0,,,,,,,,,10,7,13
UBCV,2017,W,WOOD,244,,OVERALL,Quantitative Methods in the Wood Industry,,34,86.11764705899999,8.629634305,98.0,62.0,,,,,,,,,10,7,13
UBCV,2017,W,WOOD,245,,201,Programming for Wood Products Manufacturing Applications,Gregory Smith,66,70.409090909,11.196121955999999,100.0,39.0,,,,7,9,9,10,11,,6,
UBCV,2017,W,WOOD,245,,OVERALL,Programming for Wood Products Manufacturing Applications,,66,70.409090909,11.196121955999999,100.0,39.0,,,,7,9,9,10,11,,6,
UBCV,2017,W,WOOD,249,,201,Contemporary Topics in Forestry and Wood Products,Drake Mboowa;John Saddler,38,80.84210526300001,8.406967239,94.0,58.0,,,,,,,,,12,10,
UBCV,2017,W,WOOD,249,,OVERALL,Contemporary Topics in Forestry and Wood Products,,38,80.84210526300001,8.406967239,94.0,58.0,,,,,,,,,12,10,
UBCV,2017,W,WOOD,276,,101,Mechanics of Wood Products,Frank Lam;Wancheng Gao,49,73.448979592,7.558276987999999,85.0,54.0,,,,,6,6,6,15,8,,
UBCV,2017,W,WOOD,276,,OVERALL,Mechanics of Wood Products,,49,73.448979592,7.558276987999999,85.0,54.0,,,,,6,6,6,15,8,,
UBCV,2017,W,WOOD,280,,101,Wood Anatomy and Identification,Simon Ellis;Timo Van Der Zwan,33,68.96969697,13.938446938,95.0,31.0,5,,,,6,,5,,5,,
UBCV,2017,W,WOOD,280,,OVERALL,Wood Anatomy and Identification,,33,68.96969697,13.938446938,95.0,31.0,5,,,,6,,5,,5,,
UBCV,2017,W,WOOD,282,,201,Wood Physics and Mechanics,Simon Ellis;Stavros Avramidis,35,70.571428571,9.66280228,89.0,52.0,,,,,5,7,6,,,,
UBCV,2017,W,WOOD,282,,OVERALL,Wood Physics and Mechanics,,35,70.571428571,9.66280228,89.0,52.0,,,,,5,7,6,,,,
UBCV,2017,W,WOOD,290,,201,Secondary Wood Products Manufacturing,Robert Fuerst,36,67.222222222,12.09984914,90.0,42.0,,,,,7,,,9,,,
UBCV,2017,W,WOOD,290,,OVERALL,Secondary Wood Products Manufacturing,,36,67.222222222,12.09984914,90.0,42.0,,,,,7,,,9,,,
UBCV,2017,W,WOOD,292,,201,Two-Dimensional and Solid Computer-Aided Graphics,Vincent Leung;Yi Gao,31,80.032258065,16.418452771,98.0,28.0,,,,,,,,,5,10,7
UBCV,2017,W,WOOD,292,,OVERALL,Two-Dimensional and Solid Computer-Aided Graphics,,31,80.032258065,16.418452771,98.0,28.0,,,,,,,,,5,10,7
UBCV,2017,W,WOOD,330,,101,Industrial Engineering,Dengcheng Feng;Krishna Malladi;Krishna Teja Malladi;Shaghaygh Akhtari;Taraneh Sowlati;Yi Gao,61,78.196721311,12.111729401,92.0,0.0,,,,,,5,7,13,16,13,
UBCV,2017,W,WOOD,330,,OVERALL,Industrial Engineering,,61,78.196721311,12.111729401,92.0,0.0,,,,,,5,7,13,16,13,
UBCV,2017,W,WOOD,335,,101,Quality Improvement,Julie Cool;Vahid Nasir,56,81.678571429,4.264471161,90.0,70.0,,,,,,,,11,30,9,
UBCV,2017,W,WOOD,335,,OVERALL,Quality Improvement,,56,81.678571429,4.264471161,90.0,70.0,,,,,,,,11,30,9,
UBCV,2017,W,WOOD,356,,101,Machine Components,Doh Wook Kim;Vincent Leung,27,81.185185185,7.211300091,94.0,65.0,,,,,,,,,9,6,
