Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,S,KIN,151,,921,Biomechanics I,Navid Khosravi Hashemi,25,75.92,16.461875146,98.0,32.0,,,,,,,,,,5,5
UBCV,2018,S,KIN,151,,OVERALL,Biomechanics I,,25,75.92,16.461875146,98.0,32.0,,,,,,,,,,5,5
UBCV,2018,S,KIN,161,,921,Leisure and Sport in Society,Janna Taylor,22,78.045454545,8.720404494,88.0,47.0,,,,,,,8,,5,6,
UBCV,2018,S,KIN,161,,OVERALL,Leisure and Sport in Society,,22,78.045454545,8.720404494,88.0,47.0,,,,,,,8,,5,6,
UBCV,2018,S,KIN,190,,921,Anatomy & Physiology I,Elizabeth Buckler;Elizabeth Jean Buckler,39,72.358974359,12.493129016,90.0,42.0,,,6,,,,,6,9,,
UBCV,2018,S,KIN,190,,OVERALL,Anatomy & Physiology I,,39,72.358974359,12.493129016,90.0,42.0,,,6,,,,,6,9,,
UBCV,2018,S,KIN,191,,921,Anatomy & Physiology II,Pei Wang,34,75.705882353,15.510562211,99.0,37.0,,,,,,7,,,,5,8
UBCV,2018,S,KIN,191,,OVERALL,Anatomy & Physiology II,,34,75.705882353,15.510562211,99.0,37.0,,,,,,7,,,,5,8
UBCV,2018,S,KIN,275,,921,Exercise Physiology I,Joseph Welch,16,78.1875,17.182234042,95.0,40.0,,,,,,,,,,,6
UBCV,2018,S,KIN,275,,OVERALL,Exercise Physiology I,,16,78.1875,17.182234042,95.0,40.0,,,,,,,,,,,6
UBCV,2018,S,KIN,375,,921,Exercise Physiology II,Robert Langill,48,75.020833333,13.442532663,98.0,45.0,,,5,,,6,6,,9,,10
UBCV,2018,S,KIN,375,,OVERALL,Exercise Physiology II,,48,75.020833333,13.442532663,98.0,45.0,,,5,,,6,6,,9,,10
UBCV,2018,S,KIN,515,,OVERALL,Gap Analysis,,11,79.090909091,10.454229244,93.0,58.0,,,,,,,,,,,
UBCV,2018,S,KIN,515,,WB4,Gap Analysis,Anthony Van Neutegem,11,79.090909091,10.454229244,93.0,58.0,,,,,,,,,,,
UBCV,2018,S,KIN,517,,OVERALL,Business of High Performance Sport in Canada,,12,83.166666667,7.309188903,91.0,71.0,,,,,,,,,,6,
UBCV,2018,S,KIN,517,,WB2,Business of High Performance Sport in Canada,Benoit Seguin;Lucie Thibault;Wendy Pattenden,12,83.166666667,7.309188903,91.0,71.0,,,,,,,,,,6,
UBCV,2018,S,KIN,530,A,941,Directed Studies,,6,84.833333333,8.495096625,95.0,72.0,,,,,,,,,,,
UBCV,2018,S,KIN,530,A,OVERALL,Directed Studies,,6,84.833333333,8.495096625,95.0,72.0,,,,,,,,,,,
UBCV,2018,S,KIN,596,,OVERALL,High Performance Sport Inquiry,,6,83.166666667,5.1542862419999995,91.0,77.0,,,,,,,,,,,
UBCV,2018,S,KIN,596,,WB1,High Performance Sport Inquiry,,6,83.166666667,5.1542862419999995,91.0,77.0,,,,,,,,,,,
UBCV,2018,S,KIN,598,,OVERALL,Directed Field Studies in Sport and Physical Activity Agencies,,14,84.0,8.584422385,95.0,65.0,,,,,,,,,,5,
UBCV,2018,S,KIN,598,,WB3,Directed Field Studies in Sport and Physical Activity Agencies,David Hill,12,84.333333333,8.249885215,95.0,65.0,,,,,,,,,,5,
