Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,S,LAW,372,,001,Administrative Law,Shannon Salter,51,74.019607843,2.831891213,80.0,68.0,,,,,,6,33,8,,,
UBCV,2018,S,LAW,372,,OVERALL,Administrative Law,,51,74.019607843,2.831891213,80.0,68.0,,,,,,6,33,8,,,
UBCV,2018,S,LAW,380,C,001,Externship Reflection,Kim Hawkins;Rajwant Mangat;Vandana Sood,5,77.4,3.507135583,81.0,72.0,,,,,,,,,,,
UBCV,2018,S,LAW,380,C,OVERALL,Externship Reflection,,5,77.4,3.507135583,81.0,72.0,,,,,,,,,,,
UBCV,2018,S,LAW,459,,001,Business Organizations,Christine Baron,36,72.555555556,5.8526889760000005,82.0,62.0,,,,,5,5,13,,7,,
UBCV,2018,S,LAW,459,,OVERALL,Business Organizations,,36,72.555555556,5.8526889760000005,82.0,62.0,,,,,5,5,13,,7,,
UBCV,2018,S,LAW,476,,001,Evidence,Nikos Harris,36,71.694444444,11.587726128,87.0,33.0,,,,,,,,10,5,,
UBCV,2018,S,LAW,476,,OVERALL,Evidence,,36,71.694444444,11.587726128,87.0,33.0,,,,,,,,10,5,,
UBCV,2018,S,LAW,505,,001,Canadian Public Law,Oliver Pulleyblank;Robert Russo,18,80.5,3.633989867,85.0,73.0,,,,,,,,6,10,,
UBCV,2018,S,LAW,505,,OVERALL,Canadian Public Law,,18,80.5,3.633989867,85.0,73.0,,,,,,,,6,10,,
UBCV,2018,S,LAW,508,D,98A,Business Organizations,Michael Litchfield,6,72.166666667,11.250185184000001,90.0,60.0,,,,,,,,,,,
UBCV,2018,S,LAW,508,D,OVERALL,Business Organizations,,7,73.571428571,10.921799956,90.0,60.0,,,,,,,,,,,
UBCV,2018,S,LAW,509,,001,Administrative Law,Shannon Salter,8,73.125,15.587884489,83.0,35.0,,,,,,,,,,,
UBCV,2018,S,LAW,509,,OVERALL,Administrative Law,,8,73.125,15.587884489,83.0,35.0,,,,,,,,,,,
UBCV,2018,S,LAW,515,,001,Canadian Private Law: Contractual Obligations and Remedies,Bruce Macdougall;Bruce Wayne Macdougall;Ljiljana Biukovic,8,73.0,9.16515139,87.0,60.0,,,,,,,,,,,
UBCV,2018,S,LAW,515,,OVERALL,Canadian Private Law: Contractual Obligations and Remedies,,8,73.0,9.16515139,87.0,60.0,,,,,,,,,,,
UBCV,2018,S,LAW,525,,98A,Canadian Criminal Law and Procedure,Samantha Davey,13,72.846153846,9.299159047,86.0,53.0,,,,,,,5,,,,
UBCV,2018,S,LAW,525,,OVERALL,Canadian Criminal Law and Procedure,,13,72.846153846,9.299159047,86.0,53.0,,,,,,,5,,,,
