Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,S,PHIL,101,,001,Introduction to Philosophy,Bruno Guindon;Matthew Cleveland Smithdeal;Matthew Smithdeal;Serban Dragulin,33,72.51515152,13.93763164,93.0,30.0,1,3.0,2.0,2,1.0,5.0,3,2,9,4,1
UBCV,2018,S,PHIL,101,,OVERALL,Introduction to Philosophy,,33,72.51515152,13.93763164,93.0,30.0,1,3.0,2.0,2,1.0,5.0,3,2,9,4,1
UBCV,2018,S,PHIL,102,,001,Introduction to Philosophy II,Aleksey Balotskiy;Garson Leder,36,77.08333333,8.405355436,90.0,56.0,0,0.0,1.0,3,0.0,4.0,6,4,7,9,2
UBCV,2018,S,PHIL,102,,OVERALL,Introduction to Philosophy II,,36,77.08333333,8.405355436,90.0,56.0,0,0.0,1.0,3,0.0,4.0,6,4,7,9,2
UBCV,2018,S,PHIL,120,,001,Introduction to Critical Thinking,Alexandre Korolev;Jade Hadley,66,80.3030303,11.03277592,95.0,44.0,1,0.0,3.0,4,2.0,2.0,3,9,13,15,14
UBCV,2018,S,PHIL,120,,98A,Introduction to Critical Thinking,Alexandre Korolev;Jade Hadley,48,72.52083333,19.89011257,93.0,0.0,5,1.0,1.0,1,2.0,4.0,9,6,6,6,7
UBCV,2018,S,PHIL,120,,OVERALL,Introduction to Critical Thinking,,114,77.02631579,15.79428626,95.0,0.0,6,1.0,4.0,5,4.0,6.0,12,15,19,21,21
UBCV,2018,S,PHIL,220,,001,Symbolic Logic,Matthew Smithdeal;Servaas Van Der Berg,52,76.51923077,15.3973392,100.0,33.0,4,1.0,0.0,1,5.0,7.0,5,3,9,8,9
UBCV,2018,S,PHIL,220,,002,Symbolic Logic,Emma Esmaili;Leslie Burkholder;Richard Andrew Sandlin;Richard Sandlin,85,81.35294118,18.49562746,99.0,14.0,5,1.0,2.0,2,5.0,0.0,4,6,10,15,35
UBCV,2018,S,PHIL,220,,98A,Symbolic Logic,Emma Esmaili;Leslie Burkholder;Richard Andrew Sandlin;Richard Sandlin,166,85.82530121,14.98078238,99.0,1.0,5,4.0,1.0,1,4.0,4.0,3,6,11,32,95
UBCV,2018,S,PHIL,220,,OVERALL,Symbolic Logic,,303,82.97359736,16.43729695,100.0,1.0,14,6.0,3.0,4,14.0,11.0,12,15,30,55,139
UBCV,2018,S,PHIL,230,,901,Introduction to Ethics,Doran Smolkin;Jordan Wadden,48,64.625,19.48226144,90.0,0.0,5,0.0,2.0,7,7.0,10.0,7,5,1,3,1
UBCV,2018,S,PHIL,230,,OVERALL,Introduction to Ethics,,48,64.625,19.48226144,90.0,0.0,5,0.0,2.0,7,7.0,10.0,7,5,1,3,1
UBCV,2018,S,PHIL,240,,001,Introduction to Epistemology,Anders Kraal;Matthew Kinakin;Richard Andrew Sandlin;Richard Sandlin,60,69.21666667,19.38293122,98.0,8.0,5,7.0,2.0,2,7.0,5.0,5,7,8,6,6
UBCV,2018,S,PHIL,240,,OVERALL,Introduction to Epistemology,,60,69.21666667,19.38293122,98.0,8.0,5,7.0,2.0,2,7.0,5.0,5,7,8,6,6
UBCV,2018,S,PHIL,250,,001,Minds and Machines,Kousaku Yui,24,75.70833333,8.238188734,89.0,54.0,0,1.0,0.0,1,1.0,4.0,3,4,7,3,0
UBCV,2018,S,PHIL,250,,OVERALL,Minds and Machines,,24,75.70833333,8.238188734,89.0,54.0,0,1.0,0.0,1,1.0,4.0,3,4,7,3,0
UBCV,2018,S,PHIL,331,,98A,Business and Professional Ethics,Rana Ahmad;Richard Andrew Sandlin;Richard Sandlin,55,69.6,19.50840275,91.0,0.0,5,0.0,1.0,3,2.0,9.0,8,12,11,3,1
