Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,ANTH,100,A,002,Introduction to Cultural Anthropology,Ana Ines Vivaldi Pasqua;Ana Vivaldi Pasqua;Emma Feltes;Emma Rose Feltes;Steffan Gordon;Steffan Taylor Gordon,85,75.517647059,7.386622021,90.0,43.0,,,,2,2,12,20,24,16,4,
UBCV,2018,W,ANTH,100,A,003,Introduction to Cultural Anthropology,Emily Amburgey;Evan Koike;Evan Teruo Koike;Nancy Kimberley Phillips;Nancy Phillips;Rosaleen Mcafee;Rosaleen Patricia Mcafee;Wade Davis;Yujie Ji,302,80.155629139,10.784769227,98.0,35.0,4.0,7,6,5,9,19,39,32,58,67,56
UBCV,2018,W,ANTH,100,A,004,Introduction to Cultural Anthropology,Amanda Sorensen;Charles Menzies;David Ryniker;Kendra Jewell;Kendra Leigh Jewell,103,69.155339806,15.334030642,90.0,0.0,5,,,14,9,14,14,13,18,6,
UBCV,2018,W,ANTH,100,A,005,Introduction to Cultural Anthropology,Caris Windhausen;David Ryniker;Rafael Wainer,111,71.297297297,9.822603427,90.0,22.0,,,,8,13,28,18,12,14,9,
UBCV,2018,W,ANTH,100,A,OVERALL,Introduction to Cultural Anthropology,,601,75.97836938399999,12.021142402999999,98.0,0.0,12,15,14,29,33,73,91,81,106,86,61
UBCV,2018,W,ANTH,203,,001,Anthropology of Drugs,Michelle Hepburn;Shaylih Muehlmann,122,73.959016393,12.016103204,96.0,8.0,5,,6,,8,23,10,23,28,10,5
UBCV,2018,W,ANTH,203,,OVERALL,Anthropology of Drugs,,122,73.959016393,12.016103204,96.0,8.0,5,,6,,8,23,10,23,28,10,5
UBCV,2018,W,ANTH,205,,001,The Anthropology of Insurrections and Revolution,Gaston Gordillo;Hilal Esranur Kina;Hilal Kina,65,76.107692308,12.599755797,94.0,5.0,,,,,,,13,11,24,7,
UBCV,2018,W,ANTH,205,,OVERALL,The Anthropology of Insurrections and Revolution,,65,76.107692308,12.599755797,94.0,5.0,,,,,,,13,11,24,7,
UBCV,2018,W,ANTH,206,,001,"Witches, Vampires, and Zombies: Anthropology of the Supernatural",Francesca Pegorer;Sabina Magliocco,118,79.008474576,8.499870047,95.0,49.0,,,,,6,12,21,19,24,17,15
UBCV,2018,W,ANTH,206,,OVERALL,"Witches, Vampires, and Zombies: Anthropology of the Supernatural",,118,79.008474576,8.499870047,95.0,49.0,,,,,6,12,21,19,24,17,15
UBCV,2018,W,ANTH,210,,001,Eating Culture,Amanda Sorensen;Jad Brake;Sarah Fessenden,132,69.787878788,12.782998193,92.0,1.0,2.0,6,12,15,17,15,23,16,14,7,5
UBCV,2018,W,ANTH,210,,002,Eating Culture,Caitlin Gordon-Walker;Emily Leischner,67,73.28358209,12.651273705,89.0,8.0,2.0,1,3,4,3,2,16,17,12,7,0
UBCV,2018,W,ANTH,210,,OVERALL,Eating Culture,,199,70.964824121,12.814282154,92.0,1.0,4.0,7,15,19,20,17,39,33,26,14,5
UBCV,2018,W,ANTH,213,,001,"Sex, Gender, and Culture",Carole Blackburn;Hilal Esranur Kina;Hilal Kina,101,76.821782178,12.316976934000001,96.0,24.0,,,,6,5,8,13,7,29,19,8
UBCV,2018,W,ANTH,213,,OVERALL,"Sex, Gender, and Culture",,101,76.821782178,12.316976934000001,96.0,24.0,,,,6,5,8,13,7,29,19,8
UBCV,2018,W,ANTH,215,,002,Japanese Popular Culture,Basant Ahmed Sayed;Millie Creighton,42,71.523809524,12.351040433,94.0,23.0,,,,,8,6,10,7,,,
UBCV,2018,W,ANTH,215,,OVERALL,Japanese Popular Culture,,42,71.523809524,12.351040433,94.0,23.0,,,,,8,6,10,7,,,
