Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,ARCH,403,,001,Themes in Architecture and Design,Leslie Van Duzer,31,88.258064516,6.791994022000001,100.0,76.0,,,,,,,,,6,9,13
UBCV,2018,W,ARCH,403,,OVERALL,Themes in Architecture and Design,,31,88.258064516,6.791994022000001,100.0,76.0,,,,,,,,,6,9,13
UBCV,2018,W,ARCH,404,C,001,Topics in Architectural History I (Pre-1900),Brit Naylor;Joseph Watson;Olivia Bull,8,84.75,5.946187254,90.0,73.0,,,,,,,,,,,
UBCV,2018,W,ARCH,404,C,OVERALL,Topics in Architectural History I (Pre-1900),,8,84.75,5.946187254,90.0,73.0,,,,,,,,,,,
UBCV,2018,W,ARCH,404,D,001,Topics in Architectural History I (Pre-1900),Jeremy Joseph Schipper;Jeremy Schipper;Sara Stevens,5,81.2,5.89067059,87.0,74.0,,,,,,,,,,,
UBCV,2018,W,ARCH,404,D,OVERALL,Topics in Architectural History I (Pre-1900),,5,81.2,5.89067059,87.0,74.0,,,,,,,,,,,
UBCV,2018,W,ARCH,405,C,001,Topics in Architectural History II (1900-Present),Brit Naylor;Sherry Mckay,14,78.714285714,5.105480787,87.0,67.0,,,,,,,,6,,,
UBCV,2018,W,ARCH,405,C,OVERALL,Topics in Architectural History II (1900-Present),,14,78.714285714,5.105480787,87.0,67.0,,,,,,,,6,,,
UBCV,2018,W,ARCH,405,D,001,Topics in Architectural History II (1900-Present),Joseph Watson;Olivia Bull,6,84.0,5.692099787999999,91.0,76.0,,,,,,,,,,,
UBCV,2018,W,ARCH,405,D,OVERALL,Topics in Architectural History II (1900-Present),,6,84.0,5.692099787999999,91.0,76.0,,,,,,,,,,,
UBCV,2018,W,ARCH,411,,001,Materials and Methods of Construction,Bill Pechet;Gentai Ishimura,29,85.89655172399999,3.885364734,93.0,76.0,,,,,,,,,5,15,7
UBCV,2018,W,ARCH,411,,OVERALL,Materials and Methods of Construction,,29,85.89655172399999,3.885364734,93.0,76.0,,,,,,,,,5,15,7
UBCV,2018,W,ARCH,437,,001,Geometric Modelling,Derek Mavis;Guy Mclintock;Jason Heinrich;Lisa Kusaka;Nikko Aliasut;Thena Tak;Thomas Schroeder;Vincent Perron,30,81.5,2.622843942,86.0,74.0,,,,,,,,,22,,
UBCV,2018,W,ARCH,437,,OVERALL,Geometric Modelling,,30,81.5,2.622843942,86.0,74.0,,,,,,,,,22,,
UBCV,2018,W,ARCH,500,,001,Architectural Design Studio I,George Stuart Wagner;Inge Roecker;James Huemoeller;Joanne Gates;Matthew Soules;Thena Tak,31,82.032258065,5.6655912960000006,88.0,60.0,,,,,,,,,15,10,
UBCV,2018,W,ARCH,500,,OVERALL,Architectural Design Studio I,,31,82.032258065,5.6655912960000006,88.0,60.0,,,,,,,,,15,10,
UBCV,2018,W,ARCH,501,,010,Architectural Design Studio II,Bill Pechet;Blair Satterfield,9,82.777777778,3.3082388739999997,87.0,76.0,,,,,,,,,5,,
UBCV,2018,W,ARCH,501,,011,Architectural Design Studio II,Inge Roecker,7,83.714285714,2.9277002189999997,90.0,82.0,,,,,,,,,6,,
UBCV,2018,W,ARCH,501,,013,Architectural Design Studio II,Thena Tak,6,81.333333333,3.723797345,87.0,77.0,,,,,,,,,7,,
UBCV,2018,W,ARCH,501,,OVERALL,Architectural Design Studio II,,43,83.046511628,3.8665444669999998,90.0,75.0,,,,,,,,8,18,14,
UBCV,2018,W,ARCH,504,C,001,Topics in Architectural History I (Pre-1900),Emily Scoular;Joseph Watson,28,81.785714286,5.452536908,92.0,70.0,,,,,,,,6,9,9,
UBCV,2018,W,ARCH,504,C,OVERALL,Topics in Architectural History I (Pre-1900),,28,81.785714286,5.452536908,92.0,70.0,,,,,,,,6,9,9,
UBCV,2018,W,ARCH,504,D,001,Topics in Architectural History I (Pre-1900),Jeremy Joseph Schipper;Jeremy Schipper;Sara Stevens,24,81.416666667,5.762824387999999,91.0,69.0,,,,,,,,,10,,
