Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,BAMA,503,,001,New Product Development,Timothy Silk,36,82.388888889,3.082464485,90.0,76.0,,,,,,,,5,22,8,
UBCV,2018,W,BAMA,503,,302,New Product Development,Timothy Silk,28,80.892857143,2.739820023,86.0,76.0,,,,,,,,7,17,4,
UBCV,2018,W,BAMA,503,,OVERALL,New Product Development,,64,81.734375,3.009203805,90.0,76.0,,,,,,,,12,39,12,
UBCV,2018,W,BAMA,504,,001,Integrated Marketing Communication,Ann Stone,16,82.3125,2.9375443260000003,87.0,77.0,,,,,,,,,11,3,
UBCV,2018,W,BAMA,504,,002,Integrated Marketing Communication,Ann Stone,34,81.735294118,5.7593603579999995,89.0,55.0,,,,,,,,,22,8,
UBCV,2018,W,BAMA,504,,OVERALL,Integrated Marketing Communication,,50,81.92,5.0054664,89.0,55.0,,,,,,,,,33,11,
UBCV,2018,W,BAMA,505,,001,Business Development,Ann Stone;David Miller,34,81.558823529,5.016283645,93.0,71.0,,,,,,,1,9,13,8,
UBCV,2018,W,BAMA,505,,DD1,Business Development,Elaine Williamson,49,79.673469388,5.7059462960000005,90.0,64.0,,,,,,,6,9,21,7,
UBCV,2018,W,BAMA,505,,MM1,Business Development,Elaine Williamson,49,80.081632653,5.6819771160000005,93.0,70.0,,,,,,,10,13,13,6,6
UBCV,2018,W,BAMA,505,,OVERALL,Business Development,,132,80.310606061,5.538391444,93.0,64.0,,,,,,5,17,31,47,21,9
UBCV,2018,W,BAMA,506,,001,Consumer Behaviour,Rishad Habib;Yann Cornil,39,83.41025641,5.23006465,92.0,68.0,,,,,,,0,,18,11,5
UBCV,2018,W,BAMA,506,,817,Consumer Behaviour,Rishad Habib;Yann Cornil,27,81.70370370399999,6.568074386,92.0,72.0,,,,,,,8,,5,6,6
UBCV,2018,W,BAMA,506,,OVERALL,Consumer Behaviour,,66,82.712121212,5.827692911000001,92.0,68.0,,,,,,,8,5,23,17,11
UBCV,2018,W,BAMA,508,,001,Marketing Research,Miremad Soleymanian;Yi Qian,13,86.23076923100001,5.198619146,95.0,80.0,,,,,,,,,6,2,5
UBCV,2018,W,BAMA,508,,002,Marketing Research,Miremad Soleymanian;Yi Qian,41,84.268292683,5.76204994,92.0,60.0,,,,,,,,,13,17,8
UBCV,2018,W,BAMA,508,,301,Marketing Research,Aarushi Kaath;Yi Qian,26,86.03846153799999,3.594226139,93.0,80.0,,,,,,,,,7,12,7
UBCV,2018,W,BAMA,508,,302,Marketing Research,Wei Yi Shen;Yi Qian,24,86.166666667,4.6780399710000005,92.0,76.0,,,,,,,,,3,9,9
UBCV,2018,W,BAMA,508,,MM1,Marketing Research,Cluny Serenella South;Cluny South;Dale Griffin;Hyo Eun Ahn,49,79.979591837,5.949404017000001,88.0,58.0,,,,,,,7,11,15,13,0
UBCV,2018,W,BAMA,508,,OVERALL,Marketing Research,,153,83.660130719,5.871612572,95.0,58.0,,,,,,,8,15,44,53,29
UBCV,2018,W,BAMA,509,,BA1,Marketing Analytics,Dale Griffin;Elaine Williamson;Gokhan Basaran;Kirstin Appelt;Monique Sherrett,50,82.04,4.304530123999999,91.0,75.0,,,,,,,,9,20,16,
UBCV,2018,W,BAMA,509,,OVERALL,Marketing Analytics,,50,82.04,4.304530123999999,91.0,75.0,,,,,,,,9,20,16,
UBCV,2018,W,BAMA,511,,BA1,Pricing Analytics,So Eun Park;Zining Wang,50,80.42,6.13817097,94.0,69.0,,,,,,,11,11,11,10,
UBCV,2018,W,BAMA,511,,OVERALL,Pricing Analytics,,50,80.42,6.13817097,94.0,69.0,,,,,,,11,11,11,10,
UBCV,2018,W,BAMA,514,,001,Brand Management,Timothy Silk,34,84.029411765,5.691489096000001,93.0,70.0,,,,,,,,2,10,12,6
UBCV,2018,W,BAMA,514,,002,Brand Management,Timothy Silk,41,83.146341463,6.791763304,96.0,59.0,,,,,,,,5,13,12,8
UBCV,2018,W,BAMA,514,,OVERALL,Brand Management,,75,83.546666667,6.290905777000001,96.0,59.0,,,,,,,,7,23,24,14
UBCV,2018,W,BAMA,516,,BA1,Customer Relationship Management,Fan Yang;Yanwen Wang,50,82.86,3.779698725,91.0,74.0,,,,,,,,7,24,15,
UBCV,2018,W,BAMA,516,,OVERALL,Customer Relationship Management,,50,82.86,3.779698725,91.0,74.0,,,,,,,,7,24,15,
UBCV,2018,W,BAMA,517,,BA1,Data Driven Marketing,Miremad Soleymanian;Robert Krider;Yi Qian,50,90.16,4.376933975,96.0,76.0,,,,,,,,,5,6,38
UBCV,2018,W,BAMA,517,,OVERALL,Data Driven Marketing,,50,90.16,4.376933975,96.0,76.0,,,,,,,,,5,6,38
UBCV,2018,W,BAMA,550,,001,Marketing,Anastassiya Yun;Jo Andrea Hoegg,46,82.130434783,3.94748131,87.0,65.0,,,,,,,,7,21,17,
UBCV,2018,W,BAMA,550,,002,Marketing,Anastassiya Yun;Jo Andrea Hoegg,45,80.666666667,4.724212296,88.0,65.0,,,,,,,,7,25,9,
UBCV,2018,W,BAMA,550,,300,Marketing,Timothy Silk,48,80.4375,5.014473732,88.0,68.0,,,,,,,7,6,23,9,
UBCV,2018,W,BAMA,550,,818,Marketing,Timothy Silk,45,81.755555556,4.613003141,90.0,68.0,,,,,,,,4,21,13,
UBCV,2018,W,BAMA,550,,MM1,Marketing,Ekin Ok;Kirstin Appelt,45,81.355555556,4.936669633999999,91.0,72.0,,,,,,,7,7,17,12,
UBCV,2018,W,BAMA,550,,OVERALL,Marketing,,229,81.26200873399999,4.6680509269999995,91.0,65.0,,,,,,,20,31,107,60,
UBCV,2018,W,BAMA,580,A,101,Topics in Marketing,Joanne Turner,19,83.15789473699999,4.844964831,90.0,67.0,,,,,,,,,9,6,
UBCV,2018,W,BAMA,580,A,OVERALL,Topics in Marketing,,19,83.15789473699999,4.844964831,90.0,67.0,,,,,,,,,9,6,
UBCV,2018,W,BAMA,580,D,001,Topics in Marketing,Murali Chandrashekaran,37,82.162162162,2.6406387430000002,86.0,78.0,,,,,,,,6,25,6,
UBCV,2018,W,BAMA,580,D,OVERALL,Topics in Marketing,,37,82.162162162,2.6406387430000002,86.0,78.0,,,,,,,,6,25,6,
