Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,BAMS,503,,BA1,Simulation Modelling I: Data Processing and Monte Carlo Simulation,Steven Shechter;Vivian Nnoka,50,80.02,4.519752567,89.0,68.0,0,0,0,0,0,2,6,14,21,7,0
UBCV,2018,W,BAMS,503,,OVERALL,Simulation Modelling I: Data Processing and Monte Carlo Simulation,,50,80.02,4.519752567,89.0,68.0,0,0,0,0,0,2,6,14,21,7,0
UBCV,2018,W,BAMS,504,,BA1,Simulation Modelling II: Queuing and Discrete Event Simulation,Steven Shechter;Vivian Nnoka,50,80.2,8.557130932,89.0,53.0,0,,,,,1,,10,19,16,0
UBCV,2018,W,BAMS,504,,OVERALL,Simulation Modelling II: Queuing and Discrete Event Simulation,,50,80.2,8.557130932,89.0,53.0,0,,,,,1,,10,19,16,0
UBCV,2018,W,BAMS,506,,BA1,Optimal Decision Making I,Forough Pourhossein;Hossein Piri;Maurice Queyranne;Steven Shechter,50,83.9,6.581514,97.0,60.0,0,0,0,1,0.0,2,1,5,13,22,6
UBCV,2018,W,BAMS,506,,OVERALL,Optimal Decision Making I,,50,83.9,6.581514,97.0,60.0,0,0,0,1,0.0,2,1,5,13,22,6
UBCV,2018,W,BAMS,508,,BA1,Optimal Decision Making II,Forough Pourhossein;Hossein Piri;Steven Shechter,50,81.02,7.825885879,96.0,67.0,0,0,0,0,1,6,8,5,14,9,7
UBCV,2018,W,BAMS,508,,OVERALL,Optimal Decision Making II,,50,81.02,7.825885879,96.0,67.0,0,0,0,0,1,6,8,5,14,9,7
UBCV,2018,W,BAMS,517,,BA1,Decision Analysis Under Uncertainty,Steven Shechter;Vivian Nneoma Nnoka;Vivian Nnoka,50,80.34,8.314261168,96.0,62.0,0,0,0,1,0.0,9,6,5,12,10,7
UBCV,2018,W,BAMS,517,,OVERALL,Decision Analysis Under Uncertainty,,50,80.34,8.314261168,96.0,62.0,0,0,0,1,0.0,9,6,5,12,10,7
UBCV,2018,W,BAMS,521,,BA1,Consulting Practices and Project Management,Harish Krishnan,50,83.5,2.426469679,90.0,79.0,0,0,0,0,0,0,0,1,33,15,1
UBCV,2018,W,BAMS,521,,OVERALL,Consulting Practices and Project Management,,50,83.5,2.426469679,90.0,79.0,0,0,0,0,0,0,0,1,33,15,1
UBCV,2018,W,BAMS,523,,001,Managerial Decisions Modelling and Analytics,Steven Shechter;Vivian Nneoma Nnoka;Vivian Nnoka,27,81.333333333,6.586699886,98.0,70.0,0,0,0,0,0,2,3,6,5,10,1
UBCV,2018,W,BAMS,523,,002,Managerial Decisions Modelling and Analytics,Steven Shechter;Vivian Nneoma Nnoka;Vivian Nnoka,26,83.307692308,6.874702791,92.0,68.0,0,0,0,0,0,2,3,3,3,11,4
UBCV,2018,W,BAMS,523,,OVERALL,Managerial Decisions Modelling and Analytics,,53,82.301886792,6.738479929,98.0,68.0,0,0,0,0,0,4,6,9,8,21,5
