Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,CLST,105,,001,Greek and Roman Mythology,Amber Leenders;Caterina Minniti;Graham Butler;Robert Cousland,137,77.255474453,12.78845366,98.0,33.0,5,3,4.0,4,9,7,25.0,17,21,19,23
UBCV,2018,W,CLST,105,,002,Greek and Roman Mythology,Graham Butler;Jayden Lloyd;Matthew Hoskin;Ryan Johnson,123,69.0,16.672840387,90.0,8.0,14,4,9.0,6,12,15,16.0,11,19,13,4
UBCV,2018,W,CLST,105,,003,Greek and Roman Mythology,Benjamin Winnick;Madeline Ramsden;Michael Griffin;Ryan Johnson,135,82.237037037,8.590351588,94.0,52.0,0,2,3.0,2,1,6,10.0,9,39,38,25
UBCV,2018,W,CLST,105,,OVERALL,Greek and Roman Mythology,,395,76.387341772,14.023162195,98.0,8.0,19,9,16.0,12,22,28,51.0,37,79,70,52
UBCV,2018,W,CLST,204,,001,"Gods, Graves, and Goods: The Archaeology of Ancient Greece and Rome",Amber Leenders;Crestani Paolo;Matthew Mccarty;Paolo Arthur Libero Crestani;Paolo Crestani,42,79.5,10.456063709,97.0,50.0,0,1,0.0,3,2,3,3.0,7,8,9,6
UBCV,2018,W,CLST,204,,OVERALL,"Gods, Graves, and Goods: The Archaeology of Ancient Greece and Rome",,42,79.5,10.456063709,97.0,50.0,0,1,0.0,3,2,3,3.0,7,8,9,6
UBCV,2018,W,CLST,211,,001,Greek Philosophy I,Jayden Lloyd;Jem Tari;Michael Griffin,60,82.116666667,9.855036855,95.0,38.0,1,1,1.0,0,1,0,3.0,8,15,20,10
UBCV,2018,W,CLST,211,,OVERALL,Greek Philosophy I,,60,82.116666667,9.855036855,95.0,38.0,1,1,1.0,0,1,0,3.0,8,15,20,10
UBCV,2018,W,CLST,231,,001,Ancient Greece,Carl Johnson,48,77.125,9.506157019,88.0,39.0,2,0,0.0,0,3,4,7.0,8,13,11,0
UBCV,2018,W,CLST,231,,OVERALL,Ancient Greece,,48,77.125,9.506157019,88.0,39.0,2,0,0.0,0,3,4,7.0,8,13,11,0
UBCV,2018,W,CLST,232,,001,Ancient Rome,Katharine Huemoeller;Nicole Inglot,75,77.893333333,11.23769397,97.0,42.0,1,3,0.0,4,4,7,10.0,10,12,14,10
UBCV,2018,W,CLST,232,,OVERALL,Ancient Rome,,75,77.893333333,11.23769397,97.0,42.0,1,3,0.0,4,4,7,10.0,10,12,14,10
UBCV,2018,W,CLST,260,,002,"Gladiators, Games, and Spectacle in the Greek and Roman World",Charmaine Gorrie;Justin Dwyer,68,75.132352941,14.476851736,92.0,0.0,2,4,1.0,4,3,6,10.0,10,10,9,9
UBCV,2018,W,CLST,260,,OVERALL,"Gladiators, Games, and Spectacle in the Greek and Roman World",,68,75.132352941,14.476851736,92.0,0.0,2,4,1.0,4,3,6,10.0,10,10,9,9
