Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,CRWR,200,,001,Introduction to Creative Writing,Corey Liu;Kate Black;Napatsi Folger;Paul Whittle;Taylor Brown-Evans;Yilin Wang,243,76.64609054,10.02879404,93.0,30.0,4,7.0,7.0,3.0,12,20.0,32,42.0,69,42.0,5
UBCV,2018,W,CRWR,200,,002,Introduction to Creative Writing,Amy Higgins;Dechen Khangkar;Emma Cleary;Napatsi Folger;Rose Paine;Tariq Hussain,246,76.36585366,10.08597191,87.0,0.0,5,1.0,6.0,6.0,10,19.0,30,61.0,86,22.0,0
UBCV,2018,W,CRWR,200,,003,Introduction to Creative Writing,Amy Higgins;Emily Pate;Kiri Sawyer;Lauren Maguire;Tania De Rozario;Tariq Hussain,247,77.38866397,7.356952428,93.0,13.0,1,0.0,3.0,2.0,10,23.0,44,61.0,78,22.0,3
UBCV,2018,W,CRWR,200,,005,Introduction to Creative Writing,Ahmad Ramadan;Dechen Khangkar;Kevin Sun;Nathan Smith;Rose Paine;Tariq Hussain,109,76.94495413,10.14965322,94.0,25.0,3,2.0,0.0,2.0,6,12.0,13,25.0,26,15.0,5
UBCV,2018,W,CRWR,200,,006,Introduction to Creative Writing,Claire Arnett;Jazmin Papadopoulos;Jocelyne Gregory;Marla Morden;Nicole Baute;Taylor Brown-Evans,273,76.33333333,12.43551997,93.0,0.0,7,3.0,5.0,11.0,12,16.0,28,75.0,58,49.0,9
UBCV,2018,W,CRWR,200,,008,Introduction to Creative Writing,Corey Liu;Kiri Sawyer;Taylor Brown-Evans;Yilin Wang,190,75.04210526,13.00501799,91.0,0.0,6,3.0,6.0,2.0,13,18.0,28,34.0,49,25.0,6
UBCV,2018,W,CRWR,200,,OVERALL,Introduction to Creative Writing,,1308,76.46024465,10.65444337,94.0,0.0,26,16.0,27.0,26.0,63,108.0,175,298.0,366,175.0,28
UBCV,2018,W,CRWR,201,,001,Introduction to Writing Poetry,Ian Williams;Molly Cross-Blanchard;Olga Holin;Shazia Hafiz Ramji;Shazia Ramji,166,83.93373494,7.136874405,95.0,56.0,0,0.0,2.0,2.0,5,2.0,7,13.0,38,66.0,31
UBCV,2018,W,CRWR,201,,002,Introduction to Writing Poetry,Clea Linnea Roberts;Clea Roberts;Elizabeth Bachinsky-Smith;Erin Kirsh;Keith Maillard;Sheryda Warrener;Tania De Rozario,164,72.72560976,17.94720486,95.0,0.0,13,7.0,4.0,8.0,12,11.0,24,18.0,28,22.0,17
UBCV,2018,W,CRWR,201,,OVERALL,Introduction to Writing Poetry,,330,78.36363636,14.7182623,95.0,0.0,13,7.0,6.0,10.0,17,13.0,31,31.0,66,88.0,48
UBCV,2018,W,CRWR,203,,001,Introduction to Writing for Children and Young Adults,Alison Acheson;Elizabeth Bachinsky-Smith;Kavelina Eirenea Torres;Kavelina Torres;Laura Harris;Lauren Maguire,171,78.56140351,8.099420917,95.0,52.0,0,1.0,6.0,3.0,9,9.0,21,20.0,64,30.0,8
UBCV,2018,W,CRWR,203,,002,Introduction to Writing for Children and Young Adults,Alison Acheson;Kavelina Eirenea Torres;Kavelina Torres;Meagan Black;Shyamala Parthasarathy,74,76.18918919,10.60844285,93.0,10.0,1,0.0,1.0,4.0,2,7.0,12,17.0,20,8.0,2
UBCV,2018,W,CRWR,203,,OVERALL,Introduction to Writing for Children and Young Adults,,245,77.84489796,8.97585699,95.0,10.0,1,1.0,7.0,7.0,11,16.0,33,37.0,84,38.0,10
UBCV,2018,W,CRWR,205,,001,Introduction to Writing Creative Nonfiction,Arjan Jan Johannes Dasselaar;Jessica Johns;Keith Maillard;Kevin Kim Wang Chong,111,73.99099099,16.73401299,97.0,0.0,7,0.0,3.0,5.0,9,9.0,17,15.0,20,18.0,8
UBCV,2018,W,CRWR,205,,002,Introduction to Writing Creative Nonfiction,Amy Higgins;Kevin Kim Wang Chong;Kiri Sawyer;Liesl Lafferty;Yilin Wang,92,74.56521739,13.50970701,93.0,9.0,4,1.0,1.0,4.0,7,11.0,13,13.0,22,13.0,3
UBCV,2018,W,CRWR,205,,OVERALL,Introduction to Writing Creative Nonfiction,,203,74.25123153,15.32295683,97.0,0.0,11,1.0,4.0,9.0,16,20.0,30,28.0,42,31.0,11
UBCV,2018,W,CRWR,206,,001,Introduction to Writing for the Screen,Andrey Summers;James Canepa;Kirsty Johnston;Martin Kinch;Samarra Goldglas;Sara Graefe,107,76.29906542,13.26807415,91.0,2.0,5,2.0,2.0,0.0,5,9.0,12,20.0,25,23.0,4
UBCV,2018,W,CRWR,206,,002,Introduction to Writing for the Screen,Arjan Jan Johannes Dasselaar;Nathan Smith;Paul Whittle;Sara Graefe,104,78.20192308,7.973718733,91.0,51.0,0,1.0,3.0,3.0,6,6.0,9,23.0,33,18.0,2
UBCV,2018,W,CRWR,206,,OVERALL,Introduction to Writing for the Screen,,211,77.23696683,10.99786812,91.0,2.0,5,3.0,5.0,3.0,11,15.0,21,43.0,58,41.0,6
UBCV,2018,W,CRWR,208,,001,Introduction to Writing for Graphic Forms,Elizabeth Leung;Linda Svendsen;Sarah Leavitt,68,75.54411765,13.71613477,91.0,13.0,4,1.0,1.0,1.0,2,5.0,8,15.0,18,10.0,3
UBCV,2018,W,CRWR,208,,002,Introduction to Writing for Graphic Forms,Raymond Clark;Raymond Dang Clark;Sarah Leavitt;Shyamala Parthasarathy;Taylor Brown-Evans,128,74.8359375,12.49426788,92.0,23.0,5,3.0,2.0,3.0,11,13.0,17,19.0,31,19.0,5
UBCV,2018,W,CRWR,208,,OVERALL,Introduction to Writing for Graphic Forms,,196,75.08163265,12.90054538,92.0,13.0,9,4.0,3.0,4.0,13,18.0,25,34.0,49,29.0,8
UBCV,2018,W,CRWR,209,,001,Introduction to Writing Fiction,Annabel Lyon;Caroline Nelissen;Jasmine Sealy;John Vigna;Loghan Paylor;Loghan Sarah Paylor;Ping-Ping Boardman;Sarah Needles,218,74.55963303,10.55067315,92.0,11.0,7,0.0,9.0,9.0,13,21.0,25,56.0,62,14.0,2
UBCV,2018,W,CRWR,209,,002,Introduction to Writing Fiction,Ahmad Ramadan;Annabel Lyon;Jeffrey Miller;John Vigna;Keith Maillard;Nathan Smith;Olga Holin,211,75.42180095,9.154613647,94.0,0.0,3,2.0,1.0,7.0,10,21.0,44,56.0,53,12.0,2
UBCV,2018,W,CRWR,209,,OVERALL,Introduction to Writing Fiction,,429,74.98368298,9.886610149,94.0,0.0,10,2.0,10.0,16.0,23,42.0,69,112.0,115,26.0,4
UBCV,2018,W,CRWR,213,,001,Introduction to Writing for the New Media,Adrian Southin;Adrian Victor Kerr Southin;Jennifer Moss;Raymond Clark;Raymond Dang Clark;Shristi Uprety;Stacy Anne-Marie Penner;Stacy Penner,217,77.50691244,11.85292581,97.0,0.0,6,1.0,2.0,3.0,14,20.0,28,34.0,53,39.0,17
UBCV,2018,W,CRWR,213,,002,Introduction to Writing for the New Media,Adrian Southin;Adrian Victor Kerr Southin;Andrey Summers;Jennifer Moss;Meghan Bell;Ryan Kim;Shristi Uprety,207,77.01449275,15.13706897,95.0,0.0,13,2.0,3.0,2.0,7,12.0,15,26.0,68,50.0,9
UBCV,2018,W,CRWR,213,,CAP,Introduction to Writing for the New Media,Jennifer Moss;Liesl Lafferty;Liesl Melanie Lafferty;Meghan Bell,94,79.21276596,8.060086635,93.0,45.0,1,2.0,0.0,1.0,2,5.0,8,18.0,40,10.0,7
UBCV,2018,W,CRWR,213,,OVERALL,Introduction to Writing for the New Media,,518,77.61969112,12.7394724,97.0,0.0,20,5.0,5.0,6.0,23,37.0,51,78.0,161,99.0,33
UBCV,2018,W,CRWR,220,,002,Introduction to Creative Writing with an Indigenous Focus,Joanne Arnott,16,90.6875,24.31109143,100.0,0.0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,15
UBCV,2018,W,CRWR,220,,OVERALL,Introduction to Creative Writing with an Indigenous Focus,,16,90.6875,24.31109143,100.0,0.0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,15
UBCV,2018,W,CRWR,230,,001,Introduction to Writing for Comedic Forms,Allan Hopkins;Allan Wayne Hopkins;Dina Del Bucchia;Laura Harris;Thomas Partl,138,75.84782609,13.05233831,97.0,7.0,5,2.0,2.0,5.0,6,20.0,16,23.0,30,19.0,10
UBCV,2018,W,CRWR,230,,002,Introduction to Writing for Comedic Forms,Allan Hopkins;Allan Wayne Hopkins;Dina Del Bucchia;Kate Black;Thomas Partl,180,75.35,11.71661428,98.0,10.0,7,3.0,3.0,2.0,4,20.0,34,45.0,36,19.0,7
UBCV,2018,W,CRWR,230,,OVERALL,Introduction to Writing for Comedic Forms,,318,75.56603774,12.29656068,98.0,7.0,12,5.0,5.0,7.0,10,40.0,50,68.0,66,38.0,17
UBCV,2018,W,CRWR,301,,002,Intermediate Writing Poetry,Ian Williams;Olga Holin;Shazia Hafiz Ramji;Shazia Ramji;Sheryda Warrener,53,83.8490566,7.185445295,91.0,51.0,0,1.0,0.0,0.0,1,2.0,2,3.0,7,35.0,2
UBCV,2018,W,CRWR,301,,OVERALL,Intermediate Writing Poetry,,53,83.8490566,7.185445295,91.0,51.0,0,1.0,0.0,0.0,1,2.0,2,3.0,7,35.0,2
UBCV,2018,W,CRWR,302,,001,Writing for Podcast,Jennifer Moss;Ryan Kim,68,85.73529412,5.655845337,98.0,66.0,0,0.0,0.0,0.0,1,0.0,0,7.0,19,22.0,19
UBCV,2018,W,CRWR,302,,002,Writing for Podcast,Jennifer Moss;Ryan Kim;Stacy Anne-Marie Penner;Stacy Penner;Tania Marie De Rozario,94,86.05319149,7.068584171,97.0,40.0,1,0.0,0.0,1.0,0,0.0,1,6.0,17,38.0,30
UBCV,2018,W,CRWR,302,,OVERALL,Writing for Podcast,,162,85.91975309,6.496036436,98.0,40.0,1,0.0,0.0,1.0,1,0.0,1,13.0,36,60.0,49
UBCV,2018,W,CRWR,303,,002,Intermediate Writing for Children and Young Adults,Alison Acheson;Emily Pate;Meagan Black,57,79.61403509,7.110742341,91.0,57.0,0,0.0,2.0,1.0,1,2.0,3,18.0,14,14.0,2
UBCV,2018,W,CRWR,303,,OVERALL,Intermediate Writing for Children and Young Adults,,57,79.61403509,7.110742341,91.0,57.0,0,0.0,2.0,1.0,1,2.0,3,18.0,14,14.0,2
UBCV,2018,W,CRWR,305,,002,Intermediate Writing of Creative Nonfiction,Arjan Jan Johannes Dasselaar;Jessica Johns;Kevin Kim Wang Chong,30,85.8,10.60708937,97.0,47.0,1,0.0,1.0,0.0,0,0.0,0,3.0,3,12.0,10
