Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,ENGL,100,,001,Reading and Writing about Literature,Gillian Jerome,29,71.827586207,10.931830867,86.0,33.0,2,0.0,0.0,2.0,2.0,5.0,3.0,12.0,2.0,1.0,0
UBCV,2018,W,ENGL,100,,002,Reading and Writing about Literature,Katherine Sirluck,28,81.607142857,5.519925427,92.0,69.0,0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,9.0,9.0,1
UBCV,2018,W,ENGL,100,,003,Reading and Writing about Literature,Duff Roberts,30,73.866666667,15.096775937,87.0,0.0,1,0.0,0.0,0.0,2.0,3.0,7.0,9.0,4.0,4.0,0
UBCV,2018,W,ENGL,100,,004,Reading and Writing about Literature,William Green,28,72.107142857,9.960437614,87.0,44.0,1,1.0,1.0,1.0,3.0,4.0,4.0,7.0,4.0,2.0,0
UBCV,2018,W,ENGL,100,,005,Reading and Writing about Literature,Judith Paltin,29,76.310344828,11.304561179,90.0,47.0,1,0.0,3.0,1.0,0.0,2.0,3.0,4.0,7.0,7.0,1
UBCV,2018,W,ENGL,100,,006,Reading and Writing about Literature,Lorcan Francis Fox,28,77.571428571,4.508663031,88.0,68.0,0,0.0,0.0,0.0,0.0,2.0,5.0,10.0,9.0,2.0,0
UBCV,2018,W,ENGL,100,,007,Reading and Writing about Literature,Deena Rymhs,25,70.48,18.949758134,88.0,7.0,2,1.0,0.0,0.0,3.0,4.0,3.0,3.0,7.0,2.0,0
UBCV,2018,W,ENGL,100,,008,Reading and Writing about Literature,Marlene Briggs,31,72.516129032,10.308155243,88.0,45.0,1,0.0,2.0,4.0,2.0,3.0,4.0,6.0,6.0,3.0,0
UBCV,2018,W,ENGL,100,,009,Reading and Writing about Literature,Gillian Jerome,27,75.148148148,8.305251831,85.0,44.0,1,0.0,0.0,2.0,0.0,0.0,8.0,7.0,8.0,1.0,0
UBCV,2018,W,ENGL,100,,010,Reading and Writing about Literature,Paul Endo,22,64.0,19.966638842,82.0,0.0,3,0.0,0.0,2.0,5.0,2.0,5.0,3.0,2.0,0.0,0
UBCV,2018,W,ENGL,100,,011,Reading and Writing about Literature,Richard Gooding,20,73.5,10.525657874,83.0,34.0,1,0.0,0.0,0.0,2.0,2.0,5.0,4.0,6.0,0.0,0
UBCV,2018,W,ENGL,100,,012,Reading and Writing about Literature,Jeffrey Severs,24,74.375,7.088340089,86.0,55.0,0,0.0,1.0,0.0,2.0,4.0,6.0,6.0,2.0,3.0,0
UBCV,2018,W,ENGL,100,,013,Reading and Writing about Literature,Lorcan Francis Fox,27,73.0,13.725327515,85.0,21.0,2,1.0,0.0,0.0,0.0,2.0,5.0,7.0,9.0,1.0,0
UBCV,2018,W,ENGL,100,,014,Reading and Writing about Literature,Gillian Jerome,16,70.0,19.507263604,84.0,0.0,1,0.0,0.0,0.0,2.0,3.0,4.0,3.0,3.0,0.0,0
UBCV,2018,W,ENGL,100,,015,Reading and Writing about Literature,William Green,27,67.740740741,15.739691602,85.0,22.0,4,0.0,1.0,1.0,2.0,3.0,5.0,7.0,2.0,2.0,0
UBCV,2018,W,ENGL,100,,016,Reading and Writing about Literature,Eva-Marie Kroller,30,77.133333333,5.679566116,87.0,66.0,0,0.0,0.0,0.0,1.0,4.0,9.0,2.0,10.0,4.0,0
UBCV,2018,W,ENGL,100,,017,Reading and Writing about Literature,Pamela Dalziel,18,68.222222222,21.789246013,89.0,0.0,3,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,4.0,0
UBCV,2018,W,ENGL,100,,OVERALL,Reading and Writing about Literature,,439,73.239179954,13.159010499,92.0,0.0,23,3.0,8.0,13.0,28.0,48.0,80.0,98.0,91.0,45.0,2
UBCV,2018,W,ENGL,110,,001,Approaches to Literature,Adrian Lou;Bradley Jackson;Jade Standing;Patricia Badir;Scott Russell;Torin Mclachlan,129,74.589147287,8.94043868,91.0,35.0,1,3.0,2.0,5.0,14.0,20.0,12.0,28.0,28.0,13.0,3
UBCV,2018,W,ENGL,110,,002,Approaches to Literature,Andrea Sandeen;Jillian Sharpe;Lora Moon;Megan Holec;Nicholas James Hudson;Pavlina Pajot;Scott Inniss,153,74.078431373,8.706115071,92.0,38.0,3,1.0,4.0,6.0,10.0,22.0,39.0,25.0,25.0,15.0,3
UBCV,2018,W,ENGL,110,,004,Approaches to Literature,Brendan Mccormack;Dylan Bateman;Glenn Deer;Rebecca Dodd;Yi Fan Xiang,124,73.35483871,8.030625879,90.0,47.0,2,2.0,4.0,4.0,11.0,22.0,22.0,25.0,24.0,7.0,1
UBCV,2018,W,ENGL,110,,005,Approaches to Literature,Anna Macdonald;Caelyn Elizabeth Rosch;Craig Stensrud;Kelsey Moskal;Rebecca Sheppard;Sarah Nelle Jackson;Tiffany Potter,161,70.726708075,11.180332943,88.0,30.0,8,9.0,6.0,9.0,19.0,23.0,29.0,18.0,26.0,14.0,0
UBCV,2018,W,ENGL,110,,008,Approaches to Literature,Deena Dinat;Joey Takeda;Karoline Pasciano;Richard Anthony Cavell;Richard Bergen;Stephanie Lu,119,74.613445378,5.970420369,88.0,50.0,0,1.0,1.0,4.0,5.0,16.0,33.0,31.0,24.0,4.0,0
UBCV,2018,W,ENGL,110,,017,Approaches to Literature,Adrian Lou;Bradley Jackson;Jessica Erickson;Karoline Pasciano;Mary Ann Chapman,122,79.606557377,14.895535621,96.0,0.0,6,2.0,3.0,3.0,6.0,2.0,8.0,10.0,26.0,25.0,31
UBCV,2018,W,ENGL,110,,019,Approaches to Literature,Pavlina Pajot;Rebecca Sheppard;Sarah Nelle Jackson;Scott Russell;Shannon Payne;Suzy Anger,114,72.342105263,10.358895068,91.0,35.0,3,3.0,7.0,5.0,15.0,14.0,18.0,16.0,22.0,8.0,3
UBCV,2018,W,ENGL,110,,020,Approaches to Literature,Andrea Sandeen;Benjamin Dreith;Caelyn Elizabeth Rosch;Gage Diabo;Jade Standing;Miguel Mota;Richard Bergen,174,77.045977011,10.069019671,94.0,13.0,6,0.0,0.0,2.0,2.0,14.0,34.0,41.0,47.0,22.0,6
UBCV,2018,W,ENGL,110,,021,Approaches to Literature,Brendan Mccormack;Dylan Bateman;Edward Smith;Lora Moon;Megan Holec;Mia Knezevic;Tara Lee,178,74.376404494,9.115635323,96.0,39.0,5,3.0,4.0,2.0,17.0,17.0,34.0,47.0,31.0,14.0,4
UBCV,2018,W,ENGL,110,,022,Approaches to Literature,Gregory Mackie;Jillian Sharpe;Kelsey Moskal;Kurian Peter;Miriam Helmers;Taylor Tomko,130,73.676923077,10.547210502,91.0,10.0,3,2.0,4.0,2.0,12.0,19.0,25.0,24.0,30.0,7.0,2
UBCV,2018,W,ENGL,110,,030,Approaches to Literature,Danielle Wong,37,74.135135135,7.699791347,84.0,50.0,0,2.0,0.0,0.0,4.0,7.0,5.0,7.0,12.0,0.0,0
UBCV,2018,W,ENGL,110,,031,Approaches to Literature,Brett Grubisic,36,75.388888889,3.323318288,82.0,69.0,0,0.0,0.0,0.0,0.0,7.0,8.0,18.0,3.0,0.0,0
UBCV,2018,W,ENGL,110,,032,Approaches to Literature,Suzanne James,40,74.6,5.856401275,85.0,60.0,0,0.0,0.0,2.0,2.0,3.0,11.0,14.0,6.0,2.0,0
UBCV,2018,W,ENGL,110,,033,Approaches to Literature,Katja Thieme,33,77.303030303,6.463768485,87.0,58.0,0,0.0,1.0,1.0,1.0,1.0,7.0,9.0,10.0,3.0,0
UBCV,2018,W,ENGL,110,,034,Approaches to Literature,Deena Rymhs,33,74.727272727,8.273726213,86.0,50.0,0,1.0,0.0,1.0,5.0,6.0,4.0,3.0,11.0,2.0,0
UBCV,2018,W,ENGL,110,,OVERALL,Approaches to Literature,,1583,74.515476943,9.884202199,96.0,0.0,37,29.0,36.0,46.0,123.0,193.0,289.0,316.0,325.0,136.0,53
