Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,JRNL,100,A,227,New Media and Society,Lakshmi Sadhu;Mary-Lynn Young;Saranaz Barforoush;Veronica Sylvia Margaret Wells;Veronica Wells,92,73.891304348,7.533743173,86.0,39.0,1,1,2,2,9,10,24,23.0,18,2,0
UBCV,2018,W,JRNL,100,A,OVERALL,New Media and Society,,92,73.891304348,7.533743173,86.0,39.0,1,1,2,2,9,10,24,23.0,18,2,0
UBCV,2018,W,JRNL,503,B,001,Journalism Practice and Standards,Charles Berret;Frances Bula;Kathryn Gretsinger;Melanie Woods;Ryan Jones;Saranaz Barforoush,34,82.294117647,9.898054329,90.0,40.0,2,0,0,0,0,0,0,3.0,11,17,1
UBCV,2018,W,JRNL,503,B,OVERALL,Journalism Practice and Standards,,34,82.294117647,9.898054329,90.0,40.0,2,0,0,0,0,0,0,3.0,11,17,1
UBCV,2018,W,JRNL,515,C,001,Integrated Journalism,Charles Berret;Frances Bula;Kathryn Gretsinger;Melanie Woods;Peter Klein;Ryan Jones,34,82.088235294,12.240933929,90.0,40.0,3,0,0,0,0,0,0,1.0,10,15,5
UBCV,2018,W,JRNL,515,C,OVERALL,Integrated Journalism,,34,82.088235294,12.240933929,90.0,40.0,3,0,0,0,0,0,0,1.0,10,15,5
UBCV,2018,W,JRNL,520,A,002,Special Topics in Contemporary Journalism,Saranaz Barforoush,13,78.153846154,5.800088417,87.0,67.0,0,0,0,0,1,1,2,4.0,3,2,0
UBCV,2018,W,JRNL,520,A,OVERALL,Special Topics in Contemporary Journalism,,13,78.153846154,5.800088417,87.0,67.0,0,0,0,0,1,1,2,4.0,3,2,0
UBCV,2018,W,JRNL,520,D,002,Special Topics in Contemporary Journalism,Duncan Mccue;Kathryn Gretsinger,13,77.692307692,12.195522507,88.0,40.0,1,0,0,0,0,0,3,3.0,2,4,0
UBCV,2018,W,JRNL,520,D,OVERALL,Special Topics in Contemporary Journalism,,13,77.692307692,12.195522507,88.0,40.0,1,0,0,0,0,0,3,3.0,2,4,0
UBCV,2018,W,JRNL,520,H,001,Special Topics in Contemporary Journalism,Charles Berret,7,86.571428571,6.399404734,93.0,74.0,0,0,0,0,0,0,1,0.0,1,2,3
