Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,PHIL,100,,001,Introduction to Philosophy,Alexandra Duree Jewell;Alexandra Jewell;Matthew Cleveland Smithdeal;Matthew Smithdeal;Ori Simchen,82,68.76829268,17.69515438,92.0,5.0,8,2.0,4.0,9.0,8,8.0,13.0,5.0,12.0,10,3
UBCV,2018,W,PHIL,100,,OVERALL,Introduction to Philosophy,,82,68.76829268,17.69515438,92.0,5.0,8,2.0,4.0,9.0,8,8.0,13.0,5.0,12.0,10,3
UBCV,2018,W,PHIL,101,,001,Introduction to Philosophy,Eric Margolis;Kousaku Yui;Richard Andrew Sandlin;Richard Sandlin,118,71.55084746,12.85793344,89.0,0.0,5,2.0,4.0,1.0,13,18.0,26.0,27.0,19.0,3,0
UBCV,2018,W,PHIL,101,,002,Introduction to Philosophy,Anders Kraal;Cristian Trout;Eric Anderson,109,71.42201835,15.08573865,96.0,2.0,7,5.0,7.0,5.0,10,11.0,16.0,12.0,16.0,14,6
UBCV,2018,W,PHIL,101,,003,Introduction to Philosophy,Eric Margolis;Jasper Heaton,79,67.51898734,15.88489103,85.0,0.0,7,1.0,0.0,3.0,8,19.0,29.0,8.0,2.0,2,0
UBCV,2018,W,PHIL,101,,OVERALL,Introduction to Philosophy,,306,70.46405229,14.54536201,96.0,0.0,19,8.0,11.0,9.0,31,48.0,71.0,47.0,37.0,19,6
UBCV,2018,W,PHIL,102,,001,Introduction to Philosophy II,Cristian Trout;Kelin Emmett;Shuguo Tang,114,67.85964912,16.30726924,92.0,0.0,10,7.0,10.0,10.0,6,15.0,14.0,15.0,16.0,8,3
UBCV,2018,W,PHIL,102,,002,Introduction to Philosophy II,Aleksey Balotskiy;Bruno Guindon,56,74.25,8.846673746,90.0,46.0,1,1.0,2.0,3.0,2,6.0,12.0,14.0,11.0,3,1
UBCV,2018,W,PHIL,102,,003,Introduction to Philosophy II,Chase Dority;Chieh-Ling Cheng;Christina Hendricks;Kinley Gillette,120,68.99166667,12.02692765,88.0,19.0,4,5.0,10.0,12.0,14,13.0,21.0,22.0,16.0,3,0
UBCV,2018,W,PHIL,102,,OVERALL,Introduction to Philosophy II,,290,69.56206897,13.56356084,92.0,0.0,15,13.0,22.0,25.0,22,34.0,47.0,51.0,43.0,14,4
UBCV,2018,W,PHIL,120,,001,Introduction to Critical Thinking,Emma Esmaili;Leslie Burkholder;Serban Dragulin;Servaas Van Der Berg,270,89.2,13.20318763,100.0,1.0,5,2.0,0.0,0.0,5,2.0,12.0,6.0,31.0,44,163
UBCV,2018,W,PHIL,120,,002,Introduction to Critical Thinking,Alexandre Korolev;David Robert Gilbert;Molly Sun,116,74.86206897,13.11480846,99.0,30.0,3,5.0,6.0,7.0,6,14.0,14.0,15.0,17.0,12,17
UBCV,2018,W,PHIL,120,,99A,Introduction to Critical Thinking,Alexandre Korolev;Irwin Chan;Yu Shing Chan,93,73.7311828,16.94950287,99.0,0.0,5,5.0,3.0,6.0,6,4.0,10.0,14.0,20.0,11,9
UBCV,2018,W,PHIL,120,,99C,Introduction to Critical Thinking,Alexandre Korolev;Sina Fazelpour,99,75.21212121,14.76432043,97.0,0.0,3,3.0,2.0,7.0,4,9.0,9.0,21.0,16.0,17,8
