Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,POLI,100,,001,Introduction to Politics,Barbara Arneil;Bruce Baum;Christopher Allan Coulson;Christopher Coulson;Daniel Jacinto;Dominique Rumeau;Lillian Sarson,144,74.986111111,10.839571451,91.0,6.0,5,,,,10,16,24,34,39,10,
UBCV,2018,W,POLI,100,,002,Introduction to Politics,Blazka Felicijan;Bruce Baum;Chang Pan;Chris Erickson;Cole Smith;Kurt Huebner;Maura O'Brien;Rafael Posada;Shona Zhang;Tommy Koh;Yongzheng Li,184,74.711956522,9.096247258,90.0,28.0,,,,9,9,31,29,36,41,17,
UBCV,2018,W,POLI,100,,003,Introduction to Politics,Cory Vincent;Jaan Islam;Joshua Santeusanio;Rafael Posada;Serbulent Turan;Yongzheng Li,146,77.280821918,11.405832235,96.0,20.0,,,,6,5,12,18,28,35,25,10
UBCV,2018,W,POLI,100,,004,Introduction to Politics,Aliya Hai;Chris Erickson;Isabella Picui,138,71.405797101,14.599088903,92.0,0.0,6,,,10,15,22,16,20,29,10,
UBCV,2018,W,POLI,100,,227,Introduction to Politics,Alexandra Lloyd;Blazka Felicijan;Chang Pan;Chris Erickson;Jordan Buffie;Maura O'Brien;Tommy Koh,116,71.25,16.397706625999998,94.0,0.0,8,6,,8,5,9,20,17,22,12,5
UBCV,2018,W,POLI,100,,228,Introduction to Politics,Alexandra Lloyd;Aliya Hai;Chris Erickson;Shona Zhang,68,72.088235294,18.677734605,90.0,0.0,5,,,5,,,9,14,20,6,
UBCV,2018,W,POLI,100,,V01,Introduction to Politics,Dilihumaer Wulamu;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Marzia Rizvi,51,69.54901960800001,9.411299008,84.0,23.0,,,,5,6,14,12,5,5,,
UBCV,2018,W,POLI,100,,V02,Introduction to Politics,Brian Thomas;Chrisanne Kouzas;Guilherme Rosales;Jenny Peterson;Luthfi Dhofier;Serbulent Turan;Shania Rattan,69,74.913043478,11.7294741,90.0,1.0,,,,,,9,17,12,14,6,
UBCV,2018,W,POLI,100,,V03,Introduction to Politics,Erin Christensen;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Marzia Rizvi,51,68.45098039199999,10.687027137000001,95.0,33.0,,,,,11,11,12,,,,
UBCV,2018,W,POLI,101,,001,The Government of Canada,Aboozar Ahmadi;Amanda Vance;Jocelyn Mcgrandle;Jory Smallenberg;Kelley Humber;Parmida Esmaeilpour,242,72.70661157,13.197851174,94.0,19.0,13,12,9,15,18,17,37,40,43,19,19
UBCV,2018,W,POLI,101,,002,The Government of Canada,Alexandra Lloyd;Arian Zand;Daniel Jacinto;Gerald Baier;Lillian Sarson;Matthew Byrne;Stefanie Kometer,245,74.37142857100001,11.936169030999999,92.0,0.0,8,5,9,14,17,24,36,39,55,34,
UBCV,2018,W,POLI,101,,099,The Government of Canada,Kelley Humber;Kenny Ie;Mark Olson,85,74.482352941,6.338866815,87.0,55.0,,,,,,14,16,32,14,,
UBCV,2018,W,POLI,101,,227,The Government of Canada,Jaan Islam;Jocelyn Mcgrandle;Jory Smallenberg;Joshua Santeusanio,114,72.21929824600001,18.739839145,95.0,2.0,10,5,6,,6,9,12,15,18,20,9
UBCV,2018,W,POLI,110,,001,Investigating Politics: An Introduction to Scientific Political Analysis,Alan Michael Jacobs;Fabio Resmini;Shereen Kotb;Yongzheng Li,199,77.638190955,10.053380192,95.0,38.0,,,7,8,10,18,21,34,46,31,19
UBCV,2018,W,POLI,110,,003,Investigating Politics: An Introduction to Scientific Political Analysis,Chang Pan;Mark Olson;Michael Weaver;Paolo Sosa Villagarcia;Shereen Kotb;Yongzheng Li,235,70.642553191,17.414255687,98.0,0.0,20,10,20,15,14,26,23,26,29,27,25
UBCV,2018,W,POLI,220,,001,Introduction to Comparative Politics,Barbara Arneil;Christopher Kam;Dominique Rumeau;Ryan Carter;Samuel Reed;Tommy Koh;Yongzheng Li;Zarai Toledo Orozco,152,73.15789473699999,12.622960927000001,92.0,0.0,9,,7,6,8,22,20,26,34,17,
UBCV,2018,W,POLI,220,,V01,Introduction to Comparative Politics,Chrisanne Kouzas;Hannah Geiser;Jenny Peterson;Kevin Hemmat;Marcelo Emilio Bravo Chapa;Waged Jafer,50,69.02,12.711058980999999,87.0,10.0,,,,,5,9,13,,5,,
