Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2018,W,STAT,200,,101,Elementary Statistics for Applications,Carlene Ho;Hayden Mctavish;Hoi Yin Eugenia Yu;Jhohura Fatema Tuz;Jiayi Li;Jonathan Agyeman;Jonathan Osei Kwadso Agyeman;Naitong Chen;Peiyuan Gary Zhu;Peiyuan Zhu;Shuk Wong Li;Xinyuan Chloe You;Xinyue Zheng;Yiming Pan;Yisheng Zhu,298,71.53691275,14.31794969,97.0,4.0,17,20,15,20,25.0,25.0,42,38.0,47,35,14
UBCV,2018,W,STAT,200,,103,Elementary Statistics for Applications,Carlene Ho;Hayden Mctavish;Hoi Yin Eugenia Yu;Jhohura Fatema Tuz;Jiayi Li;Jonathan Agyeman;Jonathan Osei Kwadso Agyeman;Naitong Chen;Nikolas Krstic;Peiyuan Gary Zhu;Peiyuan Zhu;Suborna Ahmed;Suborna Shekhor Ahmed;Xinyuan Chloe You;Xinyue Zheng;Yiming Pan;Yisheng Zhu,314,71.79617834,12.67118633,94.0,6.0,12,15,21,20,31.0,40.0,37,54.0,37,30,17
UBCV,2018,W,STAT,200,,202,Elementary Statistics for Applications,Azizhuizha Alimov;Jhohura Fatema Tuz;Jiayi Li;Jonathan Agyeman;Jonathan Osei Kwadso Agyeman;Kevin Michael Ushey;Melissa Lee;Menglin Zhou;Naitong Chen;Nancy Wu;Sonja Surjanovic;Xinyuan Chloe You;Yichen Zhang;Yiming Pan;Zhou Menglin;Zuheng Xu,335,72.34029851,14.08349843,99.0,0.0,10,16,22,39,33.0,34.0,37,35.0,37,37,35
UBCV,2018,W,STAT,200,,OVERALL,Elementary Statistics for Applications,,947,71.90707497,13.6977268,99.0,0.0,39,51,58,79,89.0,99.0,116,127.0,121,102,66
UBCV,2018,W,STAT,203,,103,Statistical Methods,Hoi Yin Eugenia Yu;Kathleen Hall;Kevin Michael Ushey;Lucy Bellemare;Rachel Lobay,120,74.70833333,11.86577299,98.0,52.0,0,9,7,9,7.0,13.0,15,10.0,23,16,11
UBCV,2018,W,STAT,203,,OVERALL,Statistical Methods,,120,74.70833333,11.86577299,98.0,52.0,0,9,7,9,7.0,13.0,15,10.0,23,16,11
UBCV,2018,W,STAT,251,,101,Elementary Statistics,Ana Cecilia Leon Morales;Cong Yuan;Ji Soo Bagk;Lasantha Premarathna Wijendra Acharige;Lasantha Wijendra Acharige;Meixin Lu;Paramjeet Arora;Paramjeet Singh Arora;Parham Zarei;Xinyao Fan;Yanchao Luo,324,71.16975309,13.58993249,98.0,2.0,13,16,25,27,34.0,35.0,43,36.0,52,28,15
UBCV,2018,W,STAT,251,,201,Elementary Statistics,Ana Cecilia Leon Morales;Ji Soo Bagk;Jonathan Steif;Lasantha Premarathna Wijendra Acharige;Lasantha Wijendra Acharige;Miguel Biron Lattes;Nikolas Krstic;Rachel Lobay;Wang Xinmiao;Wenzheng Zhou;Xinmiao Wang;Yanchao Luo,317,71.72239748,12.31310547,97.0,19.0,9,16,26,33,19.0,42.0,36,49.0,43,27,17
UBCV,2018,W,STAT,251,,OVERALL,Elementary Statistics,,641,71.44305772,12.96703583,98.0,2.0,22,32,51,60,53.0,77.0,79,85.0,95,55,32
UBCV,2018,W,STAT,300,,101,Intermediate Statistics for Applications,Madison Friesen;Marie Auger-Methe;Melissa Lee;Menglin Zhou;William Welch;Yichen Zhang;Zhou Menglin;Zuheng Xu,173,78.93641619,10.70598088,100.0,39.0,1,5,3,5,9.0,13.0,23,24.0,34,28,28
UBCV,2018,W,STAT,300,,OVERALL,Intermediate Statistics for Applications,,173,78.93641619,10.70598088,100.0,39.0,1,5,3,5,9.0,13.0,23,24.0,34,28,28
UBCV,2018,W,STAT,302,,101,Introduction to Probability,Chen Chieh Chuang;Ho Yin Ho;Lang Wu;Qiaoyue Tang;Xinzhe Dong;Yuru Liu,124,71.83064516,14.40625529,99.0,26.0,7,11,6,7,9.0,14.0,20,11.0,14,11,14
UBCV,2018,W,STAT,302,,201,Introduction to Probability,Anthony-Alexander Christidis;Eric Sanders;Gong Zhang;Ho Yin Ho;Hoi Yin Eugenia Yu;Qiaoyue Tang;Xinyao Fan;Yuru Liu,128,74.203125,14.33862653,98.0,17.0,7,4,8,8,6.0,21.0,10,7.0,21,19,17
UBCV,2018,W,STAT,302,,202,Introduction to Probability,Anthony-Alexander Christidis;Eric Sanders;Ho Yin Ho;Hoi Yin Eugenia Yu;Ruben Zamar;Xinyao Fan;Yuru Liu,90,72.3,13.95131986,96.0,37.0,9,4,2,7,7.0,12.0,11,6.0,13,8,11
UBCV,2018,W,STAT,302,,OVERALL,Introduction to Probability,,342,72.84210526,14.26102225,99.0,17.0,23,19,16,22,22.0,47.0,41,24.0,48,38,42
UBCV,2018,W,STAT,305,,101,Introduction to Statistical Inference,Gilberto Alexi Rodriguez-Arelis;Gilberto Alexi Rodr���Guez Arelis;Gilberto Rodriguez-Arelis;Giorgio Andr��� Viancha Sgarbi;Giorgio Viancha Sgarbi;Ruwan Karunanayaka Thannehelage;Yong Dong Ouyang,122,78.73770492,14.44614008,100.0,18.0,2,4,6,5,8.0,10.0,11,16.0,14,18,28
UBCV,2018,W,STAT,305,,202,Introduction to Statistical Inference,Gilberto Alexi Rodriguez-Arelis;Gilberto Alexi Rodr���Guez Arelis;Gilberto Rodriguez-Arelis;Giorgio Andr��� Viancha Sgarbi;Giorgio Viancha Sgarbi;Lin Zhang;Ruwan Karunanayaka Thannehelage;Yong Dong Ouyang,156,73.66025641,14.97933923,99.0,0.0,4,6,14,9,14.0,14.0,25,11.0,21,17,21
UBCV,2018,W,STAT,305,,OVERALL,Introduction to Statistical Inference,,278,75.88848921,14.93615089,100.0,0.0,6,10,20,14,22.0,24.0,36,27.0,35,35,49
UBCV,2018,W,STAT,306,,101,Finding Relationships in Data,Gong Zhang;Qiong Zhang;Ruwan Karunanayaka Thannehelage;Xinglong Li,111,77.84684685,14.64935506,100.0,23.0,3,3,6,4,7.0,12.0,14,13.0,9,13,27
UBCV,2018,W,STAT,306,,201,Finding Relationships in Data,Gilberto Alexi Rodriguez-Arelis;Gilberto Alexi Rodr���Guez Arelis;Gilberto Rodriguez-Arelis;Malvika Mitra;Ruwan Karunanayaka Thannehelage;Xin Zhao;Xinglong Li,141,77.75177305,15.23349506,100.0,0.0,3,5,5,4,10.0,10.0,10,23.0,20,25,26
UBCV,2018,W,STAT,306,,OVERALL,Finding Relationships in Data,,252,77.79365079,14.94948597,100.0,0.0,6,8,11,8,17.0,22.0,24,36.0,29,38,53
