Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,S,ELEC,291,,941,Electrical Engineering Design Studio I,Gabriel Ferreira Da Silva;Naga Raghavendra Koppisetti;Saloome Motavas,13,83.538461538,3.777463536,90.0,77.0,0,0.0,0,0,0,0,0,1,8,3,1
UBCV,2019,S,ELEC,291,,OVERALL,Electrical Engineering Design Studio I,,13,83.538461538,3.777463536,90.0,77.0,0,0.0,0,0,0,0,0,1,8,3,1
UBCV,2019,S,ELEC,341,,941,Systems and Control,Mohammad Najjarzadegan;Siamak Najarian;Su Wang,86,79.11627907,12.557087153,98.0,0.0,1,0.0,1,4,4,9,10,12,11,20,14
UBCV,2019,S,ELEC,341,,OVERALL,Systems and Control,,86,79.11627907,12.557087153,98.0,0.0,1,0.0,1,4,4,9,10,12,11,20,14
UBCV,2019,S,ELEC,391,,942,Electrical Engineering Design Studio II,David Michelson,28,92.857142857,3.482381962,98.0,83.0,0,0.0,0,0,0,0,0,0,1,3,24
UBCV,2019,S,ELEC,391,,OVERALL,Electrical Engineering Design Studio II,,28,92.857142857,3.482381962,98.0,83.0,0,0.0,0,0,0,0,0,0,1,3,24
UBCV,2019,S,ELEC,400,S,943,Topics in Electrical Engineering,David Michelson,11,92.272727273,2.240129866,96.0,90.0,0,0.0,0,0,0,0,0,0,0,0,11
UBCV,2019,S,ELEC,400,S,OVERALL,Topics in Electrical Engineering,,11,92.272727273,2.240129866,96.0,90.0,0,0.0,0,0,0,0,0,0,0,0,11
UBCV,2019,S,ELEC,481,,941,Economic Analysis of Engineering Projects,Dadong Shang;Garrett Petersen;Hanyu Wang;Jorge Alejandro May Alvarez;Jorge May Alvarez;Xiao Han,64,83.125,15.591511732,100.0,0.0,1,1.0,2,2,1,5,5,2,7,11,27
UBCV,2019,S,ELEC,481,,OVERALL,Economic Analysis of Engineering Projects,,64,83.125,15.591511732,100.0,0.0,1,1.0,2,2,1,5,5,2,7,11,27
