Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,S,FRST,231,,921,Introduction to Biometrics,Andres Varhola Troya;Pramila Khatri Chhetri,13,87.076923077,14.447961439,100.0,52.0,0,1.0,0.0,0,0,1,0.0,2,0,1,8
UBCV,2019,S,FRST,231,,98A,Introduction to Biometrics,Suborna Ahmed;Suborna Shekhor Ahmed,17,71.352941176,10.833634988,88.0,50.0,0,2.0,0.0,2,2,3,1.0,4,1,2,0
UBCV,2019,S,FRST,231,,OVERALL,Introduction to Biometrics,,30,78.166666667,14.626577919,100.0,50.0,0,3.0,0.0,2,2,4,1.0,6,1,3,8
UBCV,2019,S,FRST,232,,921,Computer Applications in Forestry,Juliana Galvao De Sousa Magalhaes;Pramila Khatri Chhetri;Suborna Ahmed;Suborna Shekhor Ahmed;Sushil Nepal;Vivek Srivastava,18,75.388888889,14.828981516,93.0,31.0,1,1.0,0.0,0,1,1,2.0,2,6,3,1
UBCV,2019,S,FRST,232,,OVERALL,Computer Applications in Forestry,,18,75.388888889,14.828981516,93.0,31.0,1,1.0,0.0,0,1,1,2.0,2,6,3,1
UBCV,2019,S,FRST,307,,921,Biotic Disturbances,Jordan Burke;Rolando C Descalzo;Rolando Descalzo,34,73.117647059,7.490457387,89.0,56.0,0,0.0,1.0,1,6,7,5.0,7,5,2,0
UBCV,2019,S,FRST,307,,OVERALL,Biotic Disturbances,,34,73.117647059,7.490457387,89.0,56.0,0,0.0,1.0,1,6,7,5.0,7,5,2,0
UBCV,2019,S,FRST,308,,GIS,Forest Entomology,,14,67.0,32.961516022,96.0,0.0,3,0.0,1.0,0,0,1,1.0,0,2,2,4
UBCV,2019,S,FRST,308,,OVERALL,Forest Entomology,,14,67.0,32.961516022,96.0,0.0,3,0.0,1.0,0,0,1,1.0,0,2,2,4
UBCV,2019,S,FRST,309,,GIS,Forest Pathology,Michelle Cleary,8,82.125,10.260012531,95.0,66.0,0,0.0,0.0,0,1,1,0.0,1,1,2,2
UBCV,2019,S,FRST,309,,OVERALL,Forest Pathology,,8,82.125,10.260012531,95.0,66.0,0,0.0,0.0,0,1,1,0.0,1,1,2,2
UBCV,2019,S,FRST,319,,GIS,Principles of Forestry Economics,Christopher Gaston,6,83.666666667,8.406346809,92.0,69.0,0,0.0,0.0,0,0,1,0.0,0,2,1,2
UBCV,2019,S,FRST,319,,OVERALL,Principles of Forestry Economics,,6,83.666666667,8.406346809,92.0,69.0,0,0.0,0.0,0,0,1,0.0,0,2,1,2
UBCV,2019,S,FRST,320,,921,Abiotic Disturbances: Fire and Climate,Stanley Pokorny;Stanley Wolf Pokorny,37,73.297297297,15.354812609,91.0,0.0,1,0.0,2.0,3,4,3,4.0,7,7,4,2
UBCV,2019,S,FRST,320,,OVERALL,Abiotic Disturbances: Fire and Climate,,37,73.297297297,15.354812609,91.0,0.0,1,0.0,2.0,3,4,3,4.0,7,7,4,2
UBCV,2019,S,FRST,449,C,622,Directed Studies in Forestry,Robert Antal Kozak,15,87.333333333,4.287301293,94.0,80.0,0,0.0,0.0,0,0,0,0.0,0,3,7,5
UBCV,2019,S,FRST,449,C,OVERALL,Directed Studies in Forestry,,17,88.0,4.444097209,94.0,80.0,0,0.0,0.0,0,0,0,0.0,0,3,7,7
UBCV,2019,S,FRST,526,C,922,Directed Studies in International Forestry,Agni Boedhihartono,14,78.928571429,4.287087692,87.0,73.0,0,0.0,0.0,0,0,0,3.0,6,3,2,0
UBCV,2019,S,FRST,526,C,OVERALL,Directed Studies in International Forestry,,14,78.928571429,4.287087692,87.0,73.0,0,0.0,0.0,0,0,0,3.0,6,3,2,0
UBCV,2019,S,FRST,555,,101,Fundamentals of Sustainable Forest Land Management,Andres Varhola Troya;Deborah De Long;Kathleen Coupland;Kathleen Dawn Coupland;Suzanne Simard,23,87.782608696,2.938096504,93.0,81.0,0,0.0,0.0,0,0,0,0.0,0,3,13,7
UBCV,2019,S,FRST,555,,OVERALL,Fundamentals of Sustainable Forest Land Management,,23,87.782608696,2.938096504,93.0,81.0,0,0.0,0.0,0,0,0,0.0,0,3,13,7
