Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,S,GEOG,122,,921,"Geography, Modernity and Globalization",David Brownstein,28,68.678571429,16.06250193,94.0,20.0,,,,,,5,5,,,,
UBCV,2019,S,GEOG,122,,OVERALL,"Geography, Modernity and Globalization",,28,68.678571429,16.06250193,94.0,20.0,,,,,,5,5,,,,
UBCV,2019,S,GEOG,310,,921,Environment and Sustainability,Alec Blair,50,76.08,10.439016296,94.0,40.0,,,,,8,,7,6,11,6,6
UBCV,2019,S,GEOG,310,,OVERALL,Environment and Sustainability,,50,76.08,10.439016296,94.0,40.0,,,,,8,,7,6,11,6,6
UBCV,2019,S,GEOG,350,,98A,Urban Worlds,Amanda De Freitas;Emily Thea Rosenman,61,75.590163934,6.056338413,88.0,58.0,,,,,,5,14,16,18,,
UBCV,2019,S,GEOG,350,,OVERALL,Urban Worlds,,61,75.590163934,6.056338413,88.0,58.0,,,,,,5,14,16,18,,
UBCV,2019,S,GEOG,352,,921,Urbanization in the Global South,Charles Greenberg;Kevin Mccartney,55,70.890909091,13.286964828,90.0,0.0,,,,,,7,16,12,6,,
UBCV,2019,S,GEOG,352,,OVERALL,Urbanization in the Global South,,55,70.890909091,13.286964828,90.0,0.0,,,,,,7,16,12,6,,
UBCV,2019,S,GEOG,599,,901,Master's Thesis,,8,87.75,3.9910614410000003,93.0,80.0,,,,,,,,,,5,
UBCV,2019,S,GEOG,599,,OVERALL,Master's Thesis,,8,87.75,3.9910614410000003,93.0,80.0,,,,,,,,,,5,
