Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,COEC,293,,004,Financial Accounting,Tran Khue Chung,103,76.126213592,15.472099880999998,95.0,0.0,,,8,7,,,14,7,25,22,10
UBCV,2019,W,COEC,293,,OVERALL,Financial Accounting,,103,76.126213592,15.472099880999998,95.0,0.0,,,8,7,,,14,7,25,22,10
UBCV,2019,W,COEC,294,,001,Managerial Accounting,Mary Chong;Xiaonan Sun;Zhengying Yao,50,76.44,8.771847361,92.0,57.0,,,,5,,8,8,6,9,10,
UBCV,2019,W,COEC,294,,OVERALL,Managerial Accounting,,50,76.44,8.771847361,92.0,57.0,,,,5,,8,8,6,9,10,
UBCV,2019,W,COEC,365,,001,Market Research,Fan Yang;Yanwen Wang,48,78.104166667,5.754700515,87.0,65.0,,,,,,,8,15,13,6,
UBCV,2019,W,COEC,365,,OVERALL,Market Research,,48,78.104166667,5.754700515,87.0,65.0,,,,,,,8,15,13,6,
UBCV,2019,W,COEC,370,,001,Corporate Finance,Ruth Freedman,48,74.166666667,13.461265682,93.0,33.0,,,6,,,5,5,6,5,9,6
UBCV,2019,W,COEC,370,,OVERALL,Corporate Finance,,48,74.166666667,13.461265682,93.0,33.0,,,6,,,5,5,6,5,9,6
UBCV,2019,W,COEC,371,,001,Investment Theory,Ching-Chuan Wang;Georgios Skoulakis;Keling Zheng;Markus Baldauf;Yingxiang Li;Zhanbing Xiao,38,68.55263157899999,13.484119525,90.0,28.0,,,5,,5,3,,6,5,3,
UBCV,2019,W,COEC,371,,002,Investment Theory,Ching-Chuan Wang;Georgios Skoulakis;Keling Zheng;Markus Baldauf;Yingxiang Li;Zhanbing Xiao,41,78.317073171,9.647380537,94.0,51.0,,,1,,2,5,,2,14,8,
UBCV,2019,W,COEC,371,,OVERALL,Investment Theory,,79,73.620253165,12.573174330999999,94.0,28.0,,,6,,7,8,7,8,19,11,
UBCV,2019,W,COEC,377,,001,International Financial Markets and Institutions,Jose Esteban Pizarro Zuniga;Jose Pizarro Zuniga,15,79.8,7.173363427000001,91.0,65.0,,,,,,,,,8,,
UBCV,2019,W,COEC,377,,OVERALL,International Financial Markets and Institutions,,15,79.8,7.173363427000001,91.0,65.0,,,,,,,,,8,,
UBCV,2019,W,COEC,437,,001,Database Technology,Curtis Koo;Ning Nan;Pattharin Tangwaragorn,22,83.909090909,5.299677357,93.0,72.0,,,,,,,,,5,11,
UBCV,2019,W,COEC,437,,OVERALL,Database Technology,,22,83.909090909,5.299677357,93.0,72.0,,,,,,,,,5,11,
UBCV,2019,W,COEC,475,,001,"The Economics & Policy of the Environment, Energy, and Natural Resources",Werner Antweiler,50,81.72,5.202197338,94.0,70.0,,,,,,,,7,23,9,5
UBCV,2019,W,COEC,475,,OVERALL,"The Economics & Policy of the Environment, Energy, and Natural Resources",,50,81.72,5.202197338,94.0,70.0,,,,,,,,7,23,9,5
UBCV,2019,W,COEC,491,,001,Strategic Management,Alvaro Parra Perez;Guillermo Marshall Manriquez;Laura Chen;Sabrina Dhalla;Simran Alibhai,34,86.32352941200001,4.733635852,96.0,76.0,,,,,,,,,9,11,12
UBCV,2019,W,COEC,491,,OVERALL,Strategic Management,,34,86.32352941200001,4.733635852,96.0,76.0,,,,,,,,,9,11,12
UBCV,2019,W,COEC,498,,001,International Business Management,Cameron James Panter;Cameron Panter;Vanessa Alviarez,25,79.48,6.898792165,92.0,62.0,,,,,,,,3,11,,
UBCV,2019,W,COEC,498,,002,International Business Management,Cameron James Panter;Cameron Panter;Vanessa Alviarez,18,79.444444444,6.63521995,93.0,66.0,,,,,,,,5,6,,
UBCV,2019,W,COEC,498,,OVERALL,International Business Management,,43,79.465116279,6.7094419510000005,93.0,62.0,,,,,,,,8,17,6,
